timestep_2,region_4,technology_3,parameter,value,source
2045,01ES,eBoilerProLow,capaConvResi,0.00069,
2020,01ES,gasEngineProLowStock,capaConvResi,0.14958,
2025,01ES,gasEngineProLowStock,capaConvResi,0.12465,
2030,01ES,gasEngineProLowStock,capaConvResi,0.09972,
2035,01ES,gasEngineProLowStock,capaConvResi,0.07479,
2040,01ES,gasEngineProLowStock,capaConvResi,0.04986,
2045,01ES,gasEngineProLowStock,capaConvResi,0.02493,
2020,01ES,oilBoilerProLowStock,capaConvResi,0.0174,
2025,01ES,oilBoilerProLowStock,capaConvResi,0.0145,
2030,01ES,oilBoilerProLowStock,capaConvResi,0.0116,
2035,01ES,oilBoilerProLowStock,capaConvResi,0.0087,
2040,01ES,oilBoilerProLowStock,capaConvResi,0.0058,
2045,01ES,oilBoilerProLowStock,capaConvResi,0.0029,
2020,01ES,oilPlantProLowStock,capaConvResi,0.01645,
2025,01ES,oilPlantProLowStock,capaConvResi,0.01371,
2030,01ES,oilPlantProLowStock,capaConvResi,0.01097,
2035,01ES,oilPlantProLowStock,capaConvResi,0.00823,
2040,01ES,oilPlantProLowStock,capaConvResi,0.00549,
2045,01ES,oilPlantProLowStock,capaConvResi,0.00275,
2020,01ES,bioBoilerProMedStock,capaConvResi,0.00463,
2025,01ES,bioBoilerProMedStock,capaConvResi,0.00386,
2030,01ES,bioBoilerProMedStock,capaConvResi,0.00309,
2035,01ES,bioBoilerProMedStock,capaConvResi,0.00232,
2040,01ES,bioBoilerProMedStock,capaConvResi,0.00155,
2045,01ES,bioBoilerProMedStock,capaConvResi,0.00078,
2020,01ES,bioGasEngineProMedStock,capaConvResi,0.07192,
2025,01ES,bioGasEngineProMedStock,capaConvResi,0.05993,
2030,01ES,bioGasEngineProMedStock,capaConvResi,0.04795,
2035,01ES,bioGasEngineProMedStock,capaConvResi,0.03596,
2040,01ES,bioGasEngineProMedStock,capaConvResi,0.02398,
2045,01ES,bioGasEngineProMedStock,capaConvResi,0.01199,
2020,01ES,ccgtGasBackProMedStock,capaConvResi,0.00828,
2025,01ES,ccgtGasBackProMedStock,capaConvResi,0.0069,
