timestep_2,carrier_1,region_3,parameter,value,comment,source
2020,industryHeat_high,26FR,capaDem,0.737,,
2020,industryHeat_low,26FR,capaDem,0.355,,
2020,industryHeat_medium,26FR,capaDem,0.506,,
2020,spaceHeat,26FR,capaDem,24.241,,
2020,industryHeat_high,27FR,capaDem,0.128,,
2020,industryHeat_low,27FR,capaDem,0.078,,
2020,industryHeat_medium,27FR,capaDem,0.09,,
2020,spaceHeat,27FR,capaDem,2.893,,
2020,industryHeat_high,28BE,capaDem,3.381,,
2020,industryHeat_low,28BE,capaDem,2.014,,
2020,industryHeat_medium,28BE,capaDem,2.665,,
2020,spaceHeat,28BE,capaDem,43.578,,
2020,industryHeat_high,29LU,capaDem,0.243,,
2020,industryHeat_low,29LU,capaDem,0.096,,
2020,industryHeat_medium,29LU,capaDem,0.133,,
2020,spaceHeat,29LU,capaDem,3.297,,
2020,industryHeat_high,30NL,capaDem,4.984,,
2020,industryHeat_low,30NL,capaDem,3.54,,
2020,industryHeat_medium,30NL,capaDem,3.317,,
2020,spaceHeat,30NL,capaDem,55.107,,
2020,industryHeat_high,31DE,capaDem,1.78,,
2020,industryHeat_low,31DE,capaDem,1.635,,
2020,industryHeat_medium,31DE,capaDem,1.791,,
2020,spaceHeat,31DE,capaDem,45.071,,
2020,industryHeat_high,32DE,capaDem,0.85,,
2020,industryHeat_low,32DE,capaDem,0.8,,
2020,industryHeat_medium,32DE,capaDem,0.808,,
2020,spaceHeat,32DE,capaDem,27.927,,
2020,industryHeat_high,33DE,capaDem,4.581,,
2020,industryHeat_low,33DE,capaDem,2.852,,
2020,industryHeat_medium,33DE,capaDem,3.052,,
2020,spaceHeat,33DE,capaDem,58.93,,
2020,industryHeat_high,34DE,capaDem,2.138,,
2020,industryHeat_low,34DE,capaDem,1.143,,
2020,industryHeat_medium,34DE,capaDem,1.36,,
2020,spaceHeat,34DE,capaDem,28.13,,
2020,industryHeat_high,35DE,capaDem,2.526,,
2020,industryHeat_low,35DE,capaDem,2.267,,
2020,industryHeat_medium,35DE,capaDem,2.15,,
2020,spaceHeat,35DE,capaDem,38.463,,
2020,industryHeat_high,36DE,capaDem,2.91,,
2020,industryHeat_low,36DE,capaDem,2.125,,
2020,industryHeat_medium,36DE,capaDem,2.3,,
2020,spaceHeat,36DE,capaDem,38.1,,
2020,industryHeat_high,37DE,capaDem,3.123,,
2020,industryHeat_low,37DE,capaDem,2.396,,
2020,industryHeat_medium,37DE,capaDem,2.551,,
2020,spaceHeat,37DE,capaDem,45.476,,
2020,industryHeat_high,38DK,capaDem,0.224,,
2020,industryHeat_low,38DK,capaDem,0.459,,
2020,industryHeat_medium,38DK,capaDem,0.585,,
