technology_1,technology_2,technology_3,region_2,carrier_1,parameter,value
stock,heat,bioBoilerSpaceStock,SK,,effConv,0.871
stock,heat,bioBoilerSpaceStock,UK,,effConv,0.747
stock,heat,gasBoilerSpaceStock,AL,,effConv,0.798
stock,heat,gasBoilerSpaceStock,AT,,effConv,0.855
stock,heat,gasBoilerSpaceStock,BA,,effConv,0.798
stock,heat,gasBoilerSpaceStock,BE,,effConv,0.825
stock,heat,gasBoilerSpaceStock,BG,,effConv,0.866
stock,heat,gasBoilerSpaceStock,CH,,effConv,0.855
stock,heat,gasBoilerSpaceStock,CZ,,effConv,0.851
stock,heat,gasBoilerSpaceStock,DE,,effConv,0.824
stock,heat,gasBoilerSpaceStock,DK,,effConv,0.811
stock,heat,gasBoilerSpaceStock,EE,,effConv,0.861
stock,heat,gasBoilerSpaceStock,ES,,effConv,0.842
stock,heat,gasBoilerSpaceStock,FI,,effConv,0.853
stock,heat,gasBoilerSpaceStock,FR,,effConv,0.875
stock,heat,gasBoilerSpaceStock,GR,,effConv,0.834
stock,heat,gasBoilerSpaceStock,HR,,effConv,0.718
stock,heat,gasBoilerSpaceStock,HU,,effConv,0.838
stock,heat,gasBoilerSpaceStock,IE,,effConv,0.837
stock,heat,gasBoilerSpaceStock,IT,,effConv,0.809
stock,heat,gasBoilerSpaceStock,LT,,effConv,0.851
stock,heat,gasBoilerSpaceStock,LU,,effConv,0.849
stock,heat,gasBoilerSpaceStock,LV,,effConv,0.858
stock,heat,gasBoilerSpaceStock,ME,,effConv,0.798
stock,heat,gasBoilerSpaceStock,MK,,effConv,0.798
stock,heat,gasBoilerSpaceStock,NL,,effConv,0.831
stock,heat,gasBoilerSpaceStock,NO,,effConv,0.894
stock,heat,gasBoilerSpaceStock,PL,,effConv,0.852
stock,heat,gasBoilerSpaceStock,PT,,effConv,0.844
stock,heat,gasBoilerSpaceStock,RO,,effConv,0.798
stock,heat,gasBoilerSpaceStock,RS,,effConv,0.798
stock,heat,gasBoilerSpaceStock,SE,,effConv,0.894
stock,heat,gasBoilerSpaceStock,SI,,effConv,0.852
stock,heat,gasBoilerSpaceStock,SK,,effConv,0.851
stock,heat,gasBoilerSpaceStock,UK,,effConv,0.833
stock,heat,oilLiquidBoilerSpaceStock,AL,,effConv,0.81
stock,heat,oilLiquidBoilerSpaceStock,AT,,effConv,0.804
stock,heat,oilLiquidBoilerSpaceStock,BA,,effConv,0.81
stock,heat,oilLiquidBoilerSpaceStock,BE,,effConv,0.768
stock,heat,oilLiquidBoilerSpaceStock,BG,,effConv,0.798
stock,heat,oilLiquidBoilerSpaceStock,CH,,effConv,0.804
stock,heat,oilLiquidBoilerSpaceStock,CZ,,effConv,0.831
stock,heat,oilLiquidBoilerSpaceStock,DE,,effConv,0.77
stock,heat,oilLiquidBoilerSpaceStock,DK,,effConv,0.775
stock,heat,oilLiquidBoilerSpaceStock,EE,,effConv,0.799
stock,heat,oilLiquidBoilerSpaceStock,ES,,effConv,0.8
stock,heat,oilLiquidBoilerSpaceStock,FI,,effConv,0.8
stock,heat,oilLiquidBoilerSpaceStock,FR,,effConv,0.835
stock,heat,oilLiquidBoilerSpaceStock,GR,,effConv,0.777
stock,heat,oilLiquidBoilerSpaceStock,HR,,effConv,0.72
stock,heat,oilLiquidBoilerSpaceStock,HU,,effConv,0.759
stock,heat,oilLiquidBoilerSpaceStock,IE,,effConv,0.796
stock,heat,oilLiquidBoilerSpaceStock,IT,,effConv,0.772
stock,heat,oilLiquidBoilerSpaceStock,LT,,effConv,0.844
stock,heat,oilLiquidBoilerSpaceStock,LU,,effConv,0.789
stock,heat,oilLiquidBoilerSpaceStock,LV,,effConv,0.814
stock,heat,oilLiquidBoilerSpaceStock,ME,,effConv,0.81
stock,heat,oilLiquidBoilerSpaceStock,MK,,effConv,0.81
stock,heat,oilLiquidBoilerSpaceStock,NL,,effConv,0.846
stock,heat,oilLiquidBoilerSpaceStock,NO,,effConv,0.826
stock,heat,oilLiquidBoilerSpaceStock,PL,,effConv,0.771
stock,heat,oilLiquidBoilerSpaceStock,PT,,effConv,0.795
stock,heat,oilLiquidBoilerSpaceStock,RO,,effConv,0.81
stock,heat,oilLiquidBoilerSpaceStock,RS,,effConv,0.81
stock,heat,oilLiquidBoilerSpaceStock,SE,,effConv,0.826
stock,heat,oilLiquidBoilerSpaceStock,SI,,effConv,0.771
stock,heat,oilLiquidBoilerSpaceStock,SK,,effConv,0.825
stock,heat,oilLiquidBoilerSpaceStock,UK,,effConv,0.809
stock,heat,resistiveHeatSpaceStock,AL,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,AT,,effConv,0.927
stock,heat,resistiveHeatSpaceStock,BA,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,BE,,effConv,0.931
stock,heat,resistiveHeatSpaceStock,BG,,effConv,0.917
stock,heat,resistiveHeatSpaceStock,CH,,effConv,0.927
stock,heat,resistiveHeatSpaceStock,CZ,,effConv,0.899
stock,heat,resistiveHeatSpaceStock,DE,,effConv,0.937
stock,heat,resistiveHeatSpaceStock,DK,,effConv,0.933
stock,heat,resistiveHeatSpaceStock,EE,,effConv,0.913
stock,heat,resistiveHeatSpaceStock,ES,,effConv,0.927
stock,heat,resistiveHeatSpaceStock,FI,,effConv,0.935
stock,heat,resistiveHeatSpaceStock,FR,,effConv,0.94
stock,heat,resistiveHeatSpaceStock,GR,,effConv,0.89
stock,heat,resistiveHeatSpaceStock,HR,,effConv,0.833
stock,heat,resistiveHeatSpaceStock,HU,,effConv,0.895
stock,heat,resistiveHeatSpaceStock,IE,,effConv,0.906
stock,heat,resistiveHeatSpaceStock,IT,,effConv,0.895
stock,heat,resistiveHeatSpaceStock,LT,,effConv,0.929
stock,heat,resistiveHeatSpaceStock,LU,,effConv,0.934
stock,heat,resistiveHeatSpaceStock,LV,,effConv,0.925
stock,heat,resistiveHeatSpaceStock,ME,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,MK,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,NL,,effConv,0.925
stock,heat,resistiveHeatSpaceStock,NO,,effConv,0.94
stock,heat,resistiveHeatSpaceStock,PL,,effConv,0.895
stock,heat,resistiveHeatSpaceStock,PT,,effConv,0.917
stock,heat,resistiveHeatSpaceStock,RO,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,RS,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,SE,,effConv,0.94
stock,heat,resistiveHeatSpaceStock,SI,,effConv,0.881
stock,heat,resistiveHeatSpaceStock,SK,,effConv,0.912
stock,heat,resistiveHeatSpaceStock,UK,,effConv,0.919
stock,power,oilPlantProLowStock,,,effConv,0.95
stock,power,oilPlantProMedStock,,,effConv,0.95
stock,power,oilPlantProLowStock,,processHeat_low,ratioConvOutFix,0.77
stock,power,oilPlantProMedStock,,processHeat_medium,ratioConvOutFix,0.77
