timestep_2,technology_3,region_4,parameter_1,value_1,parameter_2,value_2,comment
2040,districtHeatSpace_c,12PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,13PT,shareExpOutUp,0.112505679,costExpConv,2386.979909,
2040,districtHeatSpace_b,13PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,13PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,14FR,shareExpOutUp,0.138473142,costExpConv,1350.952145,
2040,districtHeatSpace_b,14FR,shareExpOutUp,0.015096175,costExpConv,1000.843279,
2040,districtHeatSpace_c,14FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,15FR,shareExpOutUp,0.117050674,costExpConv,1336.032447,
2040,districtHeatSpace_b,15FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,15FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,16FR,shareExpOutUp,0.243842809,costExpConv,1264.921915,
2040,districtHeatSpace_b,16FR,shareExpOutUp,0.007222662,costExpConv,699.6257751,
2040,districtHeatSpace_c,16FR,shareExpOutUp,0.017701029,costExpConv,966.9175778,
2040,districtHeatSpace_a,17FR,shareExpOutUp,0.02069797,costExpConv,956.7397256,
2040,districtHeatSpace_b,17FR,shareExpOutUp,0.088385457,costExpConv,1312.344939,
2040,districtHeatSpace_c,17FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,18FR,shareExpOutUp,0.12279207,costExpConv,1423.996295,
2040,districtHeatSpace_b,18FR,shareExpOutUp,0.00957573,costExpConv,968.3693965,
2040,districtHeatSpace_c,18FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,19FR,shareExpOutUp,0.083394655,costExpConv,1378.416599,
2040,districtHeatSpace_b,19FR,shareExpOutUp,0.011112692,costExpConv,924.0376405,
2040,districtHeatSpace_c,19FR,shareExpOutUp,0.233184777,costExpConv,1494.52224,
2040,districtHeatSpace_a,20FR,shareExpOutUp,0.152875577,costExpConv,1774.79661,
2040,districtHeatSpace_b,20FR,shareExpOutUp,0.016694361,costExpConv,1193.565476,
2040,districtHeatSpace_c,20FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,21FR,shareExpOutUp,0.013849375,costExpConv,931.4209942,
2040,districtHeatSpace_b,21FR,shareExpOutUp,0.139578357,costExpConv,1402.451259,
2040,districtHeatSpace_c,21FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,22FR,shareExpOutUp,0.118438614,costExpConv,1390.40699,
2040,districtHeatSpace_b,22FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,22FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,23FR,shareExpOutUp,0.029700981,costExpConv,1478.641872,
