technology_3,region_2,timestep_2,parameter,value,source
gasBoilerSpace,AL,2025,lifeConv,22.6233,"see techData -> spaceHeatData, assumed same values for gas and h2"
gasBoilerSpace,AL,2030,lifeConv,22.6233,
gasBoilerSpace,AL,2035,lifeConv,22.6233,
gasBoilerSpace,AL,2040,lifeConv,22.6233,
gasBoilerSpace,AL,2045,lifeConv,22.6233,
gasBoilerSpace,AL,2050,lifeConv,22.6233,
gasBoilerSpace,AL,,effConv,1.0008,
gasBoilerSpace,AL,2025,costExpConv,168.3921,
gasBoilerSpace,AL,2030,costExpConv,165.5886,
gasBoilerSpace,AL,2035,costExpConv,162.5864,
gasBoilerSpace,AL,2040,costExpConv,159.4374,
gasBoilerSpace,AL,2045,costExpConv,155.6442,
gasBoilerSpace,AL,2050,costExpConv,151.8509,
gasBoilerSpace,AL,2025,costOprConv,7.3402,
gasBoilerSpace,AL,2030,costOprConv,7.3399,
gasBoilerSpace,AL,2035,costOprConv,7.1879,
gasBoilerSpace,AL,2040,costOprConv,7.0306,
gasBoilerSpace,AL,2045,costOprConv,6.5323,
gasBoilerSpace,AL,2050,costOprConv,6.034,
districtHeatSpace,AL,2025,lifeConv,25,
districtHeatSpace,AL,2030,lifeConv,25,
districtHeatSpace,AL,2035,lifeConv,25,
districtHeatSpace,AL,2040,lifeConv,25,
districtHeatSpace,AL,2045,lifeConv,25,
districtHeatSpace,AL,2050,lifeConv,25,
districtHeatSpace,AL,,effConv,0.9,
districtHeatSpace,AL,2025,costExpConv,103.7031,
districtHeatSpace,AL,2030,costExpConv,101.0927,
districtHeatSpace,AL,2035,costExpConv,98.4211,
districtHeatSpace,AL,2040,costExpConv,95.725,
districtHeatSpace,AL,2045,costExpConv,93.1602,
districtHeatSpace,AL,2050,costExpConv,90.5955,
districtHeatSpace,AL,2025,costOprConv,1.8452,
districtHeatSpace,AL,2030,costOprConv,1.8692,
districtHeatSpace,AL,2035,costOprConv,1.8365,
districtHeatSpace,AL,2040,costOprConv,1.8032,
districtHeatSpace,AL,2045,costOprConv,1.7677,
districtHeatSpace,AL,2050,costOprConv,1.7323,
bioBoilerSpace,AL,2025,lifeConv,20,
bioBoilerSpace,AL,2030,lifeConv,20,
bioBoilerSpace,AL,2035,lifeConv,20,
bioBoilerSpace,AL,2040,lifeConv,20,
bioBoilerSpace,AL,2045,lifeConv,20,
bioBoilerSpace,AL,2050,lifeConv,20,
bioBoilerSpace,AL,,effConv,0.8794,
bioBoilerSpace,AL,2025,costExpConv,302.3606,
bioBoilerSpace,AL,2030,costExpConv,302.5535,
bioBoilerSpace,AL,2035,costExpConv,297.6248,
bioBoilerSpace,AL,2040,costExpConv,292.4018,
bioBoilerSpace,AL,2045,costExpConv,305.402,
bioBoilerSpace,AL,2050,costExpConv,318.4021,
bioBoilerSpace,AL,2025,costOprConv,17.1255,
bioBoilerSpace,AL,2030,costOprConv,17.3068,
bioBoilerSpace,AL,2035,costOprConv,17.1202,
bioBoilerSpace,AL,2040,costOprConv,16.9192,
bioBoilerSpace,AL,2045,costOprConv,18.1424,
bioBoilerSpace,AL,2050,costOprConv,19.3655,
heatpumpAirSpace,AL,2025,lifeConv,18.0987,
heatpumpAirSpace,AL,2030,lifeConv,18.0987,
heatpumpAirSpace,AL,2035,lifeConv,18.0987,
heatpumpAirSpace,AL,2040,lifeConv,18.0987,
heatpumpAirSpace,AL,2045,lifeConv,18.0987,
heatpumpAirSpace,AL,2050,lifeConv,18.0987,
heatpumpAirSpace,AL,2025,costExpConv,3147.5766,
heatpumpAirSpace,AL,2030,costExpConv,2989.2338,
heatpumpAirSpace,AL,2035,costExpConv,2926.9844,
heatpumpAirSpace,AL,2040,costExpConv,2866.5856,
heatpumpAirSpace,AL,2045,costExpConv,2780.8878,
heatpumpAirSpace,AL,2050,costExpConv,2695.1899,
heatpumpAirSpace,AL,2025,costOprConv,70.1942,
heatpumpAirSpace,AL,2030,costOprConv,72.4894,
heatpumpAirSpace,AL,2035,costOprConv,73.2264,
heatpumpAirSpace,AL,2040,costOprConv,73.9243,
heatpumpAirSpace,AL,2045,costOprConv,74.1379,
heatpumpAirSpace,AL,2050,costOprConv,74.3516,
heatpumpGroundSpace,AL,2025,lifeConv,20,
heatpumpGroundSpace,AL,2030,lifeConv,20,
heatpumpGroundSpace,AL,2035,lifeConv,20,
heatpumpGroundSpace,AL,2040,lifeConv,20,
heatpumpGroundSpace,AL,2045,lifeConv,20,
heatpumpGroundSpace,AL,2050,lifeConv,20,
heatpumpGroundSpace,AL,2025,costExpConv,4276.812,
heatpumpGroundSpace,AL,2030,costExpConv,4139.1468,
heatpumpGroundSpace,AL,2035,costExpConv,4104.7756,
heatpumpGroundSpace,AL,2040,costExpConv,4071.7832,
heatpumpGroundSpace,AL,2045,costExpConv,3987.4662,
heatpumpGroundSpace,AL,2050,costExpConv,3903.1492,
heatpumpGroundSpace,AL,2025,costOprConv,63.5901,
heatpumpGroundSpace,AL,2030,costOprConv,64.4485,
heatpumpGroundSpace,AL,2035,costOprConv,64.8913,
heatpumpGroundSpace,AL,2040,costOprConv,65.272,
heatpumpGroundSpace,AL,2045,costOprConv,64.936,
heatpumpGroundSpace,AL,2050,costOprConv,64.6,
solarThermalResi_b,AL,2025,lifeConv,25,
solarThermalResi_b,AL,2030,lifeConv,30,
solarThermalResi_b,AL,2035,lifeConv,30,
solarThermalResi_b,AL,2040,lifeConv,30,
solarThermalResi_b,AL,2045,lifeConv,30,
solarThermalResi_b,AL,2050,lifeConv,30,
solarThermalResi_b,AL,2025,costExpConv,1285.116,
solarThermalResi_b,AL,2030,costExpConv,1231.2228,
solarThermalResi_b,AL,2035,costExpConv,1197.5286,
solarThermalResi_b,AL,2040,costExpConv,1168.3293,
solarThermalResi_b,AL,2045,costExpConv,1139.4059,
solarThermalResi_b,AL,2050,costExpConv,1110.4824,
solarThermalResi_b,AL,2025,costOprConv,8.7665,
solarThermalResi_b,AL,2030,costOprConv,8.8489,
solarThermalResi_b,AL,2035,costOprConv,8.6575,
solarThermalResi_b,AL,2040,costOprConv,8.5023,
solarThermalResi_b,AL,2045,costOprConv,8.2853,
solarThermalResi_b,AL,2050,costOprConv,8.0683,
resistiveHeatSpace,AL,2025,lifeConv,30,
resistiveHeatSpace,AL,2030,lifeConv,30,
resistiveHeatSpace,AL,2035,lifeConv,30,
resistiveHeatSpace,AL,2040,lifeConv,30,
resistiveHeatSpace,AL,2045,lifeConv,30,
resistiveHeatSpace,AL,2050,lifeConv,30,
resistiveHeatSpace,AL,,effConv,1,
resistiveHeatSpace,AL,2025,costExpConv,766.6753,
resistiveHeatSpace,AL,2030,costExpConv,747.6992,
resistiveHeatSpace,AL,2035,costExpConv,729.4217,
resistiveHeatSpace,AL,2040,costExpConv,711.1443,
resistiveHeatSpace,AL,2045,costExpConv,693.7604,
resistiveHeatSpace,AL,2050,costExpConv,676.3765,
resistiveHeatSpace,AL,2025,costOprConv,3.9569,
resistiveHeatSpace,AL,2030,costOprConv,3.7952,
resistiveHeatSpace,AL,2035,costOprConv,3.7127,
resistiveHeatSpace,AL,2040,costOprConv,3.6302,
resistiveHeatSpace,AL,2045,costOprConv,3.5477,
resistiveHeatSpace,AL,2050,costOprConv,3.4652,
gasBoilerSpace,AT,2025,lifeConv,22.5865,
gasBoilerSpace,AT,2030,lifeConv,22.5865,
gasBoilerSpace,AT,2035,lifeConv,22.5865,
gasBoilerSpace,AT,2040,lifeConv,22.5865,
gasBoilerSpace,AT,2045,lifeConv,22.5865,
gasBoilerSpace,AT,2050,lifeConv,22.5865,
gasBoilerSpace,AT,,effConv,1.0006,
gasBoilerSpace,AT,2025,costExpConv,175.1673,
gasBoilerSpace,AT,2030,costExpConv,172.1953,
gasBoilerSpace,AT,2035,costExpConv,169.0772,
gasBoilerSpace,AT,2040,costExpConv,165.7769,
gasBoilerSpace,AT,2045,costExpConv,161.8082,
gasBoilerSpace,AT,2050,costExpConv,157.8395,
gasBoilerSpace,AT,2025,costOprConv,7.6102,
gasBoilerSpace,AT,2030,costOprConv,7.6085,
gasBoilerSpace,AT,2035,costOprConv,7.4528,
gasBoilerSpace,AT,2040,costOprConv,7.2906,
gasBoilerSpace,AT,2045,costOprConv,6.7306,
gasBoilerSpace,AT,2050,costOprConv,6.1707,
districtHeatSpace,AT,2025,lifeConv,25,
districtHeatSpace,AT,2030,lifeConv,25,
districtHeatSpace,AT,2035,lifeConv,25,
districtHeatSpace,AT,2040,lifeConv,25,
districtHeatSpace,AT,2045,lifeConv,25,
districtHeatSpace,AT,2050,lifeConv,25,
districtHeatSpace,AT,,effConv,0.9,
districtHeatSpace,AT,2025,costExpConv,105.5101,
districtHeatSpace,AT,2030,costExpConv,102.8771,
districtHeatSpace,AT,2035,costExpConv,100.2412,
districtHeatSpace,AT,2040,costExpConv,97.576,
districtHeatSpace,AT,2045,costExpConv,94.9924,
districtHeatSpace,AT,2050,costExpConv,92.4088,
districtHeatSpace,AT,2025,costOprConv,1.9049,
districtHeatSpace,AT,2030,costOprConv,1.9191,
districtHeatSpace,AT,2035,costOprConv,1.8838,
districtHeatSpace,AT,2040,costOprConv,1.8475,
districtHeatSpace,AT,2045,costOprConv,1.8077,
districtHeatSpace,AT,2050,costOprConv,1.768,
bioBoilerSpace,AT,2025,lifeConv,20,
bioBoilerSpace,AT,2030,lifeConv,20,
bioBoilerSpace,AT,2035,lifeConv,20,
bioBoilerSpace,AT,2040,lifeConv,20,
bioBoilerSpace,AT,2045,lifeConv,20,
bioBoilerSpace,AT,2050,lifeConv,20,
bioBoilerSpace,AT,,effConv,0.8752,
bioBoilerSpace,AT,2025,costExpConv,314.8508,
bioBoilerSpace,AT,2030,costExpConv,314.7277,
bioBoilerSpace,AT,2035,costExpConv,309.6732,
bioBoilerSpace,AT,2040,costExpConv,304.2497,
bioBoilerSpace,AT,2045,costExpConv,314.1599,
bioBoilerSpace,AT,2050,costExpConv,324.07,
bioBoilerSpace,AT,2025,costOprConv,17.8848,
bioBoilerSpace,AT,2030,costOprConv,18.0411,
bioBoilerSpace,AT,2035,costOprConv,17.8493,
bioBoilerSpace,AT,2040,costOprConv,17.6394,
bioBoilerSpace,AT,2045,costOprConv,18.6258,
bioBoilerSpace,AT,2050,costOprConv,19.6123,
heatpumpAirSpace,AT,2025,lifeConv,18.0692,
heatpumpAirSpace,AT,2030,lifeConv,18.0692,
heatpumpAirSpace,AT,2035,lifeConv,18.0692,
heatpumpAirSpace,AT,2040,lifeConv,18.0692,
heatpumpAirSpace,AT,2045,lifeConv,18.0692,
heatpumpAirSpace,AT,2050,lifeConv,18.0692,
heatpumpAirSpace,AT,2025,costExpConv,3090.3822,
heatpumpAirSpace,AT,2030,costExpConv,2939.5468,
heatpumpAirSpace,AT,2035,costExpConv,2880.5405,
heatpumpAirSpace,AT,2040,costExpConv,2823.9074,
heatpumpAirSpace,AT,2045,costExpConv,2741.4605,
heatpumpAirSpace,AT,2050,costExpConv,2659.0136,
heatpumpAirSpace,AT,2025,costOprConv,72.1878,
heatpumpAirSpace,AT,2030,costOprConv,74.495,
heatpumpAirSpace,AT,2035,costOprConv,75.2408,
heatpumpAirSpace,AT,2040,costOprConv,75.9372,
heatpumpAirSpace,AT,2045,costOprConv,76.1076,
heatpumpAirSpace,AT,2050,costOprConv,76.278,
heatpumpGroundSpace,AT,2025,lifeConv,20,
heatpumpGroundSpace,AT,2030,lifeConv,20,
heatpumpGroundSpace,AT,2035,lifeConv,20,
heatpumpGroundSpace,AT,2040,lifeConv,20,
heatpumpGroundSpace,AT,2045,lifeConv,20,
heatpumpGroundSpace,AT,2050,lifeConv,20,
heatpumpGroundSpace,AT,2025,costExpConv,4258.9375,
heatpumpGroundSpace,AT,2030,costExpConv,4123.1088,
heatpumpGroundSpace,AT,2035,costExpConv,4089.3095,
heatpumpGroundSpace,AT,2040,costExpConv,4057.2794,
heatpumpGroundSpace,AT,2045,costExpConv,3981.2613,
heatpumpGroundSpace,AT,2050,costExpConv,3905.2432,
heatpumpGroundSpace,AT,2025,costOprConv,66.4688,
heatpumpGroundSpace,AT,2030,costOprConv,67.3663,
heatpumpGroundSpace,AT,2035,costOprConv,67.8368,
heatpumpGroundSpace,AT,2040,costOprConv,68.2285,
heatpumpGroundSpace,AT,2045,costOprConv,68.0155,
heatpumpGroundSpace,AT,2050,costOprConv,67.8025,
solarThermalResi_b,AT,2025,lifeConv,25,
solarThermalResi_b,AT,2030,lifeConv,30,
solarThermalResi_b,AT,2035,lifeConv,30,
solarThermalResi_b,AT,2040,lifeConv,30,
solarThermalResi_b,AT,2045,lifeConv,30,
solarThermalResi_b,AT,2050,lifeConv,30,
solarThermalResi_b,AT,2025,costExpConv,1106.4875,
solarThermalResi_b,AT,2030,costExpConv,1059.2934,
solarThermalResi_b,AT,2035,costExpConv,1028.613,
solarThermalResi_b,AT,2040,costExpConv,1003.5337,
solarThermalResi_b,AT,2045,costExpConv,978.6826,
solarThermalResi_b,AT,2050,costExpConv,953.8315,
solarThermalResi_b,AT,2025,costOprConv,7.4018,
solarThermalResi_b,AT,2030,costOprConv,7.4972,
solarThermalResi_b,AT,2035,costOprConv,7.3235,
solarThermalResi_b,AT,2040,costOprConv,7.195,
solarThermalResi_b,AT,2045,costOprConv,7.0179,
solarThermalResi_b,AT,2050,costOprConv,6.8408,
