technology_1,technology_2,technology_3,region_2,carrier_1,parameter,value
stock,heat,bioBoilerSpaceStock,AL,,effConv,0.581900975
stock,heat,bioBoilerSpaceStock,AT,,effConv,0.614484129
stock,heat,bioBoilerSpaceStock,BA,,effConv,0.581900975
stock,heat,bioBoilerSpaceStock,BE,,effConv,0.667208244
stock,heat,bioBoilerSpaceStock,BG,,effConv,0.616985483
stock,heat,bioBoilerSpaceStock,CH,,effConv,0.614484129
stock,heat,bioBoilerSpaceStock,CZ,,effConv,0.675119034
stock,heat,bioBoilerSpaceStock,DE,,effConv,0.689712329
stock,heat,bioBoilerSpaceStock,DK,,effConv,0.623346486
stock,heat,bioBoilerSpaceStock,EE,,effConv,0.674561445
stock,heat,bioBoilerSpaceStock,ES,,effConv,0.683335255
stock,heat,bioBoilerSpaceStock,FI,,effConv,0.58175581
stock,heat,bioBoilerSpaceStock,FR,,effConv,0.607147795
stock,heat,bioBoilerSpaceStock,GR,,effConv,0.551992033
stock,heat,bioBoilerSpaceStock,HR,,effConv,0.661198281
stock,heat,bioBoilerSpaceStock,HU,,effConv,0.675533443
stock,heat,bioBoilerSpaceStock,IE,,effConv,0.687959075
stock,heat,bioBoilerSpaceStock,IT,,effConv,0.589131713
stock,heat,bioBoilerSpaceStock,LT,,effConv,0.635521207
stock,heat,bioBoilerSpaceStock,LU,,effConv,0.693039753
stock,heat,bioBoilerSpaceStock,LV,,effConv,0.666461351
stock,heat,bioBoilerSpaceStock,ME,,effConv,0.581900975
stock,heat,bioBoilerSpaceStock,MK,,effConv,0.581900975
stock,heat,bioBoilerSpaceStock,NL,,effConv,0.677180029
stock,heat,bioBoilerSpaceStock,NO,,effConv,0.567820532
stock,heat,bioBoilerSpaceStock,PL,,effConv,0.702251559
stock,heat,bioBoilerSpaceStock,PT,,effConv,0.691033704
stock,heat,bioBoilerSpaceStock,RO,,effConv,0.581900975
stock,heat,bioBoilerSpaceStock,RS,,effConv,0.581900975
stock,heat,bioBoilerSpaceStock,SE,,effConv,0.567820532
stock,heat,bioBoilerSpaceStock,SI,,effConv,0.649589638
stock,heat,bioBoilerSpaceStock,SK,,effConv,0.740715989
stock,heat,bioBoilerSpaceStock,UK,,effConv,0.628625428
stock,heat,coalBoilerSpaceStock,AL,,effConv,0.623295323
stock,heat,coalBoilerSpaceStock,AT,,effConv,0.606226034
stock,heat,coalBoilerSpaceStock,BA,,effConv,0.623295323
stock,heat,coalBoilerSpaceStock,BE,,effConv,0.599713136
stock,heat,coalBoilerSpaceStock,BG,,effConv,0.6317106
stock,heat,coalBoilerSpaceStock,CH,,effConv,0.606226034
stock,heat,coalBoilerSpaceStock,CZ,,effConv,0.59907286
