timestep_2,region_3,technology_3,parameter,value,source
2020,01ES,coalBoilerProHigh,capaConvResi,0.066,see heatInputs for details
2020,01ES,gasBoilerProHigh,capaConvResi,0.286,
2020,01ES,oilLiquidBoilerProHigh,capaConvResi,0.159,
2020,01ES,gasEngineProLow,capaConvResi,0.174,
2020,01ES,bioEngineProMed,capaConvResi,0.083,
2020,01ES,gasEngineProMed,capaConvResi,0.269,
2020,01ES,oilLiquidBoilerProMed,capaConvResi,0.052,
2020,01ES,bioBoilerSpaceStock,capaConvResi,1.116,
2020,01ES,gasBoilerSpaceStock,capaConvResi,2.239,
2020,01ES,oilLiquidBoilerSpaceStock,capaConvResi,1.633,
2020,01ES,resistiveHeatSpaceStock,capaConvResi,0.663,
2020,02ES,coalBoilerProHigh,capaConvResi,0.079,
2020,02ES,eBoilerProHigh,capaConvResi,0.051,
2020,02ES,gasBoilerProHigh,capaConvResi,0.343,
2020,02ES,oilLiquidBoilerProHigh,capaConvResi,0.19,
2020,02ES,gasEngineProLow,capaConvResi,0.178,
2020,02ES,bioEngineProMed,capaConvResi,0.091,
2020,02ES,gasBoilerProMed,capaConvResi,0.055,
2020,02ES,gasEngineProMed,capaConvResi,0.294,
2020,02ES,oilLiquidBoilerProMed,capaConvResi,0.057,
2020,02ES,bioBoilerSpaceStock,capaConvResi,1.131,
2020,02ES,gasBoilerSpaceStock,capaConvResi,2.269,
2020,02ES,oilLiquidBoilerSpaceStock,capaConvResi,1.655,
2020,02ES,resistiveHeatSpaceStock,capaConvResi,0.672,
2020,03ES,coalBoilerProHigh,capaConvResi,0.052,
2020,03ES,gasBoilerProHigh,capaConvResi,0.227,
2020,03ES,oilLiquidBoilerProHigh,capaConvResi,0.126,
2020,03ES,gasEngineProLow,capaConvResi,0.149,
2020,03ES,bioEngineProMed,capaConvResi,0.074,
2020,03ES,gasEngineProMed,capaConvResi,0.239,
2020,03ES,bioBoilerSpaceStock,capaConvResi,0.754,
2020,03ES,gasBoilerSpaceStock,capaConvResi,1.512,
2020,03ES,oilLiquidBoilerSpaceStock,capaConvResi,1.103,
2020,03ES,resistiveHeatSpaceStock,capaConvResi,0.448,
2020,04ES,coalBoilerProHigh,capaConvResi,0.129,
2020,04ES,eBoilerProHigh,capaConvResi,0.082,
2020,04ES,gasBoilerProHigh,capaConvResi,0.56,
2020,04ES,oilLiquidBoilerProHigh,capaConvResi,0.31,
2020,04ES,gasBoilerProLow,capaConvResi,0.062,
2020,04ES,gasEngineProLow,capaConvResi,0.33,
2020,04ES,bioEngineProMed,capaConvResi,0.176,
2020,04ES,gasBoilerProMed,capaConvResi,0.106,
