region_4,technology_3,carrier_1,parameter,value,source
03ES,bioGasEngineProMedStock,,effConv,0.875,
03ES,ccgtGasBackProMedStock,,effConv,0.75,
03ES,coalBoilerProMedStock,,effConv,0.7,
03ES,eBoilerProMed,,effConv,0.930833333,
03ES,gasBoilerProMedStock,,effConv,0.7,
03ES,gasEngineProMedStock,,effConv,0.875,
03ES,oilBoilerProMedStock,,effConv,0.889995824,
03ES,hardcoalPlantProMedStock,,effConv,0.85,
03ES,oilPlantProMedStock,,effConv,0.846002329,
03ES,districtHeatSpace,,effConv,0.8,
03ES,bioBoilerSpaceStock,,effConv,0.817609197,
03ES,gasBoilerSpaceStock,,effConv,0.823189042,
03ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
03ES,resistiveHeatSpaceStock,,effConv,0.927,
03ES,coalBoilerSpaceStock,,effConv,0.55,
04ES,coalBoilerProHighStock,,effConv,0.7,
04ES,eBoilerProHigh,,effConv,1,
04ES,gasBoilerProHighStock,,effConv,0.7,
04ES,oilBoilerProHighStock,,effConv,0.932746715,
04ES,bioBoilerProLowStock,,effConv,0.7,
04ES,ccgtGasBackProLowStock,,effConv,0.75,
04ES,coalBoilerProLowStock,,effConv,0.7,
04ES,districtHeatPro,,effConv,0.8,
04ES,gasBoilerProLowStock,,effConv,0.7,
04ES,eBoilerProLow,,effConv,0.99,
04ES,gasEngineProLowStock,,effConv,0.875,
04ES,oilBoilerProLowStock,,effConv,0.899323291,
04ES,hardcoalPlantProLowStock,,effConv,0.85,
04ES,oilPlantProLowStock,,effConv,0.775,
04ES,bioBoilerProMedStock,,effConv,0.98,
04ES,bioGasEngineProMedStock,,effConv,0.875,
04ES,ccgtGasBackProMedStock,,effConv,0.75,
04ES,coalBoilerProMedStock,,effConv,0.7,
04ES,eBoilerProMed,,effConv,0.930833333,
04ES,gasBoilerProMedStock,,effConv,0.7,
04ES,gasEngineProMedStock,,effConv,0.875,
04ES,oilBoilerProMedStock,,effConv,0.889995824,
04ES,hardcoalPlantProMedStock,,effConv,0.85,
04ES,oilPlantProMedStock,,effConv,0.846002329,
04ES,districtHeatSpace,,effConv,0.8,
04ES,bioBoilerSpaceStock,,effConv,0.817609197,
04ES,gasBoilerSpaceStock,,effConv,0.823189042,
04ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
04ES,resistiveHeatSpaceStock,,effConv,0.927,
04ES,coalBoilerSpaceStock,,effConv,0.55,
05ES,coalBoilerProHighStock,,effConv,0.7,
05ES,eBoilerProHigh,,effConv,1,
05ES,gasBoilerProHighStock,,effConv,0.7,
05ES,oilBoilerProHighStock,,effConv,0.932746715,
05ES,bioBoilerProLowStock,,effConv,0.7,
05ES,ccgtGasBackProLowStock,,effConv,0.75,
05ES,gasBoilerProLowStock,,effConv,0.7,
05ES,eBoilerProLow,,effConv,0.99,
05ES,gasEngineProLowStock,,effConv,0.875,
05ES,oilBoilerProLowStock,,effConv,0.899323291,
05ES,oilPlantProLowStock,,effConv,0.775,
05ES,bioBoilerProMedStock,,effConv,0.98,
05ES,bioGasEngineProMedStock,,effConv,0.875,
05ES,ccgtGasBackProMedStock,,effConv,0.75,
05ES,coalBoilerProMedStock,,effConv,0.7,
05ES,eBoilerProMed,,effConv,0.930833333,
05ES,gasBoilerProMedStock,,effConv,0.7,
05ES,gasEngineProMedStock,,effConv,0.875,
05ES,oilBoilerProMedStock,,effConv,0.889995824,
05ES,hardcoalPlantProMedStock,,effConv,0.85,
05ES,oilPlantProMedStock,,effConv,0.846002329,
05ES,districtHeatSpace,,effConv,0.8,
05ES,bioBoilerSpaceStock,,effConv,0.817609197,
05ES,gasBoilerSpaceStock,,effConv,0.823189042,
05ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
05ES,resistiveHeatSpaceStock,,effConv,0.927,
05ES,coalBoilerSpaceStock,,effConv,0.55,
06ES,coalBoilerProHighStock,,effConv,0.7,
06ES,eBoilerProHigh,,effConv,1,
06ES,gasBoilerProHighStock,,effConv,0.7,
06ES,oilBoilerProHighStock,,effConv,0.932746715,
06ES,bioBoilerProLowStock,,effConv,0.7,
06ES,ccgtGasBackProLowStock,,effConv,0.75,
06ES,coalBoilerProLowStock,,effConv,0.7,
06ES,districtHeatPro,,effConv,0.8,
06ES,gasBoilerProLowStock,,effConv,0.7,
06ES,eBoilerProLow,,effConv,0.99,
06ES,gasEngineProLowStock,,effConv,0.875,
06ES,oilBoilerProLowStock,,effConv,0.899323291,
06ES,hardcoalPlantProLowStock,,effConv,0.85,
06ES,oilPlantProLowStock,,effConv,0.775,
06ES,bioBoilerProMedStock,,effConv,0.98,
06ES,bioGasEngineProMedStock,,effConv,0.875,
06ES,ccgtGasBackProMedStock,,effConv,0.75,
06ES,coalBoilerProMedStock,,effConv,0.7,
06ES,eBoilerProMed,,effConv,0.930833333,
06ES,gasBoilerProMedStock,,effConv,0.7,
06ES,gasEngineProMedStock,,effConv,0.875,
06ES,oilBoilerProMedStock,,effConv,0.889995824,
06ES,hardcoalPlantProMedStock,,effConv,0.85,
06ES,oilPlantProMedStock,,effConv,0.846002329,
06ES,districtHeatSpace,,effConv,0.8,
06ES,bioBoilerSpaceStock,,effConv,0.817609197,
06ES,gasBoilerSpaceStock,,effConv,0.823189042,
06ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
06ES,resistiveHeatSpaceStock,,effConv,0.927,
06ES,coalBoilerSpaceStock,,effConv,0.55,
07ES,coalBoilerProHighStock,,effConv,0.7,
07ES,eBoilerProHigh,,effConv,1,
07ES,gasBoilerProHighStock,,effConv,0.7,
07ES,oilBoilerProHighStock,,effConv,0.932746715,
07ES,bioBoilerProLowStock,,effConv,0.7,
07ES,ccgtGasBackProLowStock,,effConv,0.75,
07ES,coalBoilerProLowStock,,effConv,0.7,
07ES,districtHeatPro,,effConv,0.8,
07ES,gasBoilerProLowStock,,effConv,0.7,
07ES,eBoilerProLow,,effConv,0.99,
07ES,gasEngineProLowStock,,effConv,0.875,
07ES,oilBoilerProLowStock,,effConv,0.899323291,
07ES,hardcoalPlantProLowStock,,effConv,0.85,
07ES,oilPlantProLowStock,,effConv,0.775,
07ES,bioBoilerProMedStock,,effConv,0.98,
07ES,bioGasEngineProMedStock,,effConv,0.875,
07ES,ccgtGasBackProMedStock,,effConv,0.75,
07ES,coalBoilerProMedStock,,effConv,0.7,
07ES,eBoilerProMed,,effConv,0.930833333,
07ES,gasBoilerProMedStock,,effConv,0.7,
07ES,gasEngineProMedStock,,effConv,0.875,
07ES,oilBoilerProMedStock,,effConv,0.889995824,
07ES,hardcoalPlantProMedStock,,effConv,0.85,
07ES,oilPlantProMedStock,,effConv,0.846002329,
07ES,districtHeatSpace,,effConv,0.8,
07ES,bioBoilerSpaceStock,,effConv,0.817609197,
07ES,gasBoilerSpaceStock,,effConv,0.823189042,
07ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
07ES,resistiveHeatSpaceStock,,effConv,0.927,
07ES,coalBoilerSpaceStock,,effConv,0.55,
08ES,coalBoilerProHighStock,,effConv,0.7,
08ES,eBoilerProHigh,,effConv,1,
08ES,gasBoilerProHighStock,,effConv,0.7,
08ES,oilBoilerProHighStock,,effConv,0.932746715,
08ES,bioBoilerProLowStock,,effConv,0.7,
08ES,ccgtGasBackProLowStock,,effConv,0.75,
08ES,gasBoilerProLowStock,,effConv,0.7,
08ES,eBoilerProLow,,effConv,0.99,
08ES,gasEngineProLowStock,,effConv,0.875,
08ES,oilBoilerProLowStock,,effConv,0.899323291,
08ES,oilPlantProLowStock,,effConv,0.775,
08ES,bioBoilerProMedStock,,effConv,0.98,
08ES,bioGasEngineProMedStock,,effConv,0.875,
08ES,ccgtGasBackProMedStock,,effConv,0.75,
08ES,coalBoilerProMedStock,,effConv,0.7,
08ES,eBoilerProMed,,effConv,0.930833333,
08ES,gasBoilerProMedStock,,effConv,0.7,
08ES,gasEngineProMedStock,,effConv,0.875,
08ES,oilBoilerProMedStock,,effConv,0.889995824,
