region_4,technology_3,carrier_1,parameter,value,source
19FR,gasBoilerProLowStock,,effConv,0.7,
19FR,eBoilerProLow,,effConv,0.99,
19FR,gasEngineProLowStock,,effConv,1.045,
19FR,oilBoilerProLowStock,,effConv,0.964166667,
19FR,hardcoalPlantProLowStock,,effConv,0.85,
19FR,oilPlantProLowStock,,effConv,0.775,
19FR,bioBoilerProMedStock,,effConv,0.98,
19FR,bioGasEngineProMedStock,,effConv,0.875,
19FR,ccgtGasBackProMedStock,,effConv,0.99,
19FR,coalBoilerProMedStock,,effConv,0.7,
19FR,eBoilerProMed,,effConv,0.930833333,
19FR,gasBoilerProMedStock,,effConv,0.7,
19FR,gasEngineProMedStock,,effConv,1.045,
19FR,oilBoilerProMedStock,,effConv,0.954166667,
19FR,hardcoalPlantProMedStock,,effConv,0.85,
19FR,oilPlantProMedStock,,effConv,0.846002329,
19FR,districtHeatSpace,,effConv,0.8,
19FR,bioBoilerSpaceStock,,effConv,0.622687077,
19FR,gasBoilerSpaceStock,,effConv,0.957726617,
19FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
19FR,resistiveHeatSpaceStock,,effConv,0.94,
19FR,coalBoilerSpaceStock,,effConv,0.98,
20FR,coalBoilerProHighStock,,effConv,0.7,
20FR,eBoilerProHigh,,effConv,1,
20FR,gasBoilerProHighStock,,effConv,0.7,
20FR,oilBoilerProHighStock,,effConv,0.98,
20FR,bioBoilerProLowStock,,effConv,0.7,
20FR,ccgtGasBackProLowStock,,effConv,0.99,
20FR,coalBoilerProLowStock,,effConv,0.7,
20FR,districtHeatPro,,effConv,0.8,
20FR,gasBoilerProLowStock,,effConv,0.7,
20FR,eBoilerProLow,,effConv,0.99,
20FR,gasEngineProLowStock,,effConv,1.045,
20FR,oilBoilerProLowStock,,effConv,0.964166667,
20FR,hardcoalPlantProLowStock,,effConv,0.85,
20FR,oilPlantProLowStock,,effConv,0.775,
20FR,bioBoilerProMedStock,,effConv,0.98,
20FR,bioGasEngineProMedStock,,effConv,0.875,
20FR,ccgtGasBackProMedStock,,effConv,0.99,
20FR,coalBoilerProMedStock,,effConv,0.7,
20FR,eBoilerProMed,,effConv,0.930833333,
20FR,gasBoilerProMedStock,,effConv,0.7,
20FR,gasEngineProMedStock,,effConv,1.045,
20FR,oilBoilerProMedStock,,effConv,0.954166667,
20FR,hardcoalPlantProMedStock,,effConv,0.85,
20FR,oilPlantProMedStock,,effConv,0.846002329,
20FR,districtHeatSpace,,effConv,0.8,
20FR,bioBoilerSpaceStock,,effConv,0.622687077,
20FR,gasBoilerSpaceStock,,effConv,0.957726617,
20FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
20FR,resistiveHeatSpaceStock,,effConv,0.94,
20FR,coalBoilerSpaceStock,,effConv,0.98,
21FR,coalBoilerProHighStock,,effConv,0.7,
21FR,eBoilerProHigh,,effConv,1,
21FR,gasBoilerProHighStock,,effConv,0.7,
21FR,oilBoilerProHighStock,,effConv,0.98,
21FR,bioBoilerProLowStock,,effConv,0.7,
21FR,ccgtGasBackProLowStock,,effConv,0.99,
21FR,coalBoilerProLowStock,,effConv,0.7,
21FR,districtHeatPro,,effConv,0.8,
21FR,gasBoilerProLowStock,,effConv,0.7,
21FR,eBoilerProLow,,effConv,0.99,
21FR,gasEngineProLowStock,,effConv,1.045,
21FR,oilBoilerProLowStock,,effConv,0.964166667,
21FR,hardcoalPlantProLowStock,,effConv,0.85,
21FR,oilPlantProLowStock,,effConv,0.775,
21FR,bioBoilerProMedStock,,effConv,0.98,
21FR,bioGasEngineProMedStock,,effConv,0.875,
21FR,ccgtGasBackProMedStock,,effConv,0.99,
21FR,coalBoilerProMedStock,,effConv,0.7,
21FR,eBoilerProMed,,effConv,0.930833333,
21FR,gasBoilerProMedStock,,effConv,0.7,
21FR,gasEngineProMedStock,,effConv,1.045,
21FR,oilBoilerProMedStock,,effConv,0.954166667,
21FR,hardcoalPlantProMedStock,,effConv,0.85,
21FR,oilPlantProMedStock,,effConv,0.846002329,
21FR,districtHeatSpace,,effConv,0.8,
21FR,bioBoilerSpaceStock,,effConv,0.622687077,
21FR,gasBoilerSpaceStock,,effConv,0.957726617,
21FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
21FR,resistiveHeatSpaceStock,,effConv,0.94,
21FR,coalBoilerSpaceStock,,effConv,0.98,
22FR,coalBoilerProHighStock,,effConv,0.7,
22FR,eBoilerProHigh,,effConv,1,
22FR,gasBoilerProHighStock,,effConv,0.7,
22FR,oilBoilerProHighStock,,effConv,0.98,
22FR,ccgtGasBackProLowStock,,effConv,0.99,
22FR,districtHeatPro,,effConv,0.8,
22FR,gasBoilerProLowStock,,effConv,0.7,
22FR,gasEngineProLowStock,,effConv,1.045,
22FR,oilBoilerProLowStock,,effConv,0.964166667,
22FR,bioBoilerProMedStock,,effConv,0.98,
22FR,bioGasEngineProMedStock,,effConv,0.875,
22FR,ccgtGasBackProMedStock,,effConv,0.99,
22FR,coalBoilerProMedStock,,effConv,0.7,
22FR,gasBoilerProMedStock,,effConv,0.7,
22FR,gasEngineProMedStock,,effConv,1.045,
22FR,oilBoilerProMedStock,,effConv,0.954166667,
22FR,hardcoalPlantProMedStock,,effConv,0.85,
22FR,districtHeatSpace,,effConv,0.8,
22FR,bioBoilerSpaceStock,,effConv,0.622687077,
22FR,gasBoilerSpaceStock,,effConv,0.957726617,
22FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
22FR,resistiveHeatSpaceStock,,effConv,0.94,
22FR,coalBoilerSpaceStock,,effConv,0.98,
23FR,coalBoilerProHighStock,,effConv,0.7,
23FR,eBoilerProHigh,,effConv,1,
23FR,gasBoilerProHighStock,,effConv,0.7,
23FR,oilBoilerProHighStock,,effConv,0.98,
23FR,bioBoilerProLowStock,,effConv,0.7,
23FR,ccgtGasBackProLowStock,,effConv,0.99,
23FR,coalBoilerProLowStock,,effConv,0.7,
23FR,districtHeatPro,,effConv,0.8,
23FR,gasBoilerProLowStock,,effConv,0.7,
23FR,eBoilerProLow,,effConv,0.99,
23FR,gasEngineProLowStock,,effConv,1.045,
23FR,oilBoilerProLowStock,,effConv,0.964166667,
23FR,hardcoalPlantProLowStock,,effConv,0.85,
23FR,oilPlantProLowStock,,effConv,0.775,
23FR,bioBoilerProMedStock,,effConv,0.98,
23FR,bioGasEngineProMedStock,,effConv,0.875,
23FR,ccgtGasBackProMedStock,,effConv,0.99,
23FR,coalBoilerProMedStock,,effConv,0.7,
23FR,eBoilerProMed,,effConv,0.930833333,
23FR,gasBoilerProMedStock,,effConv,0.7,
23FR,gasEngineProMedStock,,effConv,1.045,
23FR,oilBoilerProMedStock,,effConv,0.954166667,
23FR,hardcoalPlantProMedStock,,effConv,0.85,
23FR,oilPlantProMedStock,,effConv,0.846002329,
23FR,districtHeatSpace,,effConv,0.8,
23FR,bioBoilerSpaceStock,,effConv,0.622687077,
23FR,gasBoilerSpaceStock,,effConv,0.957726617,
23FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
23FR,resistiveHeatSpaceStock,,effConv,0.94,
23FR,coalBoilerSpaceStock,,effConv,0.98,
24FR,coalBoilerProHighStock,,effConv,0.7,
24FR,eBoilerProHigh,,effConv,1,
24FR,gasBoilerProHighStock,,effConv,0.7,
24FR,oilBoilerProHighStock,,effConv,0.98,
24FR,bioBoilerProLowStock,,effConv,0.7,
24FR,ccgtGasBackProLowStock,,effConv,0.99,
24FR,coalBoilerProLowStock,,effConv,0.7,
24FR,districtHeatPro,,effConv,0.8,
24FR,gasBoilerProLowStock,,effConv,0.7,
24FR,eBoilerProLow,,effConv,0.99,
24FR,gasEngineProLowStock,,effConv,1.045,
24FR,oilBoilerProLowStock,,effConv,0.964166667,
24FR,hardcoalPlantProLowStock,,effConv,0.85,
24FR,oilPlantProLowStock,,effConv,0.775,
24FR,bioBoilerProMedStock,,effConv,0.98,
24FR,bioGasEngineProMedStock,,effConv,0.875,
24FR,ccgtGasBackProMedStock,,effConv,0.99,
24FR,coalBoilerProMedStock,,effConv,0.7,
24FR,eBoilerProMed,,effConv,0.930833333,
24FR,gasBoilerProMedStock,,effConv,0.7,
24FR,gasEngineProMedStock,,effConv,1.045,
24FR,oilBoilerProMedStock,,effConv,0.954166667,
24FR,hardcoalPlantProMedStock,,effConv,0.85,
24FR,oilPlantProMedStock,,effConv,0.846002329,
24FR,districtHeatSpace,,effConv,0.8,
24FR,bioBoilerSpaceStock,,effConv,0.622687077,
24FR,gasBoilerSpaceStock,,effConv,0.957726617,
24FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
24FR,resistiveHeatSpaceStock,,effConv,0.94,
24FR,coalBoilerSpaceStock,,effConv,0.98,
25FR,coalBoilerProHighStock,,effConv,0.7,
25FR,eBoilerProHigh,,effConv,1,
25FR,gasBoilerProHighStock,,effConv,0.7,
25FR,oilBoilerProHighStock,,effConv,0.98,
25FR,bioBoilerProLowStock,,effConv,0.7,
25FR,ccgtGasBackProLowStock,,effConv,0.99,
25FR,coalBoilerProLowStock,,effConv,0.7,
25FR,districtHeatPro,,effConv,0.8,
25FR,gasBoilerProLowStock,,effConv,0.7,
25FR,eBoilerProLow,,effConv,0.99,
25FR,gasEngineProLowStock,,effConv,1.045,
25FR,oilBoilerProLowStock,,effConv,0.964166667,
25FR,hardcoalPlantProLowStock,,effConv,0.85,
25FR,oilPlantProLowStock,,effConv,0.775,
25FR,bioBoilerProMedStock,,effConv,0.98,
25FR,bioGasEngineProMedStock,,effConv,0.875,
25FR,ccgtGasBackProMedStock,,effConv,0.99,
25FR,coalBoilerProMedStock,,effConv,0.7,
25FR,eBoilerProMed,,effConv,0.930833333,
25FR,gasBoilerProMedStock,,effConv,0.7,
25FR,gasEngineProMedStock,,effConv,1.045,
25FR,oilBoilerProMedStock,,effConv,0.954166667,
25FR,hardcoalPlantProMedStock,,effConv,0.85,
25FR,oilPlantProMedStock,,effConv,0.846002329,
25FR,districtHeatSpace,,effConv,0.8,
25FR,bioBoilerSpaceStock,,effConv,0.622687077,
25FR,gasBoilerSpaceStock,,effConv,0.957726617,
25FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
25FR,resistiveHeatSpaceStock,,effConv,0.94,
25FR,coalBoilerSpaceStock,,effConv,0.98,
26FR,coalBoilerProHighStock,,effConv,0.7,
26FR,eBoilerProHigh,,effConv,1,
26FR,gasBoilerProHighStock,,effConv,0.7,
26FR,oilBoilerProHighStock,,effConv,0.98,
26FR,bioBoilerProLowStock,,effConv,0.7,
26FR,ccgtGasBackProLowStock,,effConv,0.99,
26FR,coalBoilerProLowStock,,effConv,0.7,
26FR,districtHeatPro,,effConv,0.8,
26FR,gasBoilerProLowStock,,effConv,0.7,
26FR,eBoilerProLow,,effConv,0.99,
26FR,gasEngineProLowStock,,effConv,1.045,
26FR,oilBoilerProLowStock,,effConv,0.964166667,
26FR,hardcoalPlantProLowStock,,effConv,0.85,
26FR,oilPlantProLowStock,,effConv,0.775,
26FR,bioBoilerProMedStock,,effConv,0.98,
26FR,bioGasEngineProMedStock,,effConv,0.875,
26FR,ccgtGasBackProMedStock,,effConv,0.99,
26FR,coalBoilerProMedStock,,effConv,0.7,
26FR,eBoilerProMed,,effConv,0.930833333,
26FR,gasBoilerProMedStock,,effConv,0.7,
26FR,gasEngineProMedStock,,effConv,1.045,
26FR,oilBoilerProMedStock,,effConv,0.954166667,
26FR,hardcoalPlantProMedStock,,effConv,0.85,
26FR,oilPlantProMedStock,,effConv,0.846002329,
26FR,districtHeatSpace,,effConv,0.8,
26FR,bioBoilerSpaceStock,,effConv,0.622687077,
26FR,gasBoilerSpaceStock,,effConv,0.957726617,
26FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
26FR,resistiveHeatSpaceStock,,effConv,0.94,
26FR,coalBoilerSpaceStock,,effConv,0.98,
27FR,coalBoilerProHighStock,,effConv,0.7,
27FR,eBoilerProHigh,,effConv,1,
27FR,gasBoilerProHighStock,,effConv,0.7,
27FR,oilBoilerProHighStock,,effConv,0.98,
27FR,bioBoilerProLowStock,,effConv,0.7,
27FR,ccgtGasBackProLowStock,,effConv,0.99,
27FR,coalBoilerProLowStock,,effConv,0.7,
27FR,districtHeatPro,,effConv,0.8,
27FR,gasBoilerProLowStock,,effConv,0.7,
27FR,eBoilerProLow,,effConv,0.99,
27FR,gasEngineProLowStock,,effConv,1.045,
27FR,oilBoilerProLowStock,,effConv,0.964166667,
27FR,hardcoalPlantProLowStock,,effConv,0.85,
27FR,oilPlantProLowStock,,effConv,0.775,
27FR,bioBoilerProMedStock,,effConv,0.98,
27FR,bioGasEngineProMedStock,,effConv,0.875,
27FR,ccgtGasBackProMedStock,,effConv,0.99,
27FR,coalBoilerProMedStock,,effConv,0.7,
27FR,eBoilerProMed,,effConv,0.930833333,
27FR,gasBoilerProMedStock,,effConv,0.7,
27FR,gasEngineProMedStock,,effConv,1.045,
27FR,oilBoilerProMedStock,,effConv,0.954166667,
27FR,hardcoalPlantProMedStock,,effConv,0.85,
27FR,oilPlantProMedStock,,effConv,0.846002329,
27FR,districtHeatSpace,,effConv,0.8,
27FR,bioBoilerSpaceStock,,effConv,0.622687077,
27FR,gasBoilerSpaceStock,,effConv,0.957726617,
27FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
27FR,resistiveHeatSpaceStock,,effConv,0.94,
27FR,coalBoilerSpaceStock,,effConv,0.98,
28BE,coalBoilerProHighStock,,effConv,0.7,
28BE,eBoilerProHigh,,effConv,1,
28BE,gasBoilerProHighStock,,effConv,0.7,
28BE,oilBoilerProHighStock,,effConv,0.7,
28BE,bioBoilerProLowStock,,effConv,0.7,
28BE,coalBoilerProLowStock,,effConv,0.7,
28BE,districtHeatPro,,effConv,0.8,
28BE,gasBoilerProLowStock,,effConv,0.7,
28BE,eBoilerProLow,,effConv,0.99,
28BE,gasEngineProLowStock,,effConv,0.875,
28BE,oilBoilerProLowStock,,effConv,0.7,
28BE,hardcoalPlantProLowStock,,effConv,0.85,
28BE,oilPlantProLowStock,,effConv,0.775,
28BE,bioBoilerProMedStock,,effConv,0.98,
28BE,bioGasEngineProMedStock,,effConv,0.875,
28BE,ccgtGasBackProMedStock,,effConv,0.75,
28BE,coalBoilerProMedStock,,effConv,0.7,
28BE,eBoilerProMed,,effConv,0.930833333,
28BE,gasBoilerProMedStock,,effConv,0.7,
28BE,gasEngineProMedStock,,effConv,0.875,
28BE,oilBoilerProMedStock,,effConv,0.7,
28BE,hardcoalPlantProMedStock,,effConv,0.85,
28BE,oilPlantProMedStock,,effConv,0.846002329,
28BE,districtHeatSpace,,effConv,0.8,
28BE,bioBoilerSpaceStock,,effConv,0.580413206,
28BE,gasBoilerSpaceStock,,effConv,0.750895188,
28BE,oilLiquidBoilerSpaceStock,,effConv,0.72,
28BE,resistiveHeatSpaceStock,,effConv,0.931,
28BE,coalBoilerSpaceStock,,effConv,0.98,
29LU,coalBoilerProHighStock,,effConv,1,
29LU,eBoilerProHigh,,effConv,1,
29LU,gasBoilerProHighStock,,effConv,0.98,
29LU,oilBoilerProHighStock,,effConv,0.98,
29LU,districtHeatPro,,effConv,0.8,
29LU,gasBoilerProLowStock,,effConv,0.98,
29LU,gasEngineProLowStock,,effConv,0.875,
29LU,oilBoilerProLowStock,,effConv,0.964166667,
29LU,bioBoilerProMedStock,,effConv,0.8925,
29LU,coalBoilerProMedStock,,effConv,0.898333333,
29LU,eBoilerProMed,,effConv,0.930833333,
29LU,gasBoilerProMedStock,,effConv,0.930833333,
29LU,gasEngineProMedStock,,effConv,0.875,
29LU,oilBoilerProMedStock,,effConv,0.954166667,
29LU,districtHeatSpace,,effConv,0.8,
29LU,bioBoilerSpaceStock,,effConv,0.693,
29LU,gasBoilerSpaceStock,,effConv,0.849,
29LU,oilLiquidBoilerSpaceStock,,effConv,0.789,
29LU,resistiveHeatSpaceStock,,effConv,0.934,
30NL,coalBoilerProHighStock,,effConv,0.7,
30NL,eBoilerProHigh,,effConv,1,
30NL,gasBoilerProHighStock,,effConv,0.7,
30NL,oilBoilerProHighStock,,effConv,0.7,
30NL,bioBoilerProLowStock,,effConv,0.7,
30NL,ccgtGasBackProLowStock,,effConv,0.75,
30NL,coalBoilerProLowStock,,effConv,0.7,
30NL,districtHeatPro,,effConv,0.8,
30NL,gasBoilerProLowStock,,effConv,0.7,
30NL,eBoilerProLow,,effConv,0.99,
30NL,gasEngineProLowStock,,effConv,0.875,
30NL,oilBoilerProLowStock,,effConv,0.7,
30NL,hardcoalPlantProLowStock,,effConv,0.85,
30NL,oilPlantProLowStock,,effConv,0.775,
30NL,bioBoilerProMedStock,,effConv,0.98,
30NL,bioGasEngineProMedStock,,effConv,0.875,
30NL,ccgtGasBackProMedStock,,effConv,0.75,
30NL,coalBoilerProMedStock,,effConv,0.7,
30NL,eBoilerProMed,,effConv,0.930833333,
30NL,gasBoilerProMedStock,,effConv,0.7,
30NL,gasEngineProMedStock,,effConv,0.875,
30NL,oilBoilerProMedStock,,effConv,0.7,
30NL,hardcoalPlantProMedStock,,effConv,0.85,
30NL,oilPlantProMedStock,,effConv,0.846002329,
30NL,districtHeatSpace,,effConv,0.8,
30NL,bioBoilerSpaceStock,,effConv,0.55,
30NL,gasBoilerSpaceStock,,effConv,0.72,
30NL,oilLiquidBoilerSpaceStock,,effConv,0.72,
30NL,resistiveHeatSpaceStock,,effConv,0.925,
31DE,coalBoilerProHighStock,,effConv,0.7,
31DE,eBoilerProHigh,,effConv,1,
31DE,gasBoilerProHighStock,,effConv,0.7,
31DE,oilBoilerProHighStock,,effConv,0.98,
31DE,bioBoilerProLowStock,,effConv,0.7,
31DE,ccgtGasBackProLowStock,,effConv,0.75,
31DE,coalBoilerProLowStock,,effConv,0.7,
31DE,districtHeatPro,,effConv,0.8,
31DE,gasBoilerProLowStock,,effConv,0.7,
31DE,eBoilerProLow,,effConv,0.99,
31DE,gasEngineProLowStock,,effConv,0.875,
31DE,oilBoilerProLowStock,,effConv,0.964166667,
31DE,hardcoalPlantProLowStock,,effConv,0.85,
31DE,oilPlantProLowStock,,effConv,0.775,
31DE,bioBoilerProMedStock,,effConv,0.98,
31DE,bioGasEngineProMedStock,,effConv,0.875,
31DE,ccgtGasBackProMedStock,,effConv,0.75,
31DE,coalBoilerProMedStock,,effConv,0.7,
31DE,eBoilerProMed,,effConv,0.930833333,
31DE,gasBoilerProMedStock,,effConv,0.7,
31DE,gasEngineProMedStock,,effConv,0.875,
31DE,oilBoilerProMedStock,,effConv,0.954166667,
31DE,hardcoalPlantProMedStock,,effConv,0.85,
31DE,oilPlantProMedStock,,effConv,0.846002329,
31DE,districtHeatSpace,,effConv,0.8,
31DE,bioBoilerSpaceStock,,effConv,0.609680378,
31DE,gasBoilerSpaceStock,,effConv,0.826339292,
31DE,oilLiquidBoilerSpaceStock,,effConv,0.857778314,
31DE,resistiveHeatSpaceStock,,effConv,0.937,
31DE,coalBoilerSpaceStock,,effConv,0.98,
32DE,coalBoilerProHighStock,,effConv,0.7,
32DE,eBoilerProHigh,,effConv,1,
32DE,gasBoilerProHighStock,,effConv,0.7,
32DE,oilBoilerProHighStock,,effConv,0.98,
32DE,bioBoilerProLowStock,,effConv,0.7,
32DE,ccgtGasBackProLowStock,,effConv,0.75,
32DE,coalBoilerProLowStock,,effConv,0.7,
32DE,districtHeatPro,,effConv,0.8,
32DE,gasBoilerProLowStock,,effConv,0.7,
32DE,eBoilerProLow,,effConv,0.99,
32DE,gasEngineProLowStock,,effConv,0.875,
32DE,oilBoilerProLowStock,,effConv,0.964166667,
32DE,hardcoalPlantProLowStock,,effConv,0.85,
32DE,oilPlantProLowStock,,effConv,0.775,
32DE,bioBoilerProMedStock,,effConv,0.98,
32DE,bioGasEngineProMedStock,,effConv,0.875,
32DE,ccgtGasBackProMedStock,,effConv,0.75,
32DE,coalBoilerProMedStock,,effConv,0.7,
32DE,eBoilerProMed,,effConv,0.930833333,
32DE,gasBoilerProMedStock,,effConv,0.7,
32DE,gasEngineProMedStock,,effConv,0.875,
32DE,oilBoilerProMedStock,,effConv,0.954166667,
32DE,hardcoalPlantProMedStock,,effConv,0.85,
32DE,oilPlantProMedStock,,effConv,0.846002329,
32DE,districtHeatSpace,,effConv,0.8,
32DE,bioBoilerSpaceStock,,effConv,0.609680378,
32DE,gasBoilerSpaceStock,,effConv,0.826339292,
32DE,oilLiquidBoilerSpaceStock,,effConv,0.857778314,
32DE,resistiveHeatSpaceStock,,effConv,0.937,
32DE,coalBoilerSpaceStock,,effConv,0.98,
33DE,coalBoilerProHighStock,,effConv,0.7,
33DE,eBoilerProHigh,,effConv,1,
33DE,gasBoilerProHighStock,,effConv,0.7,
33DE,oilBoilerProHighStock,,effConv,0.98,
33DE,bioBoilerProLowStock,,effConv,0.7,
33DE,ccgtGasBackProLowStock,,effConv,0.75,
33DE,coalBoilerProLowStock,,effConv,0.7,
33DE,districtHeatPro,,effConv,0.8,
33DE,gasBoilerProLowStock,,effConv,0.7,
33DE,eBoilerProLow,,effConv,0.99,
33DE,gasEngineProLowStock,,effConv,0.875,
33DE,oilBoilerProLowStock,,effConv,0.964166667,
33DE,hardcoalPlantProLowStock,,effConv,0.85,
33DE,oilPlantProLowStock,,effConv,0.775,
33DE,bioBoilerProMedStock,,effConv,0.98,
33DE,bioGasEngineProMedStock,,effConv,0.875,
33DE,ccgtGasBackProMedStock,,effConv,0.75,
33DE,coalBoilerProMedStock,,effConv,0.7,
33DE,eBoilerProMed,,effConv,0.930833333,
33DE,gasBoilerProMedStock,,effConv,0.7,
33DE,gasEngineProMedStock,,effConv,0.875,
33DE,oilBoilerProMedStock,,effConv,0.954166667,
33DE,hardcoalPlantProMedStock,,effConv,0.85,
33DE,oilPlantProMedStock,,effConv,0.846002329,
33DE,districtHeatSpace,,effConv,0.8,
33DE,bioBoilerSpaceStock,,effConv,0.609680378,
33DE,gasBoilerSpaceStock,,effConv,0.826339292,
33DE,oilLiquidBoilerSpaceStock,,effConv,0.857778314,
33DE,resistiveHeatSpaceStock,,effConv,0.937,
33DE,coalBoilerSpaceStock,,effConv,0.98,
34DE,coalBoilerProHighStock,,effConv,0.7,
34DE,eBoilerProHigh,,effConv,1,
34DE,gasBoilerProHighStock,,effConv,0.7,
34DE,oilBoilerProHighStock,,effConv,0.98,
34DE,bioBoilerProLowStock,,effConv,0.7,
34DE,ccgtGasBackProLowStock,,effConv,0.75,
34DE,coalBoilerProLowStock,,effConv,0.7,
34DE,districtHeatPro,,effConv,0.8,
34DE,gasBoilerProLowStock,,effConv,0.7,
34DE,eBoilerProLow,,effConv,0.99,
34DE,gasEngineProLowStock,,effConv,0.875,
34DE,oilBoilerProLowStock,,effConv,0.964166667,
34DE,hardcoalPlantProLowStock,,effConv,0.85,
34DE,oilPlantProLowStock,,effConv,0.775,
34DE,bioBoilerProMedStock,,effConv,0.98,
34DE,bioGasEngineProMedStock,,effConv,0.875,
34DE,ccgtGasBackProMedStock,,effConv,0.75,
34DE,coalBoilerProMedStock,,effConv,0.7,
34DE,eBoilerProMed,,effConv,0.930833333,
34DE,gasBoilerProMedStock,,effConv,0.7,
34DE,gasEngineProMedStock,,effConv,0.875,
34DE,oilBoilerProMedStock,,effConv,0.954166667,
34DE,hardcoalPlantProMedStock,,effConv,0.85,
34DE,oilPlantProMedStock,,effConv,0.846002329,
34DE,districtHeatSpace,,effConv,0.8,
34DE,bioBoilerSpaceStock,,effConv,0.609680378,
34DE,gasBoilerSpaceStock,,effConv,0.826339292,
34DE,oilLiquidBoilerSpaceStock,,effConv,0.857778314,
34DE,resistiveHeatSpaceStock,,effConv,0.937,
34DE,coalBoilerSpaceStock,,effConv,0.98,
35DE,coalBoilerProHighStock,,effConv,0.7,
35DE,eBoilerProHigh,,effConv,1,
35DE,gasBoilerProHighStock,,effConv,0.7,
35DE,oilBoilerProHighStock,,effConv,0.98,
35DE,bioBoilerProLowStock,,effConv,0.7,
35DE,ccgtGasBackProLowStock,,effConv,0.75,
35DE,coalBoilerProLowStock,,effConv,0.7,
35DE,districtHeatPro,,effConv,0.8,
35DE,gasBoilerProLowStock,,effConv,0.7,
35DE,eBoilerProLow,,effConv,0.99,
35DE,gasEngineProLowStock,,effConv,0.875,
35DE,oilBoilerProLowStock,,effConv,0.964166667,
35DE,hardcoalPlantProLowStock,,effConv,0.85,
35DE,oilPlantProLowStock,,effConv,0.775,
35DE,bioBoilerProMedStock,,effConv,0.98,
35DE,bioGasEngineProMedStock,,effConv,0.875,
35DE,ccgtGasBackProMedStock,,effConv,0.75,
35DE,coalBoilerProMedStock,,effConv,0.7,
35DE,eBoilerProMed,,effConv,0.930833333,
35DE,gasBoilerProMedStock,,effConv,0.7,
35DE,gasEngineProMedStock,,effConv,0.875,
35DE,oilBoilerProMedStock,,effConv,0.954166667,
35DE,hardcoalPlantProMedStock,,effConv,0.85,
35DE,oilPlantProMedStock,,effConv,0.846002329,
35DE,districtHeatSpace,,effConv,0.8,
35DE,bioBoilerSpaceStock,,effConv,0.609680378,
35DE,gasBoilerSpaceStock,,effConv,0.826339292,
35DE,oilLiquidBoilerSpaceStock,,effConv,0.857778314,
35DE,resistiveHeatSpaceStock,,effConv,0.937,
35DE,coalBoilerSpaceStock,,effConv,0.98,
36DE,coalBoilerProHighStock,,effConv,0.7,
36DE,eBoilerProHigh,,effConv,1,
36DE,gasBoilerProHighStock,,effConv,0.7,
36DE,oilBoilerProHighStock,,effConv,0.98,
36DE,bioBoilerProLowStock,,effConv,0.7,
36DE,ccgtGasBackProLowStock,,effConv,0.75,
36DE,coalBoilerProLowStock,,effConv,0.7,
36DE,districtHeatPro,,effConv,0.8,
36DE,gasBoilerProLowStock,,effConv,0.7,
36DE,eBoilerProLow,,effConv,0.99,
36DE,gasEngineProLowStock,,effConv,0.875,
36DE,oilBoilerProLowStock,,effConv,0.964166667,
36DE,hardcoalPlantProLowStock,,effConv,0.85,
36DE,oilPlantProLowStock,,effConv,0.775,
36DE,bioBoilerProMedStock,,effConv,0.98,
36DE,bioGasEngineProMedStock,,effConv,0.875,
36DE,ccgtGasBackProMedStock,,effConv,0.75,
36DE,coalBoilerProMedStock,,effConv,0.7,
36DE,eBoilerProMed,,effConv,0.930833333,
36DE,gasBoilerProMedStock,,effConv,0.7,
36DE,gasEngineProMedStock,,effConv,0.875,
36DE,oilBoilerProMedStock,,effConv,0.954166667,
36DE,hardcoalPlantProMedStock,,effConv,0.85,
36DE,oilPlantProMedStock,,effConv,0.846002329,
36DE,districtHeatSpace,,effConv,0.8,
36DE,bioBoilerSpaceStock,,effConv,0.609680378,
36DE,gasBoilerSpaceStock,,effConv,0.826339292,
36DE,oilLiquidBoilerSpaceStock,,effConv,0.857778314,
36DE,resistiveHeatSpaceStock,,effConv,0.937,
36DE,coalBoilerSpaceStock,,effConv,0.98,
37DE,coalBoilerProHighStock,,effConv,0.7,
37DE,eBoilerProHigh,,effConv,1,
37DE,gasBoilerProHighStock,,effConv,0.7,
37DE,oilBoilerProHighStock,,effConv,0.98,
37DE,bioBoilerProLowStock,,effConv,0.7,
37DE,ccgtGasBackProLowStock,,effConv,0.75,
37DE,coalBoilerProLowStock,,effConv,0.7,
37DE,districtHeatPro,,effConv,0.8,
37DE,gasBoilerProLowStock,,effConv,0.7,
37DE,eBoilerProLow,,effConv,0.99,
37DE,gasEngineProLowStock,,effConv,0.875,
37DE,oilBoilerProLowStock,,effConv,0.964166667,
37DE,hardcoalPlantProLowStock,,effConv,0.85,
37DE,oilPlantProLowStock,,effConv,0.775,
37DE,bioBoilerProMedStock,,effConv,0.98,
37DE,bioGasEngineProMedStock,,effConv,0.875,
37DE,ccgtGasBackProMedStock,,effConv,0.75,
37DE,coalBoilerProMedStock,,effConv,0.7,
