timestep_2,region_4,technology_3,parameter,value,source
2020,70AL,gasBoilerDh,capaConvResi,0.71225,see heatInputs for details
2020,49AT,gasBoilerDh,capaConvResi,0.59241,
2020,50AT,gasBoilerDh,capaConvResi,0.44723,
2020,51AT,gasBoilerDh,capaConvResi,0.47985,
2020,63BA,gasBoilerDh,capaConvResi,0.48966,
2020,28BE,gasBoilerDh,capaConvResi,0.56232,
2020,66BG,gasBoilerDh,capaConvResi,1.37688,
2020,47CH,gasBoilerDh,capaConvResi,0.68479,
2020,48CH,gasBoilerDh,capaConvResi,0.07551,
2020,39CZ,gasBoilerDh,capaConvResi,1.62741,
2020,40CZ,gasBoilerDh,capaConvResi,1.81583,
2020,31DE,gasBoilerDh,capaConvResi,1.94243,
2020,32DE,gasBoilerDh,capaConvResi,2.16065,
2020,33DE,gasBoilerDh,capaConvResi,0.1387,
2020,34DE,gasBoilerDh,capaConvResi,0.51303,
2020,35DE,gasBoilerDh,capaConvResi,3.68859,
2020,36DE,gasBoilerDh,capaConvResi,3.56139,
2020,37DE,gasBoilerDh,capaConvResi,3.15777,
2020,38DK,gasBoilerDh,capaConvResi,2.03518,
2020,72DK,gasBoilerDh,capaConvResi,1.02101,
2020,73EE,gasBoilerDh,capaConvResi,0.76981,
2020,01ES,gasBoilerDh,capaConvResi,0.01274,
2020,02ES,gasBoilerDh,capaConvResi,0.00169,
2020,03ES,gasBoilerDh,capaConvResi,0.00549,
2020,04ES,gasBoilerDh,capaConvResi,0.01594,
2020,05ES,gasBoilerDh,capaConvResi,0.00234,
2020,06ES,gasBoilerDh,capaConvResi,0.02965,
2020,07ES,gasBoilerDh,capaConvResi,0.03815,
2020,08ES,gasBoilerDh,capaConvResi,0.00387,
2020,09ES,gasBoilerDh,capaConvResi,0.01155,
2020,11ES,gasBoilerDh,capaConvResi,0.03356,
2020,74FI,gasBoilerDh,capaConvResi,0.16641,
2020,75FI,gasBoilerDh,capaConvResi,1.06342,
2020,14FR,gasBoilerDh,capaConvResi,0.30257,
2020,15FR,gasBoilerDh,capaConvResi,0.36962,
2020,16FR,gasBoilerDh,capaConvResi,0.59112,
2020,17FR,gasBoilerDh,capaConvResi,0.24409,
2020,18FR,gasBoilerDh,capaConvResi,0.05587,
2020,19FR,gasBoilerDh,capaConvResi,0.09506,
2020,20FR,gasBoilerDh,capaConvResi,0.11139,
2020,21FR,gasBoilerDh,capaConvResi,0.54526,
2020,22FR,gasBoilerDh,capaConvResi,0.12754,
2020,23FR,gasBoilerDh,capaConvResi,1.40652,
2020,24FR,gasBoilerDh,capaConvResi,0.10549,
2020,25FR,gasBoilerDh,capaConvResi,0.31191,
2020,26FR,gasBoilerDh,capaConvResi,0.19658,
2020,99FR,gasBoilerDh,capaConvResi,0.01548,
2020,68GR,gasBoilerDh,capaConvResi,0.07203,
2020,69GR,gasBoilerDh,capaConvResi,0.03826,
2020,62HR,gasBoilerDh,capaConvResi,0.43407,
2020,58HU,gasBoilerDh,capaConvResi,1.59504,
2020,96IE,gasBoilerDh,capaConvResi,0.03898,
2020,52IT,gasBoilerDh,capaConvResi,4.48355,
2020,53IT,gasBoilerDh,capaConvResi,0.87738,
2020,54IT,gasBoilerDh,capaConvResi,1.4349,
2020,55IT,gasBoilerDh,capaConvResi,0.00997,
2020,56IT,gasBoilerDh,capaConvResi,0.40612,
2020,98IT,gasBoilerDh,capaConvResi,0.06249,
2020,77LT,gasBoilerDh,capaConvResi,1.45914,
2020,29LU,gasBoilerDh,capaConvResi,0.23394,
2020,78LV,gasBoilerDh,capaConvResi,1.23703,
2020,64ME,gasBoilerDh,capaConvResi,0.09072,
2020,67MK,gasBoilerDh,capaConvResi,0.32825,
2020,30NL,gasBoilerDh,capaConvResi,1.72936,
2020,80NO,gasBoilerDh,capaConvResi,0.25111,
2020,81NO,gasBoilerDh,capaConvResi,0.39215,
2020,82NO,gasBoilerDh,capaConvResi,0.54061,
2020,84NO,gasBoilerDh,capaConvResi,0.19801,
2020,85NO,gasBoilerDh,capaConvResi,0.02725,
2020,41PL,gasBoilerDh,capaConvResi,3.16973,
2020,42PL,gasBoilerDh,capaConvResi,2.17564,
2020,43PL,gasBoilerDh,capaConvResi,2.15965,
2020,44PL,gasBoilerDh,capaConvResi,2.57517,
2020,45PL,gasBoilerDh,capaConvResi,2.54884,
2020,12PT,gasBoilerDh,capaConvResi,0.22522,
2020,13PT,gasBoilerDh,capaConvResi,0.03832,
2020,59RO,gasBoilerDh,capaConvResi,1.05502,
2020,60RO,gasBoilerDh,capaConvResi,0.42846,
2020,61RO,gasBoilerDh,capaConvResi,0.77404,
2020,65RS,gasBoilerDh,capaConvResi,0.90228,
2020,86SE,gasBoilerDh,capaConvResi,0.41739,
2020,87SE,gasBoilerDh,capaConvResi,1.62222,
2020,88SE,gasBoilerDh,capaConvResi,9.99182,
2020,89SE,gasBoilerDh,capaConvResi,2.05919,
2020,57SI,gasBoilerDh,capaConvResi,0.2654,
2020,46SK,gasBoilerDh,capaConvResi,1.09817,
2020,90UK,gasBoilerDh,capaConvResi,0.59505,
2020,91UK,gasBoilerDh,capaConvResi,0.12236,
2020,92UK,gasBoilerDh,capaConvResi,0.46827,
2020,93UK,gasBoilerDh,capaConvResi,0.14417,
2020,94UK,gasBoilerDh,capaConvResi,0.11129,
2020,95UK,gasBoilerDh,capaConvResi,0.04935,
2020,70AL,oilBoilerDh,capaConvResi,0.34773,
2020,49AT,oilBoilerDh,capaConvResi,0.07841,
2020,50AT,oilBoilerDh,capaConvResi,0.0592,
2020,51AT,oilBoilerDh,capaConvResi,0.06351,
2020,63BA,oilBoilerDh,capaConvResi,0.23906,
2020,28BE,oilBoilerDh,capaConvResi,0.27453,
2020,66BG,oilBoilerDh,capaConvResi,0.6722,
2020,47CH,oilBoilerDh,capaConvResi,0.33432,
2020,48CH,oilBoilerDh,capaConvResi,0.03687,
2020,39CZ,oilBoilerDh,capaConvResi,0.79451,
2020,40CZ,oilBoilerDh,capaConvResi,0.8865,
2020,31DE,oilBoilerDh,capaConvResi,0.1665,
2020,32DE,oilBoilerDh,capaConvResi,0.1852,
2020,33DE,oilBoilerDh,capaConvResi,0.01189,
2020,34DE,oilBoilerDh,capaConvResi,0.04398,
2020,35DE,oilBoilerDh,capaConvResi,0.31617,
2020,36DE,oilBoilerDh,capaConvResi,0.30527,
2020,37DE,oilBoilerDh,capaConvResi,0.27067,
2020,38DK,oilBoilerDh,capaConvResi,0.1712,
2020,72DK,oilBoilerDh,capaConvResi,0.08589,
2020,73EE,oilBoilerDh,capaConvResi,0.37583,
2020,01ES,oilBoilerDh,capaConvResi,0.00622,
2020,02ES,oilBoilerDh,capaConvResi,0.00083,
2020,03ES,oilBoilerDh,capaConvResi,0.00268,
2020,04ES,oilBoilerDh,capaConvResi,0.00778,
2020,05ES,oilBoilerDh,capaConvResi,0.00115,
2020,06ES,oilBoilerDh,capaConvResi,0.01448,
2020,07ES,oilBoilerDh,capaConvResi,0.01863,
2020,08ES,oilBoilerDh,capaConvResi,0.00189,
2020,09ES,oilBoilerDh,capaConvResi,0.00564,
2020,11ES,oilBoilerDh,capaConvResi,0.01639,
2020,74FI,oilBoilerDh,capaConvResi,1.45612,
2020,75FI,oilBoilerDh,capaConvResi,9.30526,
2020,14FR,oilBoilerDh,capaConvResi,0.14772,
2020,15FR,oilBoilerDh,capaConvResi,0.18045,
2020,16FR,oilBoilerDh,capaConvResi,0.28859,
2020,17FR,oilBoilerDh,capaConvResi,0.11917,
2020,18FR,oilBoilerDh,capaConvResi,0.02728,
2020,19FR,oilBoilerDh,capaConvResi,0.04641,
2020,20FR,oilBoilerDh,capaConvResi,0.05438,
2020,21FR,oilBoilerDh,capaConvResi,0.2662,
2020,22FR,oilBoilerDh,capaConvResi,0.06227,
2020,23FR,oilBoilerDh,capaConvResi,0.68667,
2020,24FR,oilBoilerDh,capaConvResi,0.0515,
2020,25FR,oilBoilerDh,capaConvResi,0.15228,
2020,26FR,oilBoilerDh,capaConvResi,0.09597,
2020,99FR,oilBoilerDh,capaConvResi,0.00756,
2020,68GR,oilBoilerDh,capaConvResi,0.03517,
2020,69GR,oilBoilerDh,capaConvResi,0.01868,
2020,62HR,oilBoilerDh,capaConvResi,0.21192,
2020,58HU,oilBoilerDh,capaConvResi,0.77871,
2020,96IE,oilBoilerDh,capaConvResi,0.01903,
2020,52IT,oilBoilerDh,capaConvResi,0.00585,
2020,53IT,oilBoilerDh,capaConvResi,0.00115,
2020,54IT,oilBoilerDh,capaConvResi,0.00188,
2020,55IT,oilBoilerDh,capaConvResi,0.00002,
2020,56IT,oilBoilerDh,capaConvResi,0.00053,
2020,98IT,oilBoilerDh,capaConvResi,0.00009,
2020,77LT,oilBoilerDh,capaConvResi,0.71236,
2020,29LU,oilBoilerDh,capaConvResi,0.11422,
2020,78LV,oilBoilerDh,capaConvResi,0.60393,
2020,64ME,oilBoilerDh,capaConvResi,0.04429,
2020,67MK,oilBoilerDh,capaConvResi,0.16026,
2020,30NL,oilBoilerDh,capaConvResi,0.84428,
2020,80NO,oilBoilerDh,capaConvResi,0.1226,
2020,81NO,oilBoilerDh,capaConvResi,0.19145,
2020,82NO,oilBoilerDh,capaConvResi,0.26393,
2020,84NO,oilBoilerDh,capaConvResi,0.09667,
2020,85NO,oilBoilerDh,capaConvResi,0.01331,
2020,41PL,oilBoilerDh,capaConvResi,1.58487,
2020,42PL,oilBoilerDh,capaConvResi,1.08782,
2020,43PL,oilBoilerDh,capaConvResi,1.07983,
2020,44PL,oilBoilerDh,capaConvResi,1.28759,
2020,45PL,oilBoilerDh,capaConvResi,1.27442,
2020,12PT,oilBoilerDh,capaConvResi,0.10995,
2020,13PT,oilBoilerDh,capaConvResi,0.01871,
2020,59RO,oilBoilerDh,capaConvResi,0.51507,
2020,60RO,oilBoilerDh,capaConvResi,0.20918,
2020,61RO,oilBoilerDh,capaConvResi,0.37789,
2020,65RS,oilBoilerDh,capaConvResi,0.4405,
2020,86SE,oilBoilerDh,capaConvResi,0.20377,
2020,87SE,oilBoilerDh,capaConvResi,0.79198,
2020,88SE,oilBoilerDh,capaConvResi,4.87806,
2020,89SE,oilBoilerDh,capaConvResi,1.00531,
2020,57SI,oilBoilerDh,capaConvResi,0.12957,
2020,46SK,oilBoilerDh,capaConvResi,0.53614,
2020,90UK,oilBoilerDh,capaConvResi,0.29051,
2020,91UK,oilBoilerDh,capaConvResi,0.05974,
2020,92UK,oilBoilerDh,capaConvResi,0.22861,
2020,93UK,oilBoilerDh,capaConvResi,0.07039,
2020,94UK,oilBoilerDh,capaConvResi,0.05433,
2020,95UK,oilBoilerDh,capaConvResi,0.02409,
2020,49AT,bioBoilerDh,capaConvResi,1.12384,
2020,50AT,bioBoilerDh,capaConvResi,0.84842,
2020,51AT,bioBoilerDh,capaConvResi,0.9103,
2020,38DK,bioBoilerDh,capaConvResi,2.99484,
2020,72DK,bioBoilerDh,capaConvResi,1.50246,
2025,70AL,gasBoilerDh,capaConvResi,0.5698,
2025,49AT,gasBoilerDh,capaConvResi,0.47393,
2025,50AT,gasBoilerDh,capaConvResi,0.35778,
2025,51AT,gasBoilerDh,capaConvResi,0.38388,
2025,63BA,gasBoilerDh,capaConvResi,0.39173,
2025,28BE,gasBoilerDh,capaConvResi,0.44986,
2025,66BG,gasBoilerDh,capaConvResi,1.1015,
2025,47CH,gasBoilerDh,capaConvResi,0.54784,
2025,48CH,gasBoilerDh,capaConvResi,0.06041,
2025,39CZ,gasBoilerDh,capaConvResi,1.30193,
2025,40CZ,gasBoilerDh,capaConvResi,1.45267,
2025,31DE,gasBoilerDh,capaConvResi,1.55394,
2025,32DE,gasBoilerDh,capaConvResi,1.72852,
2025,33DE,gasBoilerDh,capaConvResi,0.11096,
2025,34DE,gasBoilerDh,capaConvResi,0.41043,
2025,35DE,gasBoilerDh,capaConvResi,2.95087,
2025,36DE,gasBoilerDh,capaConvResi,2.84911,
2025,37DE,gasBoilerDh,capaConvResi,2.52622,
2025,38DK,gasBoilerDh,capaConvResi,1.62814,
2025,72DK,gasBoilerDh,capaConvResi,0.81681,
2025,73EE,gasBoilerDh,capaConvResi,0.61585,
2025,01ES,gasBoilerDh,capaConvResi,0.0102,
2025,02ES,gasBoilerDh,capaConvResi,0.00136,
2025,03ES,gasBoilerDh,capaConvResi,0.00439,
2025,04ES,gasBoilerDh,capaConvResi,0.01275,
2025,05ES,gasBoilerDh,capaConvResi,0.00187,
2025,06ES,gasBoilerDh,capaConvResi,0.02372,
2025,07ES,gasBoilerDh,capaConvResi,0.03052,
2025,08ES,gasBoilerDh,capaConvResi,0.0031,
2025,09ES,gasBoilerDh,capaConvResi,0.00924,
2025,11ES,gasBoilerDh,capaConvResi,0.02685,
2025,74FI,gasBoilerDh,capaConvResi,0.13313,
2025,75FI,gasBoilerDh,capaConvResi,0.85073,
2025,14FR,gasBoilerDh,capaConvResi,0.24206,
2025,15FR,gasBoilerDh,capaConvResi,0.2957,
2025,16FR,gasBoilerDh,capaConvResi,0.4729,
2025,17FR,gasBoilerDh,capaConvResi,0.19528,
2025,18FR,gasBoilerDh,capaConvResi,0.0447,
2025,19FR,gasBoilerDh,capaConvResi,0.07605,
2025,20FR,gasBoilerDh,capaConvResi,0.08911,
2025,21FR,gasBoilerDh,capaConvResi,0.43621,
2025,22FR,gasBoilerDh,capaConvResi,0.10203,
2025,23FR,gasBoilerDh,capaConvResi,1.12521,
2025,24FR,gasBoilerDh,capaConvResi,0.0844,
2025,25FR,gasBoilerDh,capaConvResi,0.24953,
2025,26FR,gasBoilerDh,capaConvResi,0.15726,
2025,99FR,gasBoilerDh,capaConvResi,0.01239,
2025,68GR,gasBoilerDh,capaConvResi,0.05762,
2025,69GR,gasBoilerDh,capaConvResi,0.03061,
2025,62HR,gasBoilerDh,capaConvResi,0.34725,
2025,58HU,gasBoilerDh,capaConvResi,1.27604,
2025,96IE,gasBoilerDh,capaConvResi,0.03119,
2025,52IT,gasBoilerDh,capaConvResi,3.58684,
2025,53IT,gasBoilerDh,capaConvResi,0.7019,
2025,54IT,gasBoilerDh,capaConvResi,1.14792,
2025,55IT,gasBoilerDh,capaConvResi,0.00797,
2025,56IT,gasBoilerDh,capaConvResi,0.3249,
2025,98IT,gasBoilerDh,capaConvResi,0.04999,
2025,77LT,gasBoilerDh,capaConvResi,1.16731,
2025,29LU,gasBoilerDh,capaConvResi,0.18716,
2025,78LV,gasBoilerDh,capaConvResi,0.98963,
2025,64ME,gasBoilerDh,capaConvResi,0.07257,
2025,67MK,gasBoilerDh,capaConvResi,0.2626,
2025,30NL,gasBoilerDh,capaConvResi,1.38349,
2025,80NO,gasBoilerDh,capaConvResi,0.20089,
2025,81NO,gasBoilerDh,capaConvResi,0.31372,
2025,82NO,gasBoilerDh,capaConvResi,0.43249,
2025,84NO,gasBoilerDh,capaConvResi,0.15841,
2025,85NO,gasBoilerDh,capaConvResi,0.0218,
2025,41PL,gasBoilerDh,capaConvResi,2.53578,
2025,42PL,gasBoilerDh,capaConvResi,1.74051,
2025,43PL,gasBoilerDh,capaConvResi,1.72772,
2025,44PL,gasBoilerDh,capaConvResi,2.06014,
2025,45PL,gasBoilerDh,capaConvResi,2.03907,
2025,12PT,gasBoilerDh,capaConvResi,0.18017,
2025,13PT,gasBoilerDh,capaConvResi,0.03065,
2025,59RO,gasBoilerDh,capaConvResi,0.84402,
2025,60RO,gasBoilerDh,capaConvResi,0.34277,
2025,61RO,gasBoilerDh,capaConvResi,0.61923,
2025,65RS,gasBoilerDh,capaConvResi,0.72183,
2025,86SE,gasBoilerDh,capaConvResi,0.33391,
2025,87SE,gasBoilerDh,capaConvResi,1.29778,
2025,88SE,gasBoilerDh,capaConvResi,7.99345,
2025,89SE,gasBoilerDh,capaConvResi,1.64736,
2025,57SI,gasBoilerDh,capaConvResi,0.21232,
2025,46SK,gasBoilerDh,capaConvResi,0.87854,
2025,90UK,gasBoilerDh,capaConvResi,0.47604,
2025,91UK,gasBoilerDh,capaConvResi,0.09789,
2025,92UK,gasBoilerDh,capaConvResi,0.37462,
2025,93UK,gasBoilerDh,capaConvResi,0.11534,
2025,94UK,gasBoilerDh,capaConvResi,0.08903,
2025,95UK,gasBoilerDh,capaConvResi,0.03948,
2025,70AL,oilBoilerDh,capaConvResi,0.27818,
2025,49AT,oilBoilerDh,capaConvResi,0.06273,
2025,50AT,oilBoilerDh,capaConvResi,0.04736,
2025,51AT,oilBoilerDh,capaConvResi,0.05081,
2025,63BA,oilBoilerDh,capaConvResi,0.19125,
2025,28BE,oilBoilerDh,capaConvResi,0.21963,
2025,66BG,oilBoilerDh,capaConvResi,0.53776,
2025,47CH,oilBoilerDh,capaConvResi,0.26746,
2025,48CH,oilBoilerDh,capaConvResi,0.0295,
2025,39CZ,oilBoilerDh,capaConvResi,0.63561,
2025,40CZ,oilBoilerDh,capaConvResi,0.7092,
2025,31DE,oilBoilerDh,capaConvResi,0.1332,
2025,32DE,oilBoilerDh,capaConvResi,0.14816,
2025,33DE,oilBoilerDh,capaConvResi,0.00952,
2025,34DE,oilBoilerDh,capaConvResi,0.03518,
2025,35DE,oilBoilerDh,capaConvResi,0.25294,
2025,36DE,oilBoilerDh,capaConvResi,0.24421,
2025,37DE,oilBoilerDh,capaConvResi,0.21654,
2025,38DK,oilBoilerDh,capaConvResi,0.13696,
2025,72DK,oilBoilerDh,capaConvResi,0.06871,
2025,73EE,oilBoilerDh,capaConvResi,0.30066,
2025,01ES,oilBoilerDh,capaConvResi,0.00498,
2025,02ES,oilBoilerDh,capaConvResi,0.00066,
2025,03ES,oilBoilerDh,capaConvResi,0.00215,
2025,04ES,oilBoilerDh,capaConvResi,0.00623,
2025,05ES,oilBoilerDh,capaConvResi,0.00092,
2025,06ES,oilBoilerDh,capaConvResi,0.01159,
2025,07ES,oilBoilerDh,capaConvResi,0.0149,
2025,08ES,oilBoilerDh,capaConvResi,0.00152,
2025,09ES,oilBoilerDh,capaConvResi,0.00451,
2025,11ES,oilBoilerDh,capaConvResi,0.01311,
2025,74FI,oilBoilerDh,capaConvResi,1.16489,
2025,75FI,oilBoilerDh,capaConvResi,7.44421,
2025,14FR,oilBoilerDh,capaConvResi,0.11818,
2025,15FR,oilBoilerDh,capaConvResi,0.14436,
2025,16FR,oilBoilerDh,capaConvResi,0.23087,
2025,17FR,oilBoilerDh,capaConvResi,0.09534,
2025,18FR,oilBoilerDh,capaConvResi,0.02182,
2025,19FR,oilBoilerDh,capaConvResi,0.03713,
2025,20FR,oilBoilerDh,capaConvResi,0.04351,
2025,21FR,oilBoilerDh,capaConvResi,0.21296,
2025,22FR,oilBoilerDh,capaConvResi,0.04981,
2025,23FR,oilBoilerDh,capaConvResi,0.54934,
2025,24FR,oilBoilerDh,capaConvResi,0.0412,
2025,25FR,oilBoilerDh,capaConvResi,0.12182,
2025,26FR,oilBoilerDh,capaConvResi,0.07678,
2025,99FR,oilBoilerDh,capaConvResi,0.00605,
2025,68GR,oilBoilerDh,capaConvResi,0.02813,
2025,69GR,oilBoilerDh,capaConvResi,0.01495,
2025,62HR,oilBoilerDh,capaConvResi,0.16953,
2025,58HU,oilBoilerDh,capaConvResi,0.62297,
2025,96IE,oilBoilerDh,capaConvResi,0.01523,
2025,52IT,oilBoilerDh,capaConvResi,0.00468,
2025,53IT,oilBoilerDh,capaConvResi,0.00092,
2025,54IT,oilBoilerDh,capaConvResi,0.0015,
2025,55IT,oilBoilerDh,capaConvResi,0.00002,
2025,56IT,oilBoilerDh,capaConvResi,0.00043,
2025,98IT,oilBoilerDh,capaConvResi,0.00007,
2025,77LT,oilBoilerDh,capaConvResi,0.56989,
2025,29LU,oilBoilerDh,capaConvResi,0.09137,
2025,78LV,oilBoilerDh,capaConvResi,0.48314,
2025,64ME,oilBoilerDh,capaConvResi,0.03543,
2025,67MK,oilBoilerDh,capaConvResi,0.12821,
2025,30NL,oilBoilerDh,capaConvResi,0.67543,
2025,80NO,oilBoilerDh,capaConvResi,0.09808,
2025,81NO,oilBoilerDh,capaConvResi,0.15316,
2025,82NO,oilBoilerDh,capaConvResi,0.21115,
2025,84NO,oilBoilerDh,capaConvResi,0.07734,
2025,85NO,oilBoilerDh,capaConvResi,0.01065,
2025,41PL,oilBoilerDh,capaConvResi,1.26789,
2025,42PL,oilBoilerDh,capaConvResi,0.87026,
2025,43PL,oilBoilerDh,capaConvResi,0.86386,
2025,44PL,oilBoilerDh,capaConvResi,1.03007,
2025,45PL,oilBoilerDh,capaConvResi,1.01954,
2025,12PT,oilBoilerDh,capaConvResi,0.08796,
2025,13PT,oilBoilerDh,capaConvResi,0.01497,
2025,59RO,oilBoilerDh,capaConvResi,0.41206,
2025,60RO,oilBoilerDh,capaConvResi,0.16735,
2025,61RO,oilBoilerDh,capaConvResi,0.30232,
2025,65RS,oilBoilerDh,capaConvResi,0.3524,
2025,86SE,oilBoilerDh,capaConvResi,0.16302,
2025,87SE,oilBoilerDh,capaConvResi,0.63358,
2025,88SE,oilBoilerDh,capaConvResi,3.90245,
2025,89SE,oilBoilerDh,capaConvResi,0.80425,
2025,57SI,oilBoilerDh,capaConvResi,0.10366,
2025,46SK,oilBoilerDh,capaConvResi,0.42891,
2025,90UK,oilBoilerDh,capaConvResi,0.23241,
2025,91UK,oilBoilerDh,capaConvResi,0.04779,
2025,92UK,oilBoilerDh,capaConvResi,0.18289,
2025,93UK,oilBoilerDh,capaConvResi,0.05631,
2025,94UK,oilBoilerDh,capaConvResi,0.04347,
2025,95UK,oilBoilerDh,capaConvResi,0.01928,
2025,49AT,bioBoilerDh,capaConvResi,0.89907,
2025,50AT,bioBoilerDh,capaConvResi,0.67873,
2025,51AT,bioBoilerDh,capaConvResi,0.72824,
2025,38DK,bioBoilerDh,capaConvResi,2.39588,
2025,72DK,bioBoilerDh,capaConvResi,1.20197,
2030,70AL,gasBoilerDh,capaConvResi,0.42735,
2030,49AT,gasBoilerDh,capaConvResi,0.35545,
2030,50AT,gasBoilerDh,capaConvResi,0.26834,
2030,51AT,gasBoilerDh,capaConvResi,0.28791,
2030,63BA,gasBoilerDh,capaConvResi,0.2938,
2030,28BE,gasBoilerDh,capaConvResi,0.33739,
2030,66BG,gasBoilerDh,capaConvResi,0.82613,
2030,47CH,gasBoilerDh,capaConvResi,0.41088,
2030,48CH,gasBoilerDh,capaConvResi,0.04531,
2030,39CZ,gasBoilerDh,capaConvResi,0.97645,
2030,40CZ,gasBoilerDh,capaConvResi,1.0895,
2030,31DE,gasBoilerDh,capaConvResi,1.16546,
2030,32DE,gasBoilerDh,capaConvResi,1.29639,
2030,33DE,gasBoilerDh,capaConvResi,0.08322,
2030,34DE,gasBoilerDh,capaConvResi,0.30782,
2030,35DE,gasBoilerDh,capaConvResi,2.21316,
2030,36DE,gasBoilerDh,capaConvResi,2.13684,
2030,37DE,gasBoilerDh,capaConvResi,1.89467,
2030,38DK,gasBoilerDh,capaConvResi,1.22111,
2030,72DK,gasBoilerDh,capaConvResi,0.61261,
2030,73EE,gasBoilerDh,capaConvResi,0.46189,
2030,01ES,gasBoilerDh,capaConvResi,0.00765,
2030,02ES,gasBoilerDh,capaConvResi,0.00102,
2030,03ES,gasBoilerDh,capaConvResi,0.0033,
2030,04ES,gasBoilerDh,capaConvResi,0.00956,
2030,05ES,gasBoilerDh,capaConvResi,0.00141,
2030,06ES,gasBoilerDh,capaConvResi,0.01779,
2030,07ES,gasBoilerDh,capaConvResi,0.02289,
2030,08ES,gasBoilerDh,capaConvResi,0.00233,
2030,09ES,gasBoilerDh,capaConvResi,0.00693,
2030,11ES,gasBoilerDh,capaConvResi,0.02014,
2030,74FI,gasBoilerDh,capaConvResi,0.09985,
2030,75FI,gasBoilerDh,capaConvResi,0.63805,
2030,14FR,gasBoilerDh,capaConvResi,0.18154,
2030,15FR,gasBoilerDh,capaConvResi,0.22178,
2030,16FR,gasBoilerDh,capaConvResi,0.35468,
2030,17FR,gasBoilerDh,capaConvResi,0.14646,
2030,18FR,gasBoilerDh,capaConvResi,0.03352,
2030,19FR,gasBoilerDh,capaConvResi,0.05704,
2030,20FR,gasBoilerDh,capaConvResi,0.06684,
2030,21FR,gasBoilerDh,capaConvResi,0.32716,
2030,22FR,gasBoilerDh,capaConvResi,0.07652,
