technology_3,timestep_2,parameter,value,source
heatpumpPro,2025,lifeConv,20,"see techData -> processHeatData, assumed same values for gas and h2"
heatpumpPro,2030,lifeConv,20,
heatpumpPro,2040,lifeConv,20,
heatpumpPro,2050,lifeConv,20,
heatpumpPro,2035,lifeConv,20,
heatpumpPro,2045,lifeConv,20,
eBoilerProMed,2025,lifeConv,25,
eBoilerProMed,2030,lifeConv,25,
eBoilerProMed,2040,lifeConv,25,
eBoilerProMed,2050,lifeConv,25,
eBoilerProMed,2035,lifeConv,25,
eBoilerProMed,2045,lifeConv,25,
eBoilerProLow,2025,lifeConv,25,
eBoilerProLow,2030,lifeConv,25,
eBoilerProLow,2040,lifeConv,25,
eBoilerProLow,2050,lifeConv,25,
eBoilerProLow,2035,lifeConv,25,
eBoilerProLow,2045,lifeConv,25,
coalBoilerProMed,2025,lifeConv,25,
coalBoilerProMed,2030,lifeConv,25,
coalBoilerProMed,2040,lifeConv,25,
coalBoilerProMed,2050,lifeConv,25,
coalBoilerProMed,2035,lifeConv,25,
coalBoilerProMed,2045,lifeConv,25,
oilBoilerProMed,2025,lifeConv,25,
oilBoilerProMed,2030,lifeConv,25,
oilBoilerProMed,2040,lifeConv,25,
oilBoilerProMed,2050,lifeConv,25,
oilBoilerProMed,2035,lifeConv,25,
oilBoilerProMed,2045,lifeConv,25,
gasBoilerProMed,2025,lifeConv,25,
gasBoilerProMed,2030,lifeConv,25,
gasBoilerProMed,2040,lifeConv,25,
gasBoilerProMed,2050,lifeConv,25,
gasBoilerProMed,2035,lifeConv,25,
gasBoilerProMed,2045,lifeConv,25,
bioBoilerProMed,2025,lifeConv,25,
bioBoilerProMed,2030,lifeConv,25,
bioBoilerProMed,2040,lifeConv,25,
bioBoilerProMed,2050,lifeConv,25,
bioBoilerProMed,2035,lifeConv,25,
bioBoilerProMed,2045,lifeConv,25,
coalBoilerProLow,2025,lifeConv,25,
coalBoilerProLow,2030,lifeConv,25,
coalBoilerProLow,2040,lifeConv,25,
coalBoilerProLow,2050,lifeConv,25,
coalBoilerProLow,2035,lifeConv,25,
coalBoilerProLow,2045,lifeConv,25,
oilBoilerProLow,2025,lifeConv,25,
oilBoilerProLow,2030,lifeConv,25,
oilBoilerProLow,2040,lifeConv,25,
oilBoilerProLow,2050,lifeConv,25,
oilBoilerProLow,2035,lifeConv,25,
oilBoilerProLow,2045,lifeConv,25,
gasBoilerProLow,2025,lifeConv,25,
gasBoilerProLow,2030,lifeConv,25,
gasBoilerProLow,2040,lifeConv,25,
gasBoilerProLow,2050,lifeConv,25,
gasBoilerProLow,2035,lifeConv,25,
gasBoilerProLow,2045,lifeConv,25,
bioBoilerProLow,2025,lifeConv,25,
bioBoilerProLow,2030,lifeConv,25,
bioBoilerProLow,2040,lifeConv,25,
bioBoilerProLow,2050,lifeConv,25,
bioBoilerProLow,2035,lifeConv,25,
bioBoilerProLow,2045,lifeConv,25,
gasBoilerProHigh,2025,lifeConv,15,
gasBoilerProHigh,2030,lifeConv,15,
gasBoilerProHigh,2040,lifeConv,15,
gasBoilerProHigh,2050,lifeConv,15,
gasBoilerProHigh,2035,lifeConv,15,
gasBoilerProHigh,2045,lifeConv,15,
coalBoilerProHigh,2025,lifeConv,15,
coalBoilerProHigh,2030,lifeConv,15,
coalBoilerProHigh,2040,lifeConv,15,
coalBoilerProHigh,2050,lifeConv,15,
coalBoilerProHigh,2035,lifeConv,15,
coalBoilerProHigh,2045,lifeConv,15,
eBoilerProHigh,2025,lifeConv,12.5,
eBoilerProHigh,2030,lifeConv,12.5,
eBoilerProHigh,2040,lifeConv,12.5,
eBoilerProHigh,2050,lifeConv,12.5,
eBoilerProHigh,2035,lifeConv,12.5,
eBoilerProHigh,2045,lifeConv,12.5,
heatpumpPro,2020,effConv,2.55,
heatpumpPro,2025,effConv,2.55,
heatpumpPro,2030,effConv,2.7,
heatpumpPro,2040,effConv,2.8,
heatpumpPro,2050,effConv,2.85,
heatpumpPro,2035,effConv,2.75,
heatpumpPro,2045,effConv,2.825,
eBoilerProMed,,effConv,0.99,
eBoilerProLow,,effConv,0.99,
coalBoilerProMed,,effConv,0.898333333,
oilBoilerProMed,,effConv,0.954166667,
gasBoilerProMed,,effConv,0.930833333,
bioBoilerProMed,,effConv,0.8925,
coalBoilerProLow,,effConv,0.898333333,
oilBoilerProLow,,effConv,0.964166667,
gasBoilerProLow,,effConv,1.026666667,
bioBoilerProLow,,effConv,1.161896095,
gasBoilerProHigh,,effConv,1,
coalBoilerProHigh,,effConv,1,
eBoilerProHigh,,effConv,1,
heatpumpPro,2025,costExpConv,2221.56,
heatpumpPro,2030,costExpConv,2102.76,
heatpumpPro,2040,costExpConv,2044,
heatpumpPro,2050,costExpConv,1995,
heatpumpPro,2035,costExpConv,2073.38,
heatpumpPro,2045,costExpConv,2019.5,
eBoilerProMed,2025,costExpConv,79.2,
eBoilerProMed,2030,costExpConv,69.3,
eBoilerProMed,2040,costExpConv,69.3,
eBoilerProMed,2050,costExpConv,69.3,
eBoilerProMed,2035,costExpConv,69.3,
eBoilerProMed,2045,costExpConv,69.3,
eBoilerProLow,2025,costExpConv,69.3,
eBoilerProLow,2030,costExpConv,59.4,
eBoilerProLow,2040,costExpConv,59.4,
eBoilerProLow,2050,costExpConv,59.4,
eBoilerProLow,2035,costExpConv,59.4,
eBoilerProLow,2045,costExpConv,59.4,
coalBoilerProMed,2025,costExpConv,445,
coalBoilerProMed,2030,costExpConv,414.5297863,
coalBoilerProMed,2040,costExpConv,401.4,
coalBoilerProMed,2050,costExpConv,400.8151281,
coalBoilerProMed,2035,costExpConv,407.9648932,
coalBoilerProMed,2045,costExpConv,401.107564,
oilBoilerProMed,2025,costExpConv,51.7,
oilBoilerProMed,2030,costExpConv,44.24756146,
oilBoilerProMed,2040,costExpConv,42.816,
oilBoilerProMed,2050,costExpConv,42.28379373,
oilBoilerProMed,2035,costExpConv,43.53178073,
oilBoilerProMed,2045,costExpConv,42.54989686,
gasBoilerProMed,2025,costExpConv,50.6,
gasBoilerProMed,2030,costExpConv,41.85,
gasBoilerProMed,2040,costExpConv,41.85,
gasBoilerProMed,2050,costExpConv,42.3,
gasBoilerProMed,2035,costExpConv,41.85,
gasBoilerProMed,2045,costExpConv,42.075,
bioBoilerProMed,2025,costExpConv,551.8,
bioBoilerProMed,2030,costExpConv,525.1,
bioBoilerProMed,2040,costExpConv,498.4,
bioBoilerProMed,2050,costExpConv,486,
bioBoilerProMed,2035,costExpConv,511.75,
bioBoilerProMed,2045,costExpConv,492.2,
coalBoilerProLow,2025,costExpConv,445,
coalBoilerProLow,2030,costExpConv,445,
coalBoilerProLow,2040,costExpConv,450,
coalBoilerProLow,2050,costExpConv,455,
coalBoilerProLow,2035,costExpConv,447.5,
coalBoilerProLow,2045,costExpConv,452.5,
oilBoilerProLow,2025,costExpConv,41.8,
oilBoilerProLow,2030,costExpConv,35.77066021,
oilBoilerProLow,2040,costExpConv,34.6096,
oilBoilerProLow,2050,costExpConv,34.17939993,
oilBoilerProLow,2035,costExpConv,35.19013011,
oilBoilerProLow,2045,costExpConv,34.39449997,
gasBoilerProLow,2025,costExpConv,48.48,
gasBoilerProLow,2030,costExpConv,41.2,
gasBoilerProLow,2040,costExpConv,41.2,
gasBoilerProLow,2050,costExpConv,41.2,
gasBoilerProLow,2035,costExpConv,41.2,
gasBoilerProLow,2045,costExpConv,41.2,
bioBoilerProLow,2025,costExpConv,790.0893444,
bioBoilerProLow,2030,costExpConv,755.2324616,
bioBoilerProLow,2040,costExpConv,720.3755788,
bioBoilerProLow,2050,costExpConv,685.5186959,
bioBoilerProLow,2035,costExpConv,737.8040202,
bioBoilerProLow,2045,costExpConv,702.9471373,
gasBoilerProHigh,2025,costExpConv,15,
gasBoilerProHigh,2030,costExpConv,15,
gasBoilerProHigh,2040,costExpConv,15,
gasBoilerProHigh,2050,costExpConv,15,
gasBoilerProHigh,2035,costExpConv,15,
gasBoilerProHigh,2045,costExpConv,15,
coalBoilerProHigh,2025,costExpConv,220,
coalBoilerProHigh,2030,costExpConv,220,
coalBoilerProHigh,2040,costExpConv,220,
coalBoilerProHigh,2050,costExpConv,220,
coalBoilerProHigh,2035,costExpConv,220,
coalBoilerProHigh,2045,costExpConv,220,
eBoilerProHigh,2025,costExpConv,60,
eBoilerProHigh,2030,costExpConv,60,
eBoilerProHigh,2040,costExpConv,60,
eBoilerProHigh,2050,costExpConv,60,
eBoilerProHigh,2035,costExpConv,60,
eBoilerProHigh,2045,costExpConv,60,
heatpumpPro,2025,costOprConv,2.4735,
heatpumpPro,2030,costOprConv,2.349,
heatpumpPro,2040,costOprConv,2.24,
heatpumpPro,2050,costOprConv,2.052,
heatpumpPro,2035,costOprConv,2.2945,
heatpumpPro,2045,costOprConv,2.146,
eBoilerProMed,2025,costOprConv,1.0593,
eBoilerProMed,2030,costOprConv,1.0098,
eBoilerProMed,2040,costOprConv,0.9603,
eBoilerProMed,2050,costOprConv,0.9108,
eBoilerProMed,2035,costOprConv,0.98505,
eBoilerProMed,2045,costOprConv,0.93555,
eBoilerProLow,2025,costOprConv,1.0593,
eBoilerProLow,2030,costOprConv,1.0098,
eBoilerProLow,2040,costOprConv,0.9603,
eBoilerProLow,2050,costOprConv,0.9108,
eBoilerProLow,2035,costOprConv,0.98505,
eBoilerProLow,2045,costOprConv,0.93555,
coalBoilerProMed,2025,costOprConv,29.993,
coalBoilerProMed,2030,costOprConv,29.014,
coalBoilerProMed,2040,costOprConv,28.44,
coalBoilerProMed,2050,costOprConv,27.846,
coalBoilerProMed,2035,costOprConv,28.727,
coalBoilerProMed,2045,costOprConv,28.143,
oilBoilerProMed,2025,costOprConv,1.692,
oilBoilerProMed,2030,costOprConv,1.615,
oilBoilerProMed,2040,costOprConv,1.536,
oilBoilerProMed,2050,costOprConv,1.44,
oilBoilerProMed,2035,costOprConv,1.5755,
oilBoilerProMed,2045,costOprConv,1.488,
gasBoilerProMed,2025,costOprConv,1.84,
gasBoilerProMed,2030,costOprConv,1.767,
gasBoilerProMed,2040,costOprConv,1.674,
gasBoilerProMed,2050,costOprConv,1.598,
gasBoilerProMed,2035,costOprConv,1.7205,
gasBoilerProMed,2045,costOprConv,1.636,
bioBoilerProMed,2025,costOprConv,32.93,
bioBoilerProMed,2030,costOprConv,31.951,
bioBoilerProMed,2040,costOprConv,30.972,
bioBoilerProMed,2050,costOprConv,30.33,
bioBoilerProMed,2035,costOprConv,31.4615,
bioBoilerProMed,2045,costOprConv,30.651,
coalBoilerProLow,2025,costOprConv,29.993,
coalBoilerProLow,2030,costOprConv,29.014,
coalBoilerProLow,2040,costOprConv,28.44,
coalBoilerProLow,2050,costOprConv,27.846,
coalBoilerProLow,2035,costOprConv,28.727,
coalBoilerProLow,2045,costOprConv,28.143,
oilBoilerProLow,2025,costOprConv,1.71,
oilBoilerProLow,2030,costOprConv,1.632,
oilBoilerProLow,2040,costOprConv,1.552,
oilBoilerProLow,2050,costOprConv,1.455,
oilBoilerProLow,2035,costOprConv,1.592,
oilBoilerProLow,2045,costOprConv,1.5035,
gasBoilerProLow,2025,costOprConv,2.02,
gasBoilerProLow,2030,costOprConv,1.957,
gasBoilerProLow,2040,costOprConv,1.854,
gasBoilerProLow,2050,costOprConv,1.751,
gasBoilerProLow,2035,costOprConv,1.9055,
gasBoilerProLow,2045,costOprConv,1.8025,
