timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value,comment,"for eBoilerProHigh and eBoilerProLow potential is estimated in techData -> processHeatPotential, other technologies use existing capacities computed in heatInpus -> heatDemStock as upper limit",,,,,,,,,,,,,,,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp
all,81NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,82NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,83NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,84NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,85NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,87SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.08,,,,,,,,,,,,,,,,,,,,
all,88SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.3553,,,,,,,,,,,,,,,,,,,,
all,89SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0977,,,,,,,,,,,,,,,,,,,,
all,90UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.4347,,,,,,,,,,,,,,,,,,,,
all,91UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1058,,,,,,,,,,,,,,,,,,,,
all,92UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.5852,,,,,,,,,,,,,,,,,,,,
all,93UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1626,,,,,,,,,,,,,,,,,,,,
all,94UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0667,,,,,,,,,,,,,,,,,,,,
all,95UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,96IE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,98IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0914,,,,,,,,,,,,,,,,,,,,
all,99FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,01ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,02ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,03ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,04ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,05ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,06ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.087,,,,,,,,,,,,,,,,,,,,
all,07ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,08ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,09ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,10ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,11ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1128,,,,,,,,,,,,,,,,,,,,
all,12PT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.056,,,,,,,,,,,,,,,,,,,,
all,13PT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,14FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,15FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,16FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,17FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,18FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,19FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,20FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,21FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,22FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1274,,,,,,,,,,,,,,,,,,,,
all,24FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,25FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,26FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,27FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,28BE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1361,,,,,,,,,,,,,,,,,,,,
all,29LU,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0874,,,,,,,,,,,,,,,,,,,,
all,30NL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.158,,,,,,,,,,,,,,,,,,,,
all,31DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0736,,,,,,,,,,,,,,,,,,,,
all,32DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,33DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1893,,,,,,,,,,,,,,,,,,,,
all,34DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0884,,,,,,,,,,,,,,,,,,,,
all,35DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1044,,,,,,,,,,,,,,,,,,,,
all,36DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1203,,,,,,,,,,,,,,,,,,,,
all,37DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1291,,,,,,,,,,,,,,,,,,,,
all,38DK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,39CZ,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,40CZ,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,41PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,42PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,43PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0516,,,,,,,,,,,,,,,,,,,,
all,44PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,45PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,46SK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,47CH,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,48CH,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,49AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,50AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,51AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,52IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.4178,,,,,,,,,,,,,,,,,,,,
all,53IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.078,,,,,,,,,,,,,,,,,,,,
all,54IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1461,,,,,,,,,,,,,,,,,,,,
all,55IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.056,,,,,,,,,,,,,,,,,,,,
all,56IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,57SI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,58HU,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,59RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,60RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,61RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,62HR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,63BA,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,64ME,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,65RS,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,66BG,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,67MK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,68GR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,69GR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,70AL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,72DK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,73EE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,74FI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,75FI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,77LT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,78LV,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,79NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,80NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,81NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,82NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,83NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,84NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,85NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,87SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,88SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,89SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,90UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,91UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,92UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0629,,,,,,,,,,,,,,,,,,,,
all,93UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,94UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,95UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,96IE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,98IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,99FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,01ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.212,,,,,,,,,,,,,,,,,,,,
all,02ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2319,,,,,,,,,,,,,,,,,,,,
all,03ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1884,,,,,,,,,,,,,,,,,,,,
all,04ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4489,,,,,,,,,,,,,,,,,,,,
all,05ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1842,,,,,,,,,,,,,,,,,,,,
all,06ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.3393,,,,,,,,,,,,,,,,,,,,
all,07ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5411,,,,,,,,,,,,,,,,,,,,
all,08ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1634,,,,,,,,,,,,,,,,,,,,
all,09ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2614,,,,,,,,,,,,,,,,,,,,
all,10ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1502,,,,,,,,,,,,,,,,,,,,
all,11ES,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9164,,,,,,,,,,,,,,,,,,,,
all,12PT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9935,,,,,,,,,,,,,,,,,,,,
all,13PT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5253,,,,,,,,,,,,,,,,,,,,
all,14FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3076,,,,,,,,,,,,,,,,,,,,
all,15FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1093,,,,,,,,,,,,,,,,,,,,
all,16FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2479,,,,,,,,,,,,,,,,,,,,
all,17FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2902,,,,,,,,,,,,,,,,,,,,
all,18FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1424,,,,,,,,,,,,,,,,,,,,
all,19FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2418,,,,,,,,,,,,,,,,,,,,
all,20FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1969,,,,,,,,,,,,,,,,,,,,
all,21FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4169,,,,,,,,,,,,,,,,,,,,
all,22FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.9311,,,,,,,,,,,,,,,,,,,,
all,24FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0953,,,,,,,,,,,,,,,,,,,,
all,25FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3577,,,,,,,,,,,,,,,,,,,,
all,26FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3599,,,,,,,,,,,,,,,,,,,,
all,27FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0644,,,,,,,,,,,,,,,,,,,,
all,28BE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.979,,,,,,,,,,,,,,,,,,,,
all,29LU,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0817,,,,,,,,,,,,,,,,,,,,
all,30NL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.4782,,,,,,,,,,,,,,,,,,,,
all,31DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.2454,,,,,,,,,,,,,,,,,,,,
all,32DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.562,,,,,,,,,,,,,,,,,,,,
all,33DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.1217,,,,,,,,,,,,,,,,,,,,
all,34DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9456,,,,,,,,,,,,,,,,,,,,
all,35DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.4948,,,,,,,,,,,,,,,,,,,,
all,36DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.5986,,,,,,,,,,,,,,,,,,,,
all,37DE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.7735,,,,,,,,,,,,,,,,,,,,
all,38DK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3755,,,,,,,,,,,,,,,,,,,,
all,39CZ,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.729,,,,,,,,,,,,,,,,,,,,
all,40CZ,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.6216,,,,,,,,,,,,,,,,,,,,
all,41PL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.8557,,,,,,,,,,,,,,,,,,,,
all,42PL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4751,,,,,,,,,,,,,,,,,,,,
all,43PL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7574,,,,,,,,,,,,,,,,,,,,
all,44PL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.8394,,,,,,,,,,,,,,,,,,,,
all,45PL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5631,,,,,,,,,,,,,,,,,,,,
all,46SK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4723,,,,,,,,,,,,,,,,,,,,
all,47CH,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.5409,,,,,,,,,,,,,,,,,,,,
all,48CH,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2632,,,,,,,,,,,,,,,,,,,,
all,49AT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5805,,,,,,,,,,,,,,,,,,,,
all,50AT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.0748,,,,,,,,,,,,,,,,,,,,
all,51AT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7184,,,,,,,,,,,,,,,,,,,,
all,52IT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.1802,,,,,,,,,,,,,,,,,,,,
all,53IT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4068,,,,,,,,,,,,,,,,,,,,
all,54IT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7622,,,,,,,,,,,,,,,,,,,,
all,55IT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2918,,,,,,,,,,,,,,,,,,,,
all,56IT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2045,,,,,,,,,,,,,,,,,,,,
all,57SI,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2271,,,,,,,,,,,,,,,,,,,,
all,58HU,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3116,,,,,,,,,,,,,,,,,,,,
all,59RO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.361,,,,,,,,,,,,,,,,,,,,
all,60RO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5707,,,,,,,,,,,,,,,,,,,,
all,61RO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2615,,,,,,,,,,,,,,,,,,,,
all,62HR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3334,,,,,,,,,,,,,,,,,,,,
all,63BA,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3792,,,,,,,,,,,,,,,,,,,,
all,64ME,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0573,,,,,,,,,,,,,,,,,,,,
all,65RS,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.8114,,,,,,,,,,,,,,,,,,,,
all,66BG,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3815,,,,,,,,,,,,,,,,,,,,
all,67MK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2251,,,,,,,,,,,,,,,,,,,,
all,68GR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1555,,,,,,,,,,,,,,,,,,,,
all,69GR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2808,,,,,,,,,,,,,,,,,,,,
all,70AL,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.324,,,,,,,,,,,,,,,,,,,,
all,72DK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1539,,,,,,,,,,,,,,,,,,,,
all,73EE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1525,,,,,,,,,,,,,,,,,,,,
all,74FI,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3349,,,,,,,,,,,,,,,,,,,,
all,75FI,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,4.1232,,,,,,,,,,,,,,,,,,,,
all,77LT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1847,,,,,,,,,,,,,,,,,,,,
all,78LV,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3241,,,,,,,,,,,,,,,,,,,,
all,79NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1469,,,,,,,,,,,,,,,,,,,,
all,80NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3446,,,,,,,,,,,,,,,,,,,,
all,81NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7043,,,,,,,,,,,,,,,,,,,,
all,82NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.3333,,,,,,,,,,,,,,,,,,,,
all,83NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3518,,,,,,,,,,,,,,,,,,,,
all,84NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2939,,,,,,,,,,,,,,,,,,,,
all,85NO,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.158,,,,,,,,,,,,,,,,,,,,
all,87SE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9745,,,,,,,,,,,,,,,,,,,,
all,88SE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,3.3219,,,,,,,,,,,,,,,,,,,,
all,89SE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9043,,,,,,,,,,,,,,,,,,,,
all,90UK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.4936,,,,,,,,,,,,,,,,,,,,
all,91UK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3705,,,,,,,,,,,,,,,,,,,,
all,92UK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.1751,,,,,,,,,,,,,,,,,,,,
all,93UK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.588,,,,,,,,,,,,,,,,,,,,
all,94UK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2343,,,,,,,,,,,,,,,,,,,,
all,95UK,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1771,,,,,,,,,,,,,,,,,,,,
all,96IE,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4419,,,,,,,,,,,,,,,,,,,,
all,98IT,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1045,,,,,,,,,,,,,,,,,,,,
all,99FR,miscProHeat,electricHeatPro,eBoilerProMed,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
