region_1,region_1,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
UkPlus,Benelux,gasGrid,dir,capaExcResiDir,34.154,costOprExc,0.2896,lossExc,0.0175
Benelux,UkPlus,gasGrid,dir,capaExcResiDir,54.075,costOprExc,0.2896,lossExc,0.0175
Benelux,FR_,gasGrid,dir,capaExcResiDir,44.167,costOprExc,0.3106,lossExc,0.0188
FR_,Benelux,gasGrid,dir,capaExcResiDir,11.25,costOprExc,0.3106,lossExc,0.0188
DE_,Benelux,gasGrid,dir,capaExcResiDir,709.704,costOprExc,0.1944,lossExc,0.0117
Benelux,DE_,gasGrid,dir,capaExcResiDir,947.158,costOprExc,0.1944,lossExc,0.0117
DE_,FR_,gasGrid,dir,capaExcResiDir,25.573,costOprExc,0.408,lossExc,0.0246
FR_,DE_,gasGrid,dir,capaExcResiDir,4.167,costOprExc,0.408,lossExc,0.0246
CH_,FR_,gasGrid,dir,capaExcResiDir,4.167,costOprExc,0.239,lossExc,0.0144
FR_,CH_,gasGrid,dir,capaExcResiDir,10.793,costOprExc,0.239,lossExc,0.0144
DE_,CH_,gasGrid,dir,capaExcResiDir,29.486,costOprExc,0.2696,lossExc,0.0163
CH_,DE_,gasGrid,dir,capaExcResiDir,10,costOprExc,0.2696,lossExc,0.0163
DE_,East,gasGrid,dir,capaExcResiDir,292.133,costOprExc,0.315,lossExc,0.019
East,DE_,gasGrid,dir,capaExcResiDir,279.569,costOprExc,0.315,lossExc,0.019
East,IT_,gasGrid,dir,capaExcResiDir,50.079,costOprExc,0.4792,lossExc,0.0289
IT_,East,gasGrid,dir,capaExcResiDir,9.71,costOprExc,0.4792,lossExc,0.0289
CH_,IT_,gasGrid,dir,capaExcResiDir,26.687,costOprExc,0.318,lossExc,0.0192
IT_,CH_,gasGrid,dir,capaExcResiDir,32.321,costOprExc,0.318,lossExc,0.0192
Iberia,FR_,gasGrid,dir,capaExcResiDir,9.35,costOprExc,0.5116,lossExc,0.0309
FR_,Iberia,gasGrid,dir,capaExcResiDir,6.857,costOprExc,0.5116,lossExc,0.0309
DE_,Scan,gasGrid,dir,capaExcResiDir,5.151,costOprExc,0.7852,lossExc,0.0474
Scan,DE_,gasGrid,dir,capaExcResiDir,275.145,costOprExc,0.7852,lossExc,0.0474
Scan,East,gasGrid,dir,capaExcResiDir,13.4,costOprExc,0.856,lossExc,0.0517
East,Scan,gasGrid,dir,capaExcResiDir,3.8,costOprExc,0.856,lossExc,0.0517
East,SouthEast,gasGrid,dir,capaExcResiDir,9.144,costOprExc,0.4548,lossExc,0.0275
SouthEast,East,gasGrid,dir,capaExcResiDir,3.057,costOprExc,0.4548,lossExc,0.0275
Scan,Balt,gasGrid,dir,capaExcResiDir,3.25,costOprExc,0.5042,lossExc,0.0304
Balt,Scan,gasGrid,dir,capaExcResiDir,2.938,costOprExc,0.5042,lossExc,0.0304
East,Balt,gasGrid,dir,capaExcResiDir,0.892,costOprExc,0.5152,lossExc,0.0311
Balt,East,gasGrid,dir,capaExcResiDir,2.42,costOprExc,0.5152,lossExc,0.0311
SouthEast,IT_,gasGrid,dir,capaExcResiDir,20.597,costOprExc,0.492,lossExc,0.0297
Scan,UkPlus,gasGrid,dir,capaExcResiDir,124.925,costOprExc,0.8614,lossExc,0.052
Scan,Benelux,gasGrid,dir,capaExcResiDir,20.35,costOprExc,0.8202,lossExc,0.0495
Scan,FR_,gasGrid,dir,capaExcResiDir,23.958,costOprExc,1.1308,lossExc,0.0683
