region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
01ES,02ES,h2Grid,2040,226.0229801,capaExcResi,0,costExpExc,158.2160861,costOprExc,34.60976883
01ES,12PT,h2Grid,2040,220.7843196,capaExcResi,0,costExpExc,154.5490237,costOprExc,33.80759894
02ES,03ES,h2Grid,2040,169.3470606,capaExcResi,0,costExpExc,118.5429424,costOprExc,25.93126865
02ES,08ES,h2Grid,2040,345.1591499,capaExcResi,0,costExpExc,241.6114049,costOprExc,52.85249483
02ES,12PT,h2Grid,2040,242.1057926,capaExcResi,0,costExpExc,169.4740548,costOprExc,37.07244949
03ES,04ES,h2Grid,2040,170.5697448,capaExcResi,0,costExpExc,119.3988214,costOprExc,26.11849217
03ES,05ES,h2Grid,2040,258.8830989,capaExcResi,0,costExpExc,181.2181692,costOprExc,39.64147452
03ES,07ES,h2Grid,2040,135.5792406,capaExcResi,0,costExpExc,94.90546842,costOprExc,20.76057122
03ES,08ES,h2Grid,2040,285.2596021,capaExcResi,0,costExpExc,199.6817215,costOprExc,43.68037657
03ES,11ES,h2Grid,2040,365.8997089,capaExcResi,0,costExpExc,256.1297962,costOprExc,56.02839293
04ES,05ES,h2Grid,2040,200.888342,capaExcResi,0,costExpExc,140.6218394,costOprExc,30.76102737
04ES,14FR,h2Grid,2040,286.850674,capaExcResi,0,costExpExc,200.7954718,costOprExc,43.92400946
05ES,06ES,h2Grid,2040,180.7563858,capaExcResi,0,costExpExc,126.5294701,costOprExc,27.67832158
05ES,11ES,h2Grid,2040,268.5552515,capaExcResi,0,costExpExc,187.9886761,costOprExc,41.12252289
05ES,14FR,h2Grid,2040,305.4484316,capaExcResi,0,costExpExc,213.8139021,costOprExc,46.77179109
06ES,11ES,h2Grid,2040,370.9179493,capaExcResi,0,costExpExc,259.6425645,costOprExc,56.79681099
06ES,14FR,h2Grid,2040,253.2242877,capaExcResi,0,costExpExc,177.2570014,costOprExc,38.77496905
06ES,15FR,h2Grid,2040,270.4177384,capaExcResi,0,costExpExc,189.2924169,costOprExc,41.40771619
07ES,08ES,h2Grid,2040,172.8048204,capaExcResi,0,costExpExc,120.9633743,costOprExc,26.46073812
07ES,11ES,h2Grid,2040,276.9872673,capaExcResi,0,costExpExc,193.8910871,costOprExc,42.41367531
08ES,09ES,h2Grid,2040,231.1051398,capaExcResi,0,costExpExc,161.7735979,costOprExc,35.38797453
08ES,10ES,h2Grid,2040,198.6497561,capaExcResi,0,costExpExc,139.0548293,costOprExc,30.4182439
08ES,11ES,h2Grid,2040,359.9690076,capaExcResi,0,costExpExc,251.9783053,costOprExc,55.12025429
08ES,12PT,h2Grid,2040,277.8273511,capaExcResi,0,costExpExc,194.4791458,costOprExc,42.54231314
08ES,13PT,h2Grid,2040,275.4245566,capaExcResi,0,costExpExc,192.7971896,costOprExc,42.17438523
09ES,10ES,h2Grid,2040,167.4661886,capaExcResi,0,costExpExc,117.226332,costOprExc,25.64326013
09ES,13PT,h2Grid,2040,264.6981729,capaExcResi,0,costExpExc,185.288721,costOprExc,40.53190773
10ES,11ES,h2Grid,2040,300.3706252,capaExcResi,0,costExpExc,210.2594376,costOprExc,45.99425198
12PT,13PT,h2Grid,2040,254.0269767,capaExcResi,0,costExpExc,177.8188837,costOprExc,38.89788081
