region_2,region_2,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
UK,BE,gasGrid,dir,capaExcResiDir,27.154,costOprExc,0.4768,lossExc,0.0288
BE,UK,gasGrid,dir,capaExcResiDir,33.475,costOprExc,0.4768,lossExc,0.0288
BE,FR,gasGrid,dir,capaExcResiDir,44.167,costOprExc,0.286,lossExc,0.0173
FR,BE,gasGrid,dir,capaExcResiDir,11.25,costOprExc,0.286,lossExc,0.0173
NL,BE,gasGrid,dir,capaExcResiDir,115.63,costOprExc,0.0938,lossExc,0.0057
BE,NL,gasGrid,dir,capaExcResiDir,17.833,costOprExc,0.0938,lossExc,0.0057
DE,BE,gasGrid,dir,capaExcResiDir,14.833,costOprExc,0.2136,lossExc,0.0129
BE,DE,gasGrid,dir,capaExcResiDir,22.583,costOprExc,0.2136,lossExc,0.0129
DE,LU,gasGrid,dir,capaExcResiDir,1,costOprExc,0.1948,lossExc,0.0118
DE,FR,gasGrid,dir,capaExcResiDir,25.573,costOprExc,0.4662,lossExc,0.0281
FR,DE,gasGrid,dir,capaExcResiDir,4.167,costOprExc,0.4662,lossExc,0.0281
CH,FR,gasGrid,dir,capaExcResiDir,4.167,costOprExc,0.2856,lossExc,0.0172
FR,CH,gasGrid,dir,capaExcResiDir,10.793,costOprExc,0.2856,lossExc,0.0172
DE,CH,gasGrid,dir,capaExcResiDir,29.486,costOprExc,0.2972,lossExc,0.0179
CH,DE,gasGrid,dir,capaExcResiDir,10,costOprExc,0.2972,lossExc,0.0179
NL,DE,gasGrid,dir,capaExcResiDir,924.575,costOprExc,0.1968,lossExc,0.0119
DE,NL,gasGrid,dir,capaExcResiDir,693.871,costOprExc,0.1968,lossExc,0.0119
NL,UK,gasGrid,dir,capaExcResiDir,20.6,costOprExc,0.4194,lossExc,0.0253
UK,NL,gasGrid,dir,capaExcResiDir,7,costOprExc,0.4194,lossExc,0.0253
UK,IE,gasGrid,dir,capaExcResiDir,16.108,costOprExc,0.2264,lossExc,0.0137
DE,AT,gasGrid,dir,capaExcResiDir,197.11,costOprExc,0.2818,lossExc,0.017
AT,DE,gasGrid,dir,capaExcResiDir,199.484,costOprExc,0.2818,lossExc,0.017
AT,IT,gasGrid,dir,capaExcResiDir,49.005,costOprExc,0.3636,lossExc,0.022
IT,AT,gasGrid,dir,capaExcResiDir,8.085,costOprExc,0.3636,lossExc,0.022
CH,IT,gasGrid,dir,capaExcResiDir,26.687,costOprExc,0.3496,lossExc,0.0211
IT,CH,gasGrid,dir,capaExcResiDir,32.321,costOprExc,0.3496,lossExc,0.0211
IT,SI,gasGrid,dir,capaExcResiDir,1.625,costOprExc,0.2948,lossExc,0.0178
SI,IT,gasGrid,dir,capaExcResiDir,1.074,costOprExc,0.2948,lossExc,0.0178
HR,SI,gasGrid,dir,capaExcResiDir,0.321,costOprExc,0.1088,lossExc,0.0066
SI,HR,gasGrid,dir,capaExcResiDir,2.238,costOprExc,0.1088,lossExc,0.0066
AT,SI,gasGrid,dir,capaExcResiDir,4.688,costOprExc,0.1182,lossExc,0.0071
ES,FR,gasGrid,dir,capaExcResiDir,9.35,costOprExc,0.4124,lossExc,0.0249
FR,ES,gasGrid,dir,capaExcResiDir,6.857,costOprExc,0.4124,lossExc,0.0249
ES,PT,gasGrid,dir,capaExcResiDir,6,costOprExc,0.2504,lossExc,0.0151
PT,ES,gasGrid,dir,capaExcResiDir,3.333,costOprExc,0.2504,lossExc,0.0151
DE,DK,gasGrid,dir,capaExcResiDir,5.151,costOprExc,0.2714,lossExc,0.0164
DK,DE,gasGrid,dir,capaExcResiDir,0.654,costOprExc,0.2714,lossExc,0.0164
DK,PL,gasGrid,dir,capaExcResiDir,13.4,costOprExc,0.4128,lossExc,0.0249
PL,DK,gasGrid,dir,capaExcResiDir,3.8,costOprExc,0.4128,lossExc,0.0249
DE,PL,gasGrid,dir,capaExcResiDir,27.19,costOprExc,0.346,lossExc,0.0209
PL,DE,gasGrid,dir,capaExcResiDir,0.004,costOprExc,0.346,lossExc,0.0209
DE,CZ,gasGrid,dir,capaExcResiDir,67.833,costOprExc,0.2334,lossExc,0.0141
CZ,DE,gasGrid,dir,capaExcResiDir,80.081,costOprExc,0.2334,lossExc,0.0141
CZ,PL,gasGrid,dir,capaExcResiDir,1.168,costOprExc,0.179,lossExc,0.0108
SK,PL,gasGrid,dir,capaExcResiDir,6.021,costOprExc,0.179,lossExc,0.0108
PL,SK,gasGrid,dir,capaExcResiDir,7.248,costOprExc,0.179,lossExc,0.0108
CZ,SK,gasGrid,dir,capaExcResiDir,58.292,costOprExc,0.1924,lossExc,0.0116
SK,CZ,gasGrid,dir,capaExcResiDir,16.467,costOprExc,0.1924,lossExc,0.0116
AT,SK,gasGrid,dir,capaExcResiDir,32.067,costOprExc,0.2708,lossExc,0.0163
SK,AT,gasGrid,dir,capaExcResiDir,142.392,costOprExc,0.2708,lossExc,0.0163
AT,HU,gasGrid,dir,capaExcResiDir,6.378,costOprExc,0.2462,lossExc,0.0149
HU,SK,gasGrid,dir,capaExcResiDir,2.12,costOprExc,0.0966,lossExc,0.0058
SK,HU,gasGrid,dir,capaExcResiDir,5.374,costOprExc,0.0966,lossExc,0.0058
BG,GR,gasGrid,dir,capaExcResiDir,5.015,costOprExc,0.2868,lossExc,0.0173
GR,BG,gasGrid,dir,capaExcResiDir,14.381,costOprExc,0.2868,lossExc,0.0173
BG,RO,gasGrid,dir,capaExcResiDir,17.645,costOprExc,0.2432,lossExc,0.0147
RO,BG,gasGrid,dir,capaExcResiDir,19.285,costOprExc,0.2432,lossExc,0.0147
BG,MK,gasGrid,dir,capaExcResiDir,1.387,costOprExc,0.1786,lossExc,0.0108
BG,RS,gasGrid,dir,capaExcResiDir,38.314,costOprExc,0.2452,lossExc,0.0148
RS,BG,gasGrid,dir,capaExcResiDir,29.176,costOprExc,0.2452,lossExc,0.0148
HR,HU,gasGrid,dir,capaExcResiDir,2.121,costOprExc,0.2326,lossExc,0.014
HU,HR,gasGrid,dir,capaExcResiDir,3.217,costOprExc,0.2326,lossExc,0.014
HU,RS,gasGrid,dir,capaExcResiDir,5.916,costOprExc,0.1954,lossExc,0.0118
HU,RO,gasGrid,dir,capaExcResiDir,3.228,costOprExc,0.2672,lossExc,0.0161
RO,HU,gasGrid,dir,capaExcResiDir,3.057,costOprExc,0.2672,lossExc,0.0161
RS,BA,gasGrid,dir,capaExcResiDir,0.583,costOprExc,0.1244,lossExc,0.0075
FI,EE,gasGrid,dir,capaExcResiDir,3.25,costOprExc,0.328,lossExc,0.0198
EE,FI,gasGrid,dir,capaExcResiDir,2.938,costOprExc,0.328,lossExc,0.0198
LT,LV,gasGrid,dir,capaExcResiDir,3.75,costOprExc,0.1154,lossExc,0.007
LV,LT,gasGrid,dir,capaExcResiDir,3.417,costOprExc,0.1154,lossExc,0.007
PL,LT,gasGrid,dir,capaExcResiDir,0.892,costOprExc,0.2996,lossExc,0.0181
LT,PL,gasGrid,dir,capaExcResiDir,2.42,costOprExc,0.2996,lossExc,0.0181
AL,IT,gasGrid,dir,capaExcResiDir,20.597,costOprExc,0.3896,lossExc,0.0235
BE,LU,gasGrid,dir,capaExcResiDir,2.033,costOprExc,0.065,lossExc,0.0039
