region_1,region_1,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
Iberia,FR_,h2Grid,2040,902.6149002,capaExcResi,0,costExpExc,631.8304302,costOprExc,138.2129066
FR_,IT_,h2Grid,2040,879.3414427,capaExcResi,0,costExpExc,615.5390099,costOprExc,134.6491584
FR_,CH_,h2Grid,2040,421.705123,capaExcResi,0,costExpExc,295.1935861,costOprExc,64.57359696
FR_,Benelux,h2Grid,2040,548.1097772,capaExcResi,0,costExpExc,383.676844,costOprExc,83.92930963
FR_,DE_,h2Grid,2040,719.7241661,capaExcResi,0,costExpExc,503.8069163,costOprExc,110.2077629
FR_,UkPlus,h2Grid,2040,769.5686154,capaExcResi,0,costExpExc,538.6980308,costOprExc,117.8401942
Benelux,DE_,h2Grid,2040,343.1401251,capaExcResi,0,costExpExc,240.1980876,costOprExc,52.54333166
DE_,Scan,h2Grid,2040,1385.254499,capaExcResi,0,costExpExc,969.6781495,costOprExc,212.1170952
DE_,East,h2Grid,2040,555.8430817,capaExcResi,0,costExpExc,389.0901572,costOprExc,85.11347189
DE_,CH_,h2Grid,2040,475.6347041,capaExcResi,0,costExpExc,332.9442929,costOprExc,72.83156407
East,Balt,h2Grid,2040,909.0358461,capaExcResi,0,costExpExc,636.3250923,costOprExc,139.1961139
CH_,East,h2Grid,2040,748.3920738,capaExcResi,0,costExpExc,523.8744516,costOprExc,114.5975363
CH_,IT_,h2Grid,2040,561.2108569,capaExcResi,0,costExpExc,392.8475998,costOprExc,85.93541247
IT_,East,h2Grid,2040,845.6339384,capaExcResi,0,costExpExc,591.9437569,costOprExc,129.4876968
East,SouthEast,h2Grid,2040,802.3046707,capaExcResi,0,costExpExc,561.6132695,costOprExc,122.8529027
Balt,Scan,h2Grid,2040,889.6554687,capaExcResi,0,costExpExc,622.7588281,costOprExc,136.2284936
Iberia,FR_,h2Grid,,902.6149002,lossExc,0.03088,,,,
FR_,IT_,h2Grid,,879.3414427,lossExc,0.03009,,,,
FR_,CH_,h2Grid,,421.705123,lossExc,0.01443,,,,
FR_,Benelux,h2Grid,,548.1097772,lossExc,0.01875,,,,
FR_,DE_,h2Grid,,719.7241661,lossExc,0.02462,,,,
FR_,UkPlus,h2Grid,,769.5686154,lossExc,0.02633,,,,
Benelux,DE_,h2Grid,,343.1401251,lossExc,0.01174,,,,
DE_,Scan,h2Grid,,1385.254499,lossExc,0.0474,,,,
DE_,East,h2Grid,,555.8430817,lossExc,0.01902,,,,
DE_,CH_,h2Grid,,475.6347041,lossExc,0.01627,,,,
East,Balt,h2Grid,,909.0358461,lossExc,0.0311,,,,
CH_,East,h2Grid,,748.3920738,lossExc,0.02561,,,,
CH_,IT_,h2Grid,,561.2108569,lossExc,0.0192,,,,
East,IT_,h2Grid,,845.6339384,lossExc,0.02893,,,,
East,SouthEast,h2Grid,,802.3046707,lossExc,0.02745,,,,
Balt,Scan,h2Grid,,889.6554687,lossExc,0.03044,,,,
,,,2040,,lifeExc,50,,,,
