region_2,carrier_1,parameter,value,source
AL,solidBiomass,useUp,3759.234132,"JRC (2015), The JRC-EU-TIMES model Bioenergy potentials for EU and neighbouring countries"
AT,solidBiomass,useUp,39418.41582,
BA,solidBiomass,useUp,6393.235576,
BE,solidBiomass,useUp,32899.38477,
BG,solidBiomass,useUp,20036.77574,
CH,solidBiomass,useUp,27921.65277,
CZ,solidBiomass,useUp,32527.01712,
DE,solidBiomass,useUp,196313.4188,
DK,solidBiomass,useUp,20474.03976,
EE,solidBiomass,useUp,10991.49214,
ES,solidBiomass,useUp,73859.06923,
FI,solidBiomass,useUp,64289.54907,
FR,solidBiomass,useUp,153164.6375,
GR,solidBiomass,useUp,11365.05098,
HR,solidBiomass,useUp,7239.755759,
HU,solidBiomass,useUp,32875.68042,
IE,solidBiomass,useUp,7310.828643,
IT,solidBiomass,useUp,70183.38304,
LT,solidBiomass,useUp,15846.15351,
LU,solidBiomass,useUp,909.4887294,
LV,solidBiomass,useUp,22059.8766,
ME,solidBiomass,useUp,7169.838191,
MK,solidBiomass,useUp,4167.011276,
NL,solidBiomass,useUp,23604.83493,
NO,solidBiomass,useUp,40160.77322,
PL,solidBiomass,useUp,89844.7079,
PT,solidBiomass,useUp,25694.30099,
RO,solidBiomass,useUp,70301.37921,
RS,solidBiomass,useUp,24838.09697,
SE,solidBiomass,useUp,104091.0585,
SI,solidBiomass,useUp,10744.61675,
SK,solidBiomass,useUp,16753.38773,
UK,solidBiomass,useUp,37182.48801,
AL,rawBiogas,useUp,503.0877471,
AT,rawBiogas,useUp,1321.914161,
BA,rawBiogas,useUp,448.3572247,
BE,rawBiogas,useUp,10742.80638,
BG,rawBiogas,useUp,1574.902666,
CH,rawBiogas,useUp,1238.365136,
CZ,rawBiogas,useUp,11707.97141,
DE,rawBiogas,useUp,29337.96798,
DK,rawBiogas,useUp,12021.31842,
EE,rawBiogas,useUp,2311.868132,
ES,rawBiogas,useUp,30466.68754,
FI,rawBiogas,useUp,1113.184917,
FR,rawBiogas,useUp,71777.25098,
GR,rawBiogas,useUp,2126.402344,
HR,rawBiogas,useUp,903.3123517,
HU,rawBiogas,useUp,17686.3654,
IE,rawBiogas,useUp,5097.422399,
IT,rawBiogas,useUp,32106.36474,
LT,rawBiogas,useUp,4691.813627,
LU,rawBiogas,useUp,422.7550531,
LV,rawBiogas,useUp,2354.523375,
ME,rawBiogas,useUp,69.23311296,
MK,rawBiogas,useUp,218.4554855,
NL,rawBiogas,useUp,13561.58366,
NO,rawBiogas,useUp,1361.263665,
PL,rawBiogas,useUp,26212.28808,
PT,rawBiogas,useUp,6556.005405,
RO,rawBiogas,useUp,5865.927594,
RS,rawBiogas,useUp,2904.586435,
SE,rawBiogas,useUp,4866.723089,
SI,rawBiogas,useUp,413.0155143,
SK,rawBiogas,useUp,3445.82794,
UK,rawBiogas,useUp,44947.14242,
