timestep_1,timestep_1,technology_1,technology_2,technology_3,modes,carrier_1,parameter_1,value_1,parameter_2,value_2,source,comment,comparison_source,comparison_value,comparision_comment
all,all(2020:2030),hydrogenAndMore,,fuelCell_resi,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Lebensdauer in 2050 10 Jahre, in 2020 20 Jahre",,,
all,all(2035:2045),hydrogenAndMore,,fuelCell_resi,,,lifeConv,15,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Lebensdauer in 2050 10 Jahre, in 2020 20 Jahre",,,
all,2050,hydrogenAndMore,,fuelCell_resi,,,lifeConv,10,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Lebensdauer in 2050 10 Jahre, in 2020 20 Jahre",,,
,,hydrogenAndMore,,alkElectrolysis,,,effConv,0.83,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,efficiency in 2020 0.82 and in 2050 0.84,,,
all,all(2020:2035),hydrogenAndMore,,alkElectrolysis,,,costExpConv,650,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,costs 2020 650 €/kW and 2050 [500;250] depending on scenario,,,
all,all(2040:2050),hydrogenAndMore,,alkElectrolysis,,,costExpConv,300,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,,,,
,,hydrogenAndMore,,alkElectrolysis,,,lifeConv,25,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,lifetime 20-29 years,,,
all,all(2020:2035),hydrogenAndMore,,alkElectrolysis,,,costOprConv,26,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM (Fixe Betriebs- und Wartungskosten) 26 EUR/kW 2020,,,
all,all(2040:2050),hydrogenAndMore,,alkElectrolysis,,,costOprConv,10,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM (Fixe Betriebs- und Wartungskosten)  10 EUR/kW 2050,,,
all,all(2020:2035),hydrogenAndMore,,soElectrolysis,,,effConv,0.87,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,,,,
all,all(2040:2050),hydrogenAndMore,,soElectrolysis,,,effConv,0.95,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,,,,
,,hydrogenAndMore,,soElectrolysis,,,ratioGenFix,?,,,,,,,
all,all(2020:2035),hydrogenAndMore,,soElectrolysis,,,costExpConv,1700,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"costs 2020 1700 €/kW, 2050 [270;540]",,,
all,all(2040:2050),hydrogenAndMore,,soElectrolysis,,,costExpConv,450,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"costs 2020 1700 €/kW, 2050 [270;540]",,,
,,hydrogenAndMore,,soElectrolysis,,,lifeConv,15,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,11-16 years,,,
all,all(2020:2035),hydrogenAndMore,,soElectrolysis,,,costOprConv,68,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM 2020 68 €/kW 2050 10.8€/kW,,,
all,all(2040:2050),hydrogenAndMore,,soElectrolysis,,,costOprConv,10.8,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM 2020 68 €/kW 2050 10.8€/kW,,,
all,all(2020:2035),hydrogenAndMore,,methanation,,,effConv,0.83,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"efficiency 2020: 83 %, 2050 90 %",,,
all,all(2040:2050),hydrogenAndMore,,methanation,,,effConv,0.9,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"efficiency 2020: 83 %, 2050 90 %",,,
all,all(2020:2035),hydrogenAndMore,,methanation,,,costExpConv,400,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"costs 2020 400 €/kW, 2050 [130; 260] €/kW",,,
all,all(2040:2050),hydrogenAndMore,,methanation,,,costExpConv,200,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"costs 2020 400 €/kW, 2050 [130; 260] €/kW",,,
,,hydrogenAndMore,,methanation,,,lifeConv,20,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,16-25 years,,,
all,all(2020:2035),hydrogenAndMore,,methanation,,,costOprConv,8,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM (Fixe Betriebs- und Wartungskosten)  8 EUR/kW 2020,,,
all,all(2040:2050),hydrogenAndMore,,methanation,,,costOprConv,3,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM (Fixe Betriebs- und Wartungskosten)  3 EUR/kW 2050,,,
all,all(2020:2035),hydrogenAndMore,,fischerTropsch,,,effConv,0.56,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,,,,
all,all(2040:2050),hydrogenAndMore,,fischerTropsch,,,effConv,0.66,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,,,,
all,all(2020:2035),hydrogenAndMore,,fischerTropsch,,,costExpConv,600,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,"costs 2020 600 €/kW, 2050 [195; 390] €/kW",,,
all,all(2040:2050),hydrogenAndMore,,fischerTropsch,,,costExpConv,292.5,,,based on Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,,,,
,,hydrogenAndMore,,fischerTropsch,,,lifeConv,20,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,16-25 years,,,
all,all(2020:2035),hydrogenAndMore,,fischerTropsch,,,costOprConv,31,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM (Fixe Betriebs- und Wartungskosten)  31 EUR/kW 2020,,,
all,all(2040:2050),hydrogenAndMore,,fischerTropsch,,,costOprConv,19,,,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,FOM (Fixe Betriebs- und Wartungskosten)  19 EUR/kW 2050,,,
