timestep_1,timestep_1,technology_1,technology_2,technology_3,modes,carrier_1,parameter_1,value_1,parameter_2,value_2,source,comment,comparison_source,comparison_value,comparision_comment
,,ocgt,ocgtH2CHP,ocgtH2_chp,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",2020 20 Jahre und 2025 sind 25 Jahre angenommen,,,
,,ocgt,ocgtH2CHP,ocgtH2_chp,,,costExpConv,201.6,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",504 €/kW bezogen auf el. Output; konstant für 2020 und 2050; Abweichungen +/- 29%,,,
,,ocgt,ocgtH2CHP,ocgtH2_chp,,,costOprConv,2.016,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",1% Anteil der Inv.,,,
,,ocgt,ocgtH2CHP,ocgtH2_chp,,,costVarGen,2.8,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",0.007 €/kWh bezogen auf elek. Output,,,
,,ccgt,,ccgtH2,,,effConv,0.6,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",0.6 in 2050 und 0.58 in 2020,,,
,,ccgt,,ccgtH2,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",20 in 2020 und 25 in 2050,,,
,,ccgt,,ccgtH2,,,costExpConv,456,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Abweichung +/- 35 %, 760 €/kW bezogen auf el. Output",,,
,,ccgt,,ccgtH2,,,costOprConv,4.56,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",1% Anteil der Inv.,,,
,,ccgt,,ccgtH2,,,costVarGen,1.2,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",0.002 €/kWh bezogen auf elek-Output,,,
,,ccgt,ccgtH2CHP,ccgtH2_chp,,,effConv,0.9,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Mini-BHKW (ggf. neue Rubirk?,,,
