region_1,region_2,region_3
EU,ES,01ES
EU,ES,02ES
EU,ES,03ES
EU,ES,04ES
EU,ES,05ES
EU,ES,06ES
EU,ES,07ES
EU,ES,08ES
EU,ES,09ES
EU,ES,10ES
EU,ES,11ES
EU,PT,12PT
EU,PT,13PT
EU,FR,14FR
EU,FR,15FR
EU,FR,16FR
EU,FR,17FR
EU,FR,18FR
EU,FR,19FR
EU,FR,20FR
EU,FR,21FR
EU,FR,22FR
EU,FR,23FR
EU,FR,24FR
EU,FR,25FR
EU,FR,26FR
EU,FR,27FR
EU,BE,28BE
EU,LU,29LU
EU,NL,30NL
EU,DE,31DE
EU,DE,32DE
EU,DE,33DE
EU,DE,34DE
EU,DE,35DE
EU,DE,36DE
EU,DE,37DE
EU,DK,38DK
EU,CZ,39CZ
EU,CZ,40CZ
EU,PL,41PL
EU,PL,42PL
EU,PL,43PL
EU,PL,44PL
EU,PL,45PL
EU,SK,46SK
nonEU,CH,47CH
nonEU,CH,48CH
EU,AT,49AT
EU,AT,50AT
EU,AT,51AT
EU,IT,52IT
EU,IT,53IT
EU,IT,54IT
EU,IT,55IT
EU,IT,56IT
EU,SI,57SI
EU,HU,58HU
EU,RO,59RO
EU,RO,60RO
EU,RO,61RO
EU,HR,62HR
nonEU,ME,64ME
nonEU,RS,65RS
EU,BG,66BG
nonEU,MK,67MK
EU,GR,68GR
EU,GR,69GR
EU,DK,72DK
EU,EE,73EE
EU,FI,74FI
EU,FI,75FI
EU,LT,77LT
EU,LV,78LV
nonEU,NO,79NO
nonEU,NO,80NO
nonEU,NO,81NO
nonEU,NO,82NO
nonEU,NO,83NO
nonEU,NO,84NO
nonEU,NO,85NO
EU,SE,86SE
EU,SE,87SE
EU,SE,88SE
EU,SE,89SE
nonEU,UK,90UK
nonEU,UK,91UK
nonEU,UK,92UK
nonEU,UK,93UK
nonEU,UK,94UK
nonEU,UK,95UK
EU,IE,96IE
EU,IT,98IT
EU,FR,99FR
nonEU,AL,70AL
nonEU,BA,63BA
