technology_3,parameter,value
nuclearPower,costExpConv,3619.047619
nuclearPower,costOprConv,80
nuclearPower,lifeConv,60
nuclearPower,avaConv,0.95
nuclearPower,flhConvLow,2628
nuclearPower,costVarGen,12.91005291
