timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0123,FR,s2012,electricity,dem,59.4522983880608
h0124,FR,s2012,electricity,dem,58.466633552896
h0125,FR,s2012,electricity,dem,60.3356610254234
h0126,FR,s2012,electricity,dem,64.6047104759729
h0127,FR,s2012,electricity,dem,69.0632159704784
h0128,FR,s2012,electricity,dem,71.0684357506982
h0129,FR,s2012,electricity,dem,72.2185456408081
h0130,FR,s2012,electricity,dem,72.4454412452036
h0131,FR,s2012,electricity,dem,72.5239302561927
h0132,FR,s2012,electricity,dem,72.5867873990498
h0133,FR,s2012,electricity,dem,70.8573698166322
h0134,FR,s2012,electricity,dem,68.7814632232256
h0135,FR,s2012,electricity,dem,66.794622563885
h0136,FR,s2012,electricity,dem,66.2341390474015
h0137,FR,s2012,electricity,dem,68.5819522342147
h0138,FR,s2012,electricity,dem,72.8526170693795
h0139,FR,s2012,electricity,dem,73.7630841023465
h0140,FR,s2012,electricity,dem,70.4604412452036
h0141,FR,s2012,electricity,dem,67.1242544320168
h0142,FR,s2012,electricity,dem,67.5149961902586
h0143,FR,s2012,electricity,dem,68.6115731133355
h0144,FR,s2012,electricity,dem,65.9297709155334
h0145,FR,s2012,electricity,dem,55.8203067415476
h0146,FR,s2012,electricity,dem,54.3308946536355
h0147,FR,s2012,electricity,dem,51.5746199283608
h0148,FR,s2012,electricity,dem,50.588955093196
h0149,FR,s2012,electricity,dem,52.4579825657234
h0150,FR,s2012,electricity,dem,56.7270320162729
h0151,FR,s2012,electricity,dem,61.1855375107784
h0152,FR,s2012,electricity,dem,63.1907572909982
h0153,FR,s2012,electricity,dem,64.3408671811081
h0154,FR,s2012,electricity,dem,64.5677627855036
h0155,FR,s2012,electricity,dem,64.6462517964927
h0156,FR,s2012,electricity,dem,64.7091089393498
h0157,FR,s2012,electricity,dem,62.9796913569322
h0158,FR,s2012,electricity,dem,60.9037847635256
h0159,FR,s2012,electricity,dem,58.916944104185
h0160,FR,s2012,electricity,dem,58.3564605877015
h0161,FR,s2012,electricity,dem,60.7042737745147
h0162,FR,s2012,electricity,dem,64.9749386096795
h0163,FR,s2012,electricity,dem,65.8854056426465
h0164,FR,s2012,electricity,dem,62.5827627855037
h0165,FR,s2012,electricity,dem,59.2465759723168
h0166,FR,s2012,electricity,dem,59.6373177305586
h0167,FR,s2012,electricity,dem,60.7338946536356
h0168,FR,s2012,electricity,dem,58.0520924558334
h0169,FR,s2012,electricity,dem,53.7696910840476
h0170,FR,s2012,electricity,dem,52.2802789961355
h0171,FR,s2012,electricity,dem,49.5240042708608
h0172,FR,s2012,electricity,dem,48.538339435696
h0173,FR,s2012,electricity,dem,50.4073669082234
h0174,FR,s2012,electricity,dem,54.6764163587729
h0175,FR,s2012,electricity,dem,59.1349218532784
h0176,FR,s2012,electricity,dem,61.1401416334982
h0177,FR,s2012,electricity,dem,62.2902515236081
h0178,FR,s2012,electricity,dem,62.5171471280036
h0179,FR,s2012,electricity,dem,62.5956361389927
h0180,FR,s2012,electricity,dem,62.6584932818498
h0181,FR,s2012,electricity,dem,60.9290756994322
h0182,FR,s2012,electricity,dem,58.8531691060256
h0183,FR,s2012,electricity,dem,56.866328446685
h0184,FR,s2012,electricity,dem,56.3058449302015
h0185,FR,s2012,electricity,dem,58.6536581170147
h0186,FR,s2012,electricity,dem,62.9243229521795
h0187,FR,s2012,electricity,dem,63.8347899851465
h0188,FR,s2012,electricity,dem,60.5321471280037
h0189,FR,s2012,electricity,dem,57.1959603148168
h0190,FR,s2012,electricity,dem,57.5867020730586
h0191,FR,s2012,electricity,dem,58.6832789961355
h0192,FR,s2012,electricity,dem,56.0014767983334
h0193,FR,s2012,electricity,dem,60.9222646565476
h0194,FR,s2012,electricity,dem,59.4328525686355
h0195,FR,s2012,electricity,dem,56.6765778433608
h0196,FR,s2012,electricity,dem,55.690913008196
h0197,FR,s2012,electricity,dem,57.5599404807234
h0198,FR,s2012,electricity,dem,61.8289899312729
h0199,FR,s2012,electricity,dem,66.2874954257784
h0200,FR,s2012,electricity,dem,68.2927152059982
h0201,FR,s2012,electricity,dem,69.4428250961081
h0202,FR,s2012,electricity,dem,69.6697207005036
h0203,FR,s2012,electricity,dem,69.7482097114927
h0204,FR,s2012,electricity,dem,69.8110668543498
h0205,FR,s2012,electricity,dem,68.0816492719322
h0206,FR,s2012,electricity,dem,66.0057426785256
h0207,FR,s2012,electricity,dem,64.018902019185
h0208,FR,s2012,electricity,dem,63.4584185027015
h0209,FR,s2012,electricity,dem,65.8062316895147
h0210,FR,s2012,electricity,dem,70.0768965246795
h0211,FR,s2012,electricity,dem,70.9873635576465
h0212,FR,s2012,electricity,dem,67.6847207005037
h0213,FR,s2012,electricity,dem,64.3485338873168
h0214,FR,s2012,electricity,dem,64.7392756455586
h0215,FR,s2012,electricity,dem,65.8358525686356
h0216,FR,s2012,electricity,dem,63.1540503708334
