timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,LU,s2018,electricity,dem,0.457424349216535
h0002,LU,s2018,electricity,dem,0.437258140425326
h0003,LU,s2018,electricity,dem,0.428506766798953
h0004,LU,s2018,electricity,dem,0.42583918438137
h0005,LU,s2018,electricity,dem,0.435306217348403
h0006,LU,s2018,electricity,dem,0.442506766798952
h0007,LU,s2018,electricity,dem,0.475536986579172
h0008,LU,s2018,electricity,dem,0.516626272293458
h0009,LU,s2018,electricity,dem,0.542637261304447
h0010,LU,s2018,electricity,dem,0.556205942623128
h0011,LU,s2018,electricity,dem,0.56805896460115
h0012,LU,s2018,electricity,dem,0.571439459106645
h0013,LU,s2018,electricity,dem,0.561416107458293
h0014,LU,s2018,electricity,dem,0.548942206359392
h0015,LU,s2018,electricity,dem,0.537263634930821
h0016,LU,s2018,electricity,dem,0.533333689875876
h0017,LU,s2018,electricity,dem,0.546997151414337
h0018,LU,s2018,electricity,dem,0.572637261304447
h0019,LU,s2018,electricity,dem,0.576280118447304
h0020,LU,s2018,electricity,dem,0.551990283282469
h0021,LU,s2018,electricity,dem,0.513844678886865
h0022,LU,s2018,electricity,dem,0.508145503062689
h0023,LU,s2018,electricity,dem,0.507846052513238
h0024,LU,s2018,electricity,dem,0.484351547018733
h0025,LU,s2018,electricity,dem,0.480210491841535
h0026,LU,s2018,electricity,dem,0.460044283050326
h0027,LU,s2018,electricity,dem,0.451292909423953
h0028,LU,s2018,electricity,dem,0.44862532700637
h0029,LU,s2018,electricity,dem,0.458092359973403
h0030,LU,s2018,electricity,dem,0.465292909423952
h0031,LU,s2018,electricity,dem,0.498323129204172
h0032,LU,s2018,electricity,dem,0.539412414918458
h0033,LU,s2018,electricity,dem,0.565423403929447
h0034,LU,s2018,electricity,dem,0.578992085248128
h0035,LU,s2018,electricity,dem,0.59084510722615
h0036,LU,s2018,electricity,dem,0.594225601731645
h0037,LU,s2018,electricity,dem,0.584202250083293
h0038,LU,s2018,electricity,dem,0.571728348984392
h0039,LU,s2018,electricity,dem,0.560049777555821
h0040,LU,s2018,electricity,dem,0.556119832500876
h0041,LU,s2018,electricity,dem,0.569783294039337
h0042,LU,s2018,electricity,dem,0.595423403929447
h0043,LU,s2018,electricity,dem,0.599066261072304
h0044,LU,s2018,electricity,dem,0.574776425907469
h0045,LU,s2018,electricity,dem,0.536630821511865
h0046,LU,s2018,electricity,dem,0.530931645687689
h0047,LU,s2018,electricity,dem,0.530632195138239
h0048,LU,s2018,electricity,dem,0.507137689643733
h0049,LU,s2018,electricity,dem,0.470240492078535
h0050,LU,s2018,electricity,dem,0.450074283287326
h0051,LU,s2018,electricity,dem,0.441322909660953
h0052,LU,s2018,electricity,dem,0.43865532724337
h0053,LU,s2018,electricity,dem,0.448122360210403
h0054,LU,s2018,electricity,dem,0.455322909660952
h0055,LU,s2018,electricity,dem,0.488353129441172
h0056,LU,s2018,electricity,dem,0.529442415155458
h0057,LU,s2018,electricity,dem,0.555453404166447
h0058,LU,s2018,electricity,dem,0.569022085485128
h0059,LU,s2018,electricity,dem,0.58087510746315
h0060,LU,s2018,electricity,dem,0.584255601968645
h0061,LU,s2018,electricity,dem,0.574232250320293
h0062,LU,s2018,electricity,dem,0.561758349221392
h0063,LU,s2018,electricity,dem,0.550079777792821
h0064,LU,s2018,electricity,dem,0.546149832737876
h0065,LU,s2018,electricity,dem,0.559813294276337
h0066,LU,s2018,electricity,dem,0.585453404166447
h0067,LU,s2018,electricity,dem,0.589096261309304
h0068,LU,s2018,electricity,dem,0.564806426144469
h0069,LU,s2018,electricity,dem,0.526660821748865
h0070,LU,s2018,electricity,dem,0.520961645924689
h0071,LU,s2018,electricity,dem,0.520662195375239
h0072,LU,s2018,electricity,dem,0.497167689880733
h0073,LU,s2018,electricity,dem,0.468415684461535
h0074,LU,s2018,electricity,dem,0.448249475670326
h0075,LU,s2018,electricity,dem,0.439498102043953
h0076,LU,s2018,electricity,dem,0.43683051962637
h0077,LU,s2018,electricity,dem,0.446297552593403
h0078,LU,s2018,electricity,dem,0.453498102043952
h0079,LU,s2018,electricity,dem,0.486528321824172
h0080,LU,s2018,electricity,dem,0.527617607538458
h0081,LU,s2018,electricity,dem,0.553628596549447
h0082,LU,s2018,electricity,dem,0.567197277868128
h0083,LU,s2018,electricity,dem,0.57905029984615
h0084,LU,s2018,electricity,dem,0.582430794351645
h0085,LU,s2018,electricity,dem,0.572407442703293
h0086,LU,s2018,electricity,dem,0.559933541604392
h0087,LU,s2018,electricity,dem,0.548254970175821
h0088,LU,s2018,electricity,dem,0.544325025120876
h0089,LU,s2018,electricity,dem,0.557988486659337
h0090,LU,s2018,electricity,dem,0.583628596549447
h0091,LU,s2018,electricity,dem,0.587271453692304
h0092,LU,s2018,electricity,dem,0.562981618527469
h0093,LU,s2018,electricity,dem,0.524836014131865
h0094,LU,s2018,electricity,dem,0.519136838307689
h0095,LU,s2018,electricity,dem,0.518837387758239
h0096,LU,s2018,electricity,dem,0.495342882263733
h0097,LU,s2018,electricity,dem,0.469844701405535
h0098,LU,s2018,electricity,dem,0.449678492614326
h0099,LU,s2018,electricity,dem,0.440927118987953
h0100,LU,s2018,electricity,dem,0.43825953657037
h0101,LU,s2018,electricity,dem,0.447726569537403
h0102,LU,s2018,electricity,dem,0.454927118987952
h0103,LU,s2018,electricity,dem,0.487957338768172
h0104,LU,s2018,electricity,dem,0.529046624482458
h0105,LU,s2018,electricity,dem,0.555057613493447
h0106,LU,s2018,electricity,dem,0.568626294812128
h0107,LU,s2018,electricity,dem,0.58047931679015
h0108,LU,s2018,electricity,dem,0.583859811295645
h0109,LU,s2018,electricity,dem,0.573836459647293
h0110,LU,s2018,electricity,dem,0.561362558548392
h0111,LU,s2018,electricity,dem,0.549683987119821
h0112,LU,s2018,electricity,dem,0.545754042064876
h0113,LU,s2018,electricity,dem,0.559417503603337
h0114,LU,s2018,electricity,dem,0.585057613493447
h0115,LU,s2018,electricity,dem,0.588700470636304
h0116,LU,s2018,electricity,dem,0.564410635471469
h0117,LU,s2018,electricity,dem,0.526265031075865
h0118,LU,s2018,electricity,dem,0.520565855251689
h0119,LU,s2018,electricity,dem,0.520266404702239
h0120,LU,s2018,electricity,dem,0.496771899207733
h0121,LU,s2018,electricity,dem,0.400768416356535
h0122,LU,s2018,electricity,dem,0.380602207565326
h0123,LU,s2018,electricity,dem,0.371850833938953
h0124,LU,s2018,electricity,dem,0.36918325152137
h0125,LU,s2018,electricity,dem,0.378650284488403
h0126,LU,s2018,electricity,dem,0.385850833938952
h0127,LU,s2018,electricity,dem,0.418881053719172
h0128,LU,s2018,electricity,dem,0.459970339433458
h0129,LU,s2018,electricity,dem,0.485981328444447
h0130,LU,s2018,electricity,dem,0.499550009763128
h0131,LU,s2018,electricity,dem,0.51140303174115
h0132,LU,s2018,electricity,dem,0.514783526246645
h0133,LU,s2018,electricity,dem,0.504760174598293
h0134,LU,s2018,electricity,dem,0.492286273499392
h0135,LU,s2018,electricity,dem,0.480607702070821
h0136,LU,s2018,electricity,dem,0.476677757015876
h0137,LU,s2018,electricity,dem,0.490341218554337
h0138,LU,s2018,electricity,dem,0.515981328444447
h0139,LU,s2018,electricity,dem,0.519624185587304
h0140,LU,s2018,electricity,dem,0.495334350422469
h0141,LU,s2018,electricity,dem,0.457188746026865
h0142,LU,s2018,electricity,dem,0.451489570202689
h0143,LU,s2018,electricity,dem,0.451190119653239
h0144,LU,s2018,electricity,dem,0.427695614158733
h0145,LU,s2018,electricity,dem,0.372244314981535
h0146,LU,s2018,electricity,dem,0.352078106190326
h0147,LU,s2018,electricity,dem,0.343326732563953
h0148,LU,s2018,electricity,dem,0.34065915014637
h0149,LU,s2018,electricity,dem,0.350126183113403
h0150,LU,s2018,electricity,dem,0.357326732563952
h0151,LU,s2018,electricity,dem,0.390356952344172
h0152,LU,s2018,electricity,dem,0.431446238058458
h0153,LU,s2018,electricity,dem,0.457457227069447
h0154,LU,s2018,electricity,dem,0.471025908388128
h0155,LU,s2018,electricity,dem,0.48287893036615
h0156,LU,s2018,electricity,dem,0.486259424871645
h0157,LU,s2018,electricity,dem,0.476236073223293
h0158,LU,s2018,electricity,dem,0.463762172124392
h0159,LU,s2018,electricity,dem,0.452083600695821
h0160,LU,s2018,electricity,dem,0.448153655640876
h0161,LU,s2018,electricity,dem,0.461817117179337
h0162,LU,s2018,electricity,dem,0.487457227069447
h0163,LU,s2018,electricity,dem,0.491100084212304
h0164,LU,s2018,electricity,dem,0.466810249047469
h0165,LU,s2018,electricity,dem,0.428664644651865
h0166,LU,s2018,electricity,dem,0.422965468827689
h0167,LU,s2018,electricity,dem,0.422666018278238
h0168,LU,s2018,electricity,dem,0.399171512783733
h0169,LU,s2018,electricity,dem,0.461950796164535
h0170,LU,s2018,electricity,dem,0.441784587373326
h0171,LU,s2018,electricity,dem,0.433033213746953
h0172,LU,s2018,electricity,dem,0.43036563132937
h0173,LU,s2018,electricity,dem,0.439832664296403
