timestep_3,timestep_5,region_4,carrier_1,parameter,value
d001,h0001,01ES,frtRoadLight,mustOut,0.48281444
d001,h0002,01ES,frtRoadLight,mustOut,0.484989957
d001,h0003,01ES,frtRoadLight,mustOut,0.544048523
d001,h0004,01ES,frtRoadLight,mustOut,0.638230518
d001,h0005,01ES,frtRoadLight,mustOut,0.740448003
d001,h0006,01ES,frtRoadLight,mustOut,0.775615198
d001,h0007,01ES,frtRoadLight,mustOut,0.783966569
d001,h0008,01ES,frtRoadLight,mustOut,0.762330967
d001,h0009,01ES,frtRoadLight,mustOut,0.707522981
d001,h0010,01ES,frtRoadLight,mustOut,0.640498851
d001,h0011,01ES,frtRoadLight,mustOut,0.621929829
d001,h0012,01ES,frtRoadLight,mustOut,0.602724309
d001,h0013,01ES,frtRoadLight,mustOut,0.589629555
d001,h0014,01ES,frtRoadLight,mustOut,0.526125111
d001,h0015,01ES,frtRoadLight,mustOut,0.498187781
d001,h0016,01ES,frtRoadLight,mustOut,0.379359486
d001,h0017,01ES,frtRoadLight,mustOut,0.235881494
d001,h0018,01ES,frtRoadLight,mustOut,0.115461366
d001,h0019,01ES,frtRoadLight,mustOut,0.219583899
d001,h0020,01ES,frtRoadLight,mustOut,0.350655974
d001,h0021,01ES,frtRoadLight,mustOut,0.477788696
d001,h0022,01ES,frtRoadLight,mustOut,0.56542536
d001,h0023,01ES,frtRoadLight,mustOut,0.624870587
d001,h0024,01ES,frtRoadLight,mustOut,0.623023482
d002,h0025,01ES,frtRoadLight,mustOut,0.643943843
d002,h0026,01ES,frtRoadLight,mustOut,0.689580472
d002,h0027,01ES,frtRoadLight,mustOut,0.747599285
d002,h0028,01ES,frtRoadLight,mustOut,0.770006915
d002,h0029,01ES,frtRoadLight,mustOut,0.750848128
d002,h0030,01ES,frtRoadLight,mustOut,0.70870318
d002,h0031,01ES,frtRoadLight,mustOut,0.683885837
d002,h0032,01ES,frtRoadLight,mustOut,0.706719776
d002,h0033,01ES,frtRoadLight,mustOut,0.693775663
d002,h0034,01ES,frtRoadLight,mustOut,0.667251852
d002,h0035,01ES,frtRoadLight,mustOut,0.609233374
d002,h0036,01ES,frtRoadLight,mustOut,0.612357931
d002,h0037,01ES,frtRoadLight,mustOut,0.609099558
d002,h0038,01ES,frtRoadLight,mustOut,0.582847987
d002,h0039,01ES,frtRoadLight,mustOut,0.536041947
d002,h0040,01ES,frtRoadLight,mustOut,0.480414392
d002,h0041,01ES,frtRoadLight,mustOut,0.42145861
d002,h0042,01ES,frtRoadLight,mustOut,0.373521064
d002,h0043,01ES,frtRoadLight,mustOut,0.348341273
d002,h0044,01ES,frtRoadLight,mustOut,0.361789686
d002,h0045,01ES,frtRoadLight,mustOut,0.395593369
d002,h0046,01ES,frtRoadLight,mustOut,0.520435225
d002,h0047,01ES,frtRoadLight,mustOut,0.621715715
d002,h0048,01ES,frtRoadLight,mustOut,0.694349921
d003,h0049,01ES,frtRoadLight,mustOut,0.643805968
d003,h0050,01ES,frtRoadLight,mustOut,0.603185288
d003,h0051,01ES,frtRoadLight,mustOut,0.545948852
d003,h0052,01ES,frtRoadLight,mustOut,0.530683866
d003,h0053,01ES,frtRoadLight,mustOut,0.495705671
d003,h0054,01ES,frtRoadLight,mustOut,0.516862377
d003,h0055,01ES,frtRoadLight,mustOut,0.55904069
d003,h0056,01ES,frtRoadLight,mustOut,0.668383488
d003,h0057,01ES,frtRoadLight,mustOut,0.726454223
d003,h0058,01ES,frtRoadLight,mustOut,0.78160127
d003,h0059,01ES,frtRoadLight,mustOut,0.76160179
d003,h0060,01ES,frtRoadLight,mustOut,0.750778574
d003,h0061,01ES,frtRoadLight,mustOut,0.698088608
d003,h0062,01ES,frtRoadLight,mustOut,0.63927654
d003,h0063,01ES,frtRoadLight,mustOut,0.536456497
d003,h0064,01ES,frtRoadLight,mustOut,0.444256146
d003,h0065,01ES,frtRoadLight,mustOut,0.330503697
d003,h0066,01ES,frtRoadLight,mustOut,0.311020835
d003,h0067,01ES,frtRoadLight,mustOut,0.313098296
d003,h0068,01ES,frtRoadLight,mustOut,0.375921787
d003,h0069,01ES,frtRoadLight,mustOut,0.45533216
d003,h0070,01ES,frtRoadLight,mustOut,0.479683969
d003,h0071,01ES,frtRoadLight,mustOut,0.506127793
d003,h0072,01ES,frtRoadLight,mustOut,0.403019584
d004,h0073,01ES,frtRoadLight,mustOut,0.409792211
d004,h0074,01ES,frtRoadLight,mustOut,0.403616529
d004,h0075,01ES,frtRoadLight,mustOut,0.506266605
d004,h0076,01ES,frtRoadLight,mustOut,0.531634747
d004,h0077,01ES,frtRoadLight,mustOut,0.557768324
d004,h0078,01ES,frtRoadLight,mustOut,0.535455822
d004,h0079,01ES,frtRoadLight,mustOut,0.522912167
d004,h0080,01ES,frtRoadLight,mustOut,0.489946461
d004,h0081,01ES,frtRoadLight,mustOut,0.473934009
d004,h0082,01ES,frtRoadLight,mustOut,0.485453267
d004,h0083,01ES,frtRoadLight,mustOut,0.473113189
d004,h0084,01ES,frtRoadLight,mustOut,0.396229257
d004,h0085,01ES,frtRoadLight,mustOut,0.408767093
d004,h0086,01ES,frtRoadLight,mustOut,0.466272672
d004,h0087,01ES,frtRoadLight,mustOut,0.592055462
d004,h0088,01ES,frtRoadLight,mustOut,0.616954755
d004,h0089,01ES,frtRoadLight,mustOut,0.622491148
d004,h0090,01ES,frtRoadLight,mustOut,0.606947392
d004,h0091,01ES,frtRoadLight,mustOut,0.567512919
d004,h0092,01ES,frtRoadLight,mustOut,0.502353366
d004,h0093,01ES,frtRoadLight,mustOut,0.481686879
d004,h0094,01ES,frtRoadLight,mustOut,0.402530647
d004,h0095,01ES,frtRoadLight,mustOut,0.309605069
d004,h0096,01ES,frtRoadLight,mustOut,0.131282733
d001,h0001,02ES,frtRoadLight,mustOut,0.48281444
d001,h0002,02ES,frtRoadLight,mustOut,0.484989957
d001,h0003,02ES,frtRoadLight,mustOut,0.544048523
d001,h0004,02ES,frtRoadLight,mustOut,0.638230518
d001,h0005,02ES,frtRoadLight,mustOut,0.740448003
d001,h0006,02ES,frtRoadLight,mustOut,0.775615198
d001,h0007,02ES,frtRoadLight,mustOut,0.783966569
d001,h0008,02ES,frtRoadLight,mustOut,0.762330967
d001,h0009,02ES,frtRoadLight,mustOut,0.707522981
d001,h0010,02ES,frtRoadLight,mustOut,0.640498851
d001,h0011,02ES,frtRoadLight,mustOut,0.621929829
d001,h0012,02ES,frtRoadLight,mustOut,0.602724309
d001,h0013,02ES,frtRoadLight,mustOut,0.589629555
d001,h0014,02ES,frtRoadLight,mustOut,0.526125111
d001,h0015,02ES,frtRoadLight,mustOut,0.498187781
d001,h0016,02ES,frtRoadLight,mustOut,0.379359486
d001,h0017,02ES,frtRoadLight,mustOut,0.235881494
d001,h0018,02ES,frtRoadLight,mustOut,0.115461366
d001,h0019,02ES,frtRoadLight,mustOut,0.219583899
d001,h0020,02ES,frtRoadLight,mustOut,0.350655974
d001,h0021,02ES,frtRoadLight,mustOut,0.477788696
d001,h0022,02ES,frtRoadLight,mustOut,0.56542536
d001,h0023,02ES,frtRoadLight,mustOut,0.624870587
d001,h0024,02ES,frtRoadLight,mustOut,0.623023482
d002,h0025,02ES,frtRoadLight,mustOut,0.643943843
d002,h0026,02ES,frtRoadLight,mustOut,0.689580472
d002,h0027,02ES,frtRoadLight,mustOut,0.747599285
d002,h0028,02ES,frtRoadLight,mustOut,0.770006915
d002,h0029,02ES,frtRoadLight,mustOut,0.750848128
d002,h0030,02ES,frtRoadLight,mustOut,0.70870318
d002,h0031,02ES,frtRoadLight,mustOut,0.683885837
d002,h0032,02ES,frtRoadLight,mustOut,0.706719776
d002,h0033,02ES,frtRoadLight,mustOut,0.693775663
d002,h0034,02ES,frtRoadLight,mustOut,0.667251852
d002,h0035,02ES,frtRoadLight,mustOut,0.609233374
d002,h0036,02ES,frtRoadLight,mustOut,0.612357931
d002,h0037,02ES,frtRoadLight,mustOut,0.609099558
d002,h0038,02ES,frtRoadLight,mustOut,0.582847987
d002,h0039,02ES,frtRoadLight,mustOut,0.536041947
d002,h0040,02ES,frtRoadLight,mustOut,0.480414392
d002,h0041,02ES,frtRoadLight,mustOut,0.42145861
d002,h0042,02ES,frtRoadLight,mustOut,0.373521064
d002,h0043,02ES,frtRoadLight,mustOut,0.348341273
d002,h0044,02ES,frtRoadLight,mustOut,0.361789686
d002,h0045,02ES,frtRoadLight,mustOut,0.395593369
d002,h0046,02ES,frtRoadLight,mustOut,0.520435225
d002,h0047,02ES,frtRoadLight,mustOut,0.621715715
d002,h0048,02ES,frtRoadLight,mustOut,0.694349921
d003,h0049,02ES,frtRoadLight,mustOut,0.643805968
d003,h0050,02ES,frtRoadLight,mustOut,0.603185288
d003,h0051,02ES,frtRoadLight,mustOut,0.545948852
d003,h0052,02ES,frtRoadLight,mustOut,0.530683866
d003,h0053,02ES,frtRoadLight,mustOut,0.495705671
d003,h0054,02ES,frtRoadLight,mustOut,0.516862377
d003,h0055,02ES,frtRoadLight,mustOut,0.55904069
d003,h0056,02ES,frtRoadLight,mustOut,0.668383488
d003,h0057,02ES,frtRoadLight,mustOut,0.726454223
d003,h0058,02ES,frtRoadLight,mustOut,0.78160127
d003,h0059,02ES,frtRoadLight,mustOut,0.76160179
d003,h0060,02ES,frtRoadLight,mustOut,0.750778574
d003,h0061,02ES,frtRoadLight,mustOut,0.698088608
d003,h0062,02ES,frtRoadLight,mustOut,0.63927654
d003,h0063,02ES,frtRoadLight,mustOut,0.536456497
d003,h0064,02ES,frtRoadLight,mustOut,0.444256146
d003,h0065,02ES,frtRoadLight,mustOut,0.330503697
d003,h0066,02ES,frtRoadLight,mustOut,0.311020835
d003,h0067,02ES,frtRoadLight,mustOut,0.313098296
d003,h0068,02ES,frtRoadLight,mustOut,0.375921787
d003,h0069,02ES,frtRoadLight,mustOut,0.45533216
d003,h0070,02ES,frtRoadLight,mustOut,0.479683969
d003,h0071,02ES,frtRoadLight,mustOut,0.506127793
d003,h0072,02ES,frtRoadLight,mustOut,0.403019584
d004,h0073,02ES,frtRoadLight,mustOut,0.409792211
d004,h0074,02ES,frtRoadLight,mustOut,0.403616529
d004,h0075,02ES,frtRoadLight,mustOut,0.506266605
d004,h0076,02ES,frtRoadLight,mustOut,0.531634747
d004,h0077,02ES,frtRoadLight,mustOut,0.557768324
d004,h0078,02ES,frtRoadLight,mustOut,0.535455822
d004,h0079,02ES,frtRoadLight,mustOut,0.522912167
d004,h0080,02ES,frtRoadLight,mustOut,0.489946461
d004,h0081,02ES,frtRoadLight,mustOut,0.473934009
d004,h0082,02ES,frtRoadLight,mustOut,0.485453267
d004,h0083,02ES,frtRoadLight,mustOut,0.473113189
d004,h0084,02ES,frtRoadLight,mustOut,0.396229257
d004,h0085,02ES,frtRoadLight,mustOut,0.408767093
d004,h0086,02ES,frtRoadLight,mustOut,0.466272672
d004,h0087,02ES,frtRoadLight,mustOut,0.592055462
d004,h0088,02ES,frtRoadLight,mustOut,0.616954755
d004,h0089,02ES,frtRoadLight,mustOut,0.622491148
d004,h0090,02ES,frtRoadLight,mustOut,0.606947392
d004,h0091,02ES,frtRoadLight,mustOut,0.567512919
d004,h0092,02ES,frtRoadLight,mustOut,0.502353366
d004,h0093,02ES,frtRoadLight,mustOut,0.481686879
d004,h0094,02ES,frtRoadLight,mustOut,0.402530647
d004,h0095,02ES,frtRoadLight,mustOut,0.309605069
d004,h0096,02ES,frtRoadLight,mustOut,0.131282733
d001,h0001,03ES,frtRoadLight,mustOut,0.48281444
d001,h0002,03ES,frtRoadLight,mustOut,0.484989957
d001,h0003,03ES,frtRoadLight,mustOut,0.544048523
d001,h0004,03ES,frtRoadLight,mustOut,0.638230518
d001,h0005,03ES,frtRoadLight,mustOut,0.740448003
d001,h0006,03ES,frtRoadLight,mustOut,0.775615198
d001,h0007,03ES,frtRoadLight,mustOut,0.783966569
d001,h0008,03ES,frtRoadLight,mustOut,0.762330967
d001,h0009,03ES,frtRoadLight,mustOut,0.707522981
d001,h0010,03ES,frtRoadLight,mustOut,0.640498851
d001,h0011,03ES,frtRoadLight,mustOut,0.621929829
d001,h0012,03ES,frtRoadLight,mustOut,0.602724309
d001,h0013,03ES,frtRoadLight,mustOut,0.589629555
d001,h0014,03ES,frtRoadLight,mustOut,0.526125111
d001,h0015,03ES,frtRoadLight,mustOut,0.498187781
d001,h0016,03ES,frtRoadLight,mustOut,0.379359486
d001,h0017,03ES,frtRoadLight,mustOut,0.235881494
