timestep_1,timestep_2,timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,30th,2040,EU,AT,at,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,BE,be,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,BG,bg,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,CZ,cz,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,DE,de,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,DK,dk_e,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,DK,dk_w,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,EE,ee,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,ES,es,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,FI,fi,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,FR,fr,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,FR,fr_co,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,GR,gr,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,HR,hr,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,HU,hu,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IE,ie,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IT,it_cn,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IT,it_cs,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IT,it_n,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IT,it_s,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IT,it_sar,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,IT,it_sic,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,LT,lt,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,LU,lu,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,LV,lv,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,NL,nl,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,PL,pl,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,PT,pt,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,RO,ro,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,SE,se_1,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,SE,se_2,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,SE,se_3,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,SE,se_4,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,SI,si,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,EU,SK,sk,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,AL,al,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,BA,ba,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,CH,ch,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,ME,me,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,MK,mk,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,NO,no_m,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,NO,no_n,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,NO,no_s,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,RS,rs,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,UK,ni,battery,,redoxBattery,1,capaStInFix,0.0
30th,2040,30th,2040,nonEU,UK,uk,battery,,redoxBattery,1,capaStInFix,0.0
