timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,,EU,AT,at,49AT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,AT,at,50AT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,AT,at,51AT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,BE,be,28BE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,BG,bg,66BG,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,CZ,cz,39CZ,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,CZ,cz,40CZ,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,31DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,32DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,33DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,34DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,35DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,36DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,37DE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DK,dk_e,72DK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,DK,dk_w,38DK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,EE,ee,73EE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,01ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,02ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,03ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,04ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,05ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,06ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,07ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,08ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,09ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,10ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,11ES,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FI,fi,74FI,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FI,fi,75FI,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,14FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
