timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,BE,be,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,BG,bg,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,CZ,cz,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,DE,de,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,DK,dk_e,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,DK,dk_w,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,EE,ee,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,ES,es,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,FI,fi,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,FR,fr,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,FR,fr_co,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,GR,gr,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,HR,hr,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,HU,hu,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IE,ie,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IT,it_cn,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IT,it_cs,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IT,it_n,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IT,it_s,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IT,it_sar,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,IT,it_sic,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,LT,lt,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,LU,lu,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,LV,lv,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,NL,nl,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,PL,pl,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,PT,pt,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,RO,ro,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,SE,se_1,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,SE,se_2,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,SE,se_3,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,SE,se_4,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,SI,si,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,EU,SK,sk,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,AL,al,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,BA,ba,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,CH,ch,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,ME,me,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,MK,mk,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,NO,no_m,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,NO,no_n,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,NO,no_s,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,RS,rs,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,UK,ni,transport,,dieselFrtRoadLight,expConvFix,0.0
30th,2040,nonEU,UK,uk,transport,,dieselFrtRoadLight,expConvFix,0.0
