timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,32DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,35DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,36DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
30th,2040,,EU,ES,es,11ES,ocgt,,ocgtH2Chp,capaConvFix,0.0
