timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,49AT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,AT,at,50AT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,AT,at,51AT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,BE,be,28BE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,BG,bg,66BG,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,CZ,cz,39CZ,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,CZ,cz,40CZ,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,31DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,32DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,33DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,34DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,35DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,36DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DE,de,37DE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DK,dk_e,72DK,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,DK,dk_w,38DK,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,EE,ee,73EE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,01ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,02ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,03ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,04ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,05ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,06ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,07ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,08ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,09ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,10ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,ES,es,11ES,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FI,fi,74FI,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FI,fi,75FI,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,14FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,16FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,17FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,18FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,19FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,20FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,21FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,22FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,23FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,24FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,25FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,26FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr,27FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,HR,hr,62HR,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,HU,hu,58HU,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IE,ie,96IE,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IT,it_cn,53IT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IT,it_cs,54IT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IT,it_n,52IT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IT,it_s,55IT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IT,it_sar,98IT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,IT,it_sic,56IT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,LT,lt,77LT,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,LU,lu,29LU,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,LV,lv,78LV,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,NL,nl,30NL,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,PL,pl,41PL,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,PL,pl,42PL,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,PL,pl,43PL,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,PL,pl,44PL,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,PL,pl,45PL,networkHeat,,h2BoilerDh,expConvFix,0.0
30th,2040,EU,PT,pt,12PT,networkHeat,,h2BoilerDh,expConvFix,0.0
