timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,BE,be,28BE,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,DK,dk_w,38DK,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,01ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,02ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,03ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,04ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,05ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,06ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,07ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,08ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,09ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,10ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,ES,es,11ES,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,14FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,16FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,17FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,18FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,19FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,20FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,21FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,22FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,23FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,24FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,25FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,26FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,27FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,IE,ie,96IE,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,IT,it_cn,53IT,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,IT,it_cs,54IT,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,LT,lt,77LT,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,LU,lu,29LU,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,NL,nl,30NL,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,PT,pt,12PT,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,EU,PT,pt,13PT,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,AL,al,70AL,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,BA,ba,63BA,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,ME,me,64ME,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_m,83NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_n,84NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_n,85NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,79NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,80NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,81NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,82NO,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,UK,ni,95UK,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,90UK,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,91UK,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,92UK,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,93UK,bioConversion,,hydropyrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,94UK,bioConversion,,hydropyrolysis,expConvFix,0.0
