timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,id_1,parameter,value
30th,EU,AT,at,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,BE,be,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,BG,bg,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,CZ,cz,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,DE,de,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,DK,dk_e,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,DK,dk_w,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,EE,ee,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,ES,es,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,FI,fi,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,FR,fr,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,FR,fr_co,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,GR,gr,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,HR,hr,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,HU,hu,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IE,ie,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IT,it_cn,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IT,it_cs,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IT,it_n,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IT,it_s,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IT,it_sar,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,IT,it_sic,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,LT,lt,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,LU,lu,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,LV,lv,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,NL,nl,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,PL,pl,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,PT,pt,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,RO,ro,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,SE,se_1,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,SE,se_2,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,SE,se_3,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,SE,se_4,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,SI,si,battery,,redoxBattery,1,expStSizeFix,0.0
30th,EU,SK,sk,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,AL,al,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,BA,ba,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,CH,ch,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,ME,me,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,MK,mk,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,NO,no_m,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,NO,no_n,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,NO,no_s,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,RS,rs,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,UK,ni,battery,,redoxBattery,1,expStSizeFix,0.0
30th,nonEU,UK,uk,battery,,redoxBattery,1,expStSizeFix,0.0
