timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,BE,be,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,BG,bg,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,CZ,cz,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,DE,de,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,DK,dk_e,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,DK,dk_w,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,EE,ee,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,ES,es,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,FI,fi,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,FR,fr,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,FR,fr_co,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,GR,gr,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,HR,hr,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,HU,hu,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IE,ie,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IT,it_cn,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IT,it_cs,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IT,it_n,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IT,it_s,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IT,it_sar,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,IT,it_sic,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,LT,lt,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,LU,lu,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,LV,lv,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,NL,nl,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,PL,pl,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,PT,pt,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,RO,ro,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,SE,se_1,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,SE,se_2,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,SE,se_3,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,SE,se_4,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,SI,si,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,EU,SK,sk,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,AL,al,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,BA,ba,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,CH,ch,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,ME,me,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,MK,mk,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,NO,no_m,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,NO,no_n,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,NO,no_s,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,RS,rs,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,UK,ni,engine,enginePeak,dieselEngine,expConvFix,0.0
30th,nonEU,UK,uk,engine,enginePeak,dieselEngine,expConvFix,0.0
