timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,LT,lt,77LT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,LU,lu,29LU,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0874
30th,2040,,EU,LV,lv,78LV,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,NL,nl,30NL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.158
30th,2040,,EU,PL,pl,41PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,PL,pl,42PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,PL,pl,43PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0516
30th,2040,,EU,PL,pl,44PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,PL,pl,45PL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,PT,pt,12PT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.056
30th,2040,,EU,PT,pt,13PT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,RO,ro,59RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,RO,ro,60RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,RO,ro,61RO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,SE,se_1,86SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,SE,se_2,87SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,SE,se_3,88SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,SE,se_4,89SE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,SI,si,57SI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,SK,sk,46SK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,AL,al,70AL,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,63BA,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,47CH,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,48CH,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
