timestep_1,timestep_2,timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,30th,2040,EU,AT,at,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,BE,be,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,BG,bg,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,CZ,cz,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,DE,de,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,DK,dk_e,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,DK,dk_w,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,EE,ee,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,ES,es,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,FI,fi,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,FR,fr,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,FR,fr_co,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,GR,gr,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,HR,hr,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,HU,hu,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IE,ie,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IT,it_cn,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IT,it_cs,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IT,it_n,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IT,it_s,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IT,it_sar,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,IT,it_sic,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,LT,lt,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,LU,lu,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,LV,lv,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,NL,nl,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,PL,pl,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,PT,pt,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,RO,ro,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,SE,se_1,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,SE,se_2,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,SE,se_3,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,SE,se_4,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,SI,si,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,EU,SK,sk,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,AL,al,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,BA,ba,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,CH,ch,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,ME,me,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,MK,mk,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,NO,no_m,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,NO,no_n,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,NO,no_s,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,RS,rs,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,UK,ni,battery,,lithiumBattery,1,capaStSizeFix,0.0
30th,2040,30th,2040,nonEU,UK,uk,battery,,lithiumBattery,1,capaStSizeFix,0.0
