timestep_1,region_1,region_2,region_3,region_1,region_2,region_3,exchange_1,exchange_2,id_1,parameter,value
30th,EU,DE,de,nonEU,UK,uk,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,DE,de,nonEU,UK,uk,powerGrid,hvdc,2,expExcFix,0.0
30th,EU,DE,de,nonEU,UK,uk,powerGrid,hvdc,3,expExcFix,0.0
30th,EU,DK,dk_e,EU,PL,pl,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,DK,dk_e,EU,PL,pl,powerGrid,hvdc,2,expExcFix,0.0
30th,EU,DK,dk_e,EU,PL,pl,powerGrid,hvdc,3,expExcFix,0.0
30th,EU,DK,dk_e,EU,PL,pl,powerGrid,hvdc,4,expExcFix,0.0
30th,EU,DK,dk_e,EU,PL,pl,powerGrid,hvdc,5,expExcFix,0.0
30th,EU,DK,dk_w,EU,NL,nl,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,DK,dk_w,EU,NL,nl,powerGrid,hvdc,2,expExcFix,0.0
30th,EU,DK,dk_w,nonEU,UK,uk,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,DK,dk_w,nonEU,UK,uk,powerGrid,hvdc,2,expExcFix,0.0
30th,EU,DK,dk_w,nonEU,UK,uk,powerGrid,hvdc,3,expExcFix,0.0
30th,EU,FI,fi,EU,SE,se_2,powerGrid,hvdc,1,expExcFix,0.8
30th,EU,FI,fi,EU,SE,se_3,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,FI,fi,EU,SE,se_3,powerGrid,hvdc,2,expExcFix,0.0
30th,EU,IT,it_cs,EU,IT,it_sic,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,IT,it_sar,EU,IT,it_sic,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,LT,lt,EU,SE,se_4,powerGrid,hvdc,1,expExcFix,0.0
30th,EU,LT,lt,EU,SE,se_4,powerGrid,hvdc,2,expExcFix,0.0
30th,EU,LT,lt,EU,SE,se_4,powerGrid,hvdc,3,expExcFix,0.0
30th,EU,LT,lt,EU,SE,se_4,powerGrid,hvdc,4,expExcFix,0.0
