timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,BE,be,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,BG,bg,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,CZ,cz,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,DE,de,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,DK,dk_e,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,DK,dk_w,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,EE,ee,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,ES,es,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,FR,fr,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,FR,fr_co,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,GR,gr,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,HR,hr,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,HU,hu,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IE,ie,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IT,it_cn,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IT,it_cs,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IT,it_n,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IT,it_s,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IT,it_sar,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,IT,it_sic,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,LT,lt,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,LU,lu,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,LV,lv,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,NL,nl,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,PL,pl,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,PT,pt,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,RO,ro,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,SE,se_1,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,SE,se_2,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,SE,se_3,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,SE,se_4,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,SI,si,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,EU,SK,sk,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,AL,al,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,BA,ba,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,CH,ch,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,ME,me,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,MK,mk,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,NO,no_m,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,NO,no_n,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,NO,no_s,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,RS,rs,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,UK,ni,transport,,ottoPsngRoadPrvt,expConvFix,0.0
30th,2040,nonEU,UK,uk,transport,,ottoPsngRoadPrvt,expConvFix,0.0
