timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,BE,be,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,BG,bg,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,CZ,cz,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,DE,de,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,EE,ee,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,ES,es,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,FR,fr,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,GR,gr,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,HR,hr,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,HU,hu,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IE,ie,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IT,it_n,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IT,it_s,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,LT,lt,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,LU,lu,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,LV,lv,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,NL,nl,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,PL,pl,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,PT,pt,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,RO,ro,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,SE,se_1,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,SE,se_2,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,SE,se_3,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,SE,se_4,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,SI,si,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,EU,SK,sk,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,AL,al,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,ME,me,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,transport,,ottoPsngRoadPrvt,capaConvFix,0.0
