timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,32DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,35DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,36DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,ES,es,11ES,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FI,fi,74FI,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,14FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,15FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,16FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,17FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,18FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,19FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,20FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,21FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,22FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,23FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,24FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,25FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,26FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,27FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,99FR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,GR,gr,68GR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,GR,gr,69GR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,HR,hr,62HR,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,HU,hu,58HU,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IE,ie,96IE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,53IT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,54IT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IT,it_n,52IT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IT,it_s,55IT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,98IT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,56IT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,LT,lt,77LT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,LU,lu,29LU,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,LV,lv,78LV,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,NL,nl,30NL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,41PL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,42PL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,43PL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,44PL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,45PL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PT,pt,12PT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,PT,pt,13PT,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,RO,ro,59RO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,RO,ro,60RO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,RO,ro,61RO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,SE,se_1,86SE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,SE,se_2,87SE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,SE,se_3,88SE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,SE,se_4,89SE,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,SI,si,57SI,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,EU,SK,sk,46SK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,AL,al,70AL,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,63BA,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,47CH,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,48CH,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,ME,me,64ME,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,67MK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,83NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,84NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,85NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,79NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,80NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,81NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,82NO,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,65RS,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,95UK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,90UK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,91UK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,92UK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,93UK,solar,rooftopResi_a,solarThermalResi_a,capaConvFix,0.0
