timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,BE,be,28BE,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,01ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,02ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,03ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,04ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,05ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,06ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,07ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,08ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,ES,es,11ES,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FI,fi,74FI,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FI,fi,75FI,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FR,fr,22FR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FR,fr,23FR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FR,fr,24FR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FR,fr,25FR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FR,fr,26FR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,FR,fr,27FR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,GR,gr,68GR,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,IT,it_sar,98IT,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,IT,it_sic,56IT,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,NL,nl,30NL,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,PL,pl,41PL,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,PL,pl,44PL,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,PL,pl,45PL,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,PT,pt,12PT,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,PT,pt,13PT,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,RO,ro,59RO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,RO,ro,61RO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,SE,se_1,86SE,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,SE,se_2,87SE,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,SE,se_3,88SE,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,EU,SE,se_4,89SE,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,AL,al,70AL,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,BA,ba,63BA,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,MK,mk,67MK,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,NO,no_s,81NO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,UK,ni,95UK,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,UK,uk,93UK,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
30th,nonEU,UK,uk,94UK,solar,openspace_c,pvOpenspace_c,expConvFix,0.0
