timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,BE,be,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,BG,bg,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,CZ,cz,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,DE,de,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,EE,ee,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,ES,es,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,FI,fi,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,FR,fr,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,GR,gr,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,HR,hr,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,HU,hu,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IE,ie,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IT,it_n,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IT,it_s,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,LT,lt,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,LU,lu,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,LV,lv,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,NL,nl,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,PL,pl,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,PT,pt,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,RO,ro,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,SE,se_1,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,SE,se_2,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,SE,se_3,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,SE,se_4,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,SI,si,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,EU,SK,sk,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,AL,al,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,ME,me,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,transport,,dieselPsngRail,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,transport,,dieselPsngRail,capaConvFix,0.0
