timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,EU,FR,fr,20FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,21FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,22FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,23FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,24FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,25FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,26FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,27FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr_co,99FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,GR,gr,68GR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,GR,gr,69GR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,HR,hr,62HR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,HU,hu,58HU,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IE,ie,96IE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IT,it_cn,53IT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IT,it_cs,54IT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IT,it_n,52IT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IT,it_s,55IT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IT,it_sar,98IT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,IT,it_sic,56IT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,LT,lt,77LT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,LU,lu,29LU,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,LV,lv,78LV,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,NL,nl,30NL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PL,pl,41PL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PL,pl,42PL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PL,pl,43PL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PL,pl,44PL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PL,pl,45PL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PT,pt,12PT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,PT,pt,13PT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,RO,ro,59RO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,RO,ro,60RO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,RO,ro,61RO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,SE,se_1,86SE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,SE,se_2,87SE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,SE,se_3,88SE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,SE,se_4,89SE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,SI,si,57SI,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,SK,sk,46SK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,AL,al,70AL,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,BA,ba,63BA,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,CH,ch,47CH,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,CH,ch,48CH,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,ME,me,64ME,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,MK,mk,67MK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_m,83NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_n,84NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_n,85NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_s,79NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_s,80NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_s,81NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,NO,no_s,82NO,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,RS,rs,65RS,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,UK,ni,95UK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,UK,uk,90UK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,UK,uk,91UK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,UK,uk,92UK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,UK,uk,93UK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,nonEU,UK,uk,94UK,networkHeat,,largeWaterTank,1,expStInFix,0.0
