timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,EU,AT,at,49AT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,AT,at,50AT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,AT,at,51AT,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,BE,be,28BE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,BG,bg,66BG,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,CZ,cz,39CZ,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,CZ,cz,40CZ,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,31DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,32DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,33DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,34DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,35DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,36DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DE,de,37DE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DK,dk_e,72DK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,DK,dk_w,38DK,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,EE,ee,73EE,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,01ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,02ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,03ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,04ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,05ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,06ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,07ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,08ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,09ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,10ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,ES,es,11ES,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FI,fi,74FI,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FI,fi,75FI,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,14FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,15FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,16FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,17FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,18FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
30th,2040,EU,FR,fr,19FR,networkHeat,,largeWaterTank,1,expStInFix,0.0
