timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,BE,be,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,BG,bg,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,CZ,cz,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,DE,de,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,DK,dk_e,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,DK,dk_w,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,EE,ee,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,ES,es,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,FI,fi,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,FR,fr,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,FR,fr_co,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,GR,gr,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,HR,hr,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,HU,hu,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IE,ie,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IT,it_cn,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IT,it_cs,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IT,it_n,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IT,it_s,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IT,it_sar,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,IT,it_sic,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,LT,lt,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,LU,lu,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,LV,lv,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,NL,nl,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,PL,pl,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,PT,pt,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,RO,ro,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,SE,se_1,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,SE,se_2,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,SE,se_3,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,SE,se_4,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,SI,si,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,EU,SK,sk,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,AL,al,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,BA,ba,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,CH,ch,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,ME,me,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,MK,mk,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,NO,no_m,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,NO,no_n,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,NO,no_s,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,RS,rs,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,UK,ni,transport,,dieselPsngRail,expConvFix,0.0
30th,2040,nonEU,UK,uk,transport,,dieselPsngRail,expConvFix,0.0
