timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,bev,bevPsngRoadPrvt,capaConvFix,20.059765431203
30th,2040,,EU,BE,be,transport,bev,bevPsngRoadPrvt,capaConvFix,28.193197052476
30th,2040,,EU,BG,bg,transport,bev,bevPsngRoadPrvt,capaConvFix,13.391885079157
30th,2040,,EU,CZ,cz,transport,bev,bevPsngRoadPrvt,capaConvFix,18.306778392687
30th,2040,,EU,DE,de,transport,bev,bevPsngRoadPrvt,capaConvFix,227.592779277744
30th,2040,,EU,DK,dk_e,transport,bev,bevPsngRoadPrvt,capaConvFix,7.968961819455
30th,2040,,EU,DK,dk_w,transport,bev,bevPsngRoadPrvt,capaConvFix,8.092097006151
30th,2040,,EU,EE,ee,transport,bev,bevPsngRoadPrvt,capaConvFix,2.712020053281
30th,2040,,EU,ES,es,transport,bev,bevPsngRoadPrvt,capaConvFix,88.800753351338
30th,2040,,EU,FR,fr,transport,bev,bevPsngRoadPrvt,capaConvFix,183.164566040172
30th,2040,,EU,FR,fr_co,transport,bev,bevPsngRoadPrvt,capaConvFix,1.274615581198
30th,2040,,EU,GR,gr,transport,bev,bevPsngRoadPrvt,capaConvFix,25.374715546437
30th,2040,,EU,HR,hr,transport,bev,bevPsngRoadPrvt,capaConvFix,6.134535210371
30th,2040,,EU,HU,hu,transport,bev,bevPsngRoadPrvt,capaConvFix,13.190920331947
30th,2040,,EU,IE,ie,transport,bev,bevPsngRoadPrvt,capaConvFix,6.814322666155
30th,2040,,EU,IT,it_cn,transport,bev,bevPsngRoadPrvt,capaConvFix,18.685806885824
30th,2040,,EU,IT,it_cs,transport,bev,bevPsngRoadPrvt,capaConvFix,47.990368096074
30th,2040,,EU,IT,it_n,transport,bev,bevPsngRoadPrvt,capaConvFix,68.650173604707
30th,2040,,EU,IT,it_s,transport,bev,bevPsngRoadPrvt,capaConvFix,28.450929207789
30th,2040,,EU,IT,it_sar,transport,bev,bevPsngRoadPrvt,capaConvFix,6.201613709692
30th,2040,,EU,IT,it_sic,transport,bev,bevPsngRoadPrvt,capaConvFix,13.941227077886
30th,2040,,EU,LT,lt,transport,bev,bevPsngRoadPrvt,capaConvFix,7.265855954976
30th,2040,,EU,LU,lu,transport,bev,bevPsngRoadPrvt,capaConvFix,1.731394665879
30th,2040,,EU,LV,lv,transport,bev,bevPsngRoadPrvt,capaConvFix,3.65185232707
30th,2040,,EU,NL,nl,transport,bev,bevPsngRoadPrvt,capaConvFix,44.873936666462
30th,2040,,EU,PL,pl,transport,bev,bevPsngRoadPrvt,capaConvFix,52.360116047564
30th,2040,,EU,PT,pt,transport,bev,bevPsngRoadPrvt,capaConvFix,20.392924234088
30th,2040,,EU,RO,ro,transport,bev,bevPsngRoadPrvt,capaConvFix,19.497720709596
30th,2040,,EU,SE,se_1,transport,bev,bevPsngRoadPrvt,capaConvFix,0.704989838476
30th,2040,,EU,SE,se_2,transport,bev,bevPsngRoadPrvt,capaConvFix,2.565904896334
30th,2040,,EU,SE,se_3,transport,bev,bevPsngRoadPrvt,capaConvFix,17.138804764749
30th,2040,,EU,SE,se_4,transport,bev,bevPsngRoadPrvt,capaConvFix,3.537764728073
30th,2040,,EU,SI,si,transport,bev,bevPsngRoadPrvt,capaConvFix,6.289280547604
30th,2040,,EU,SK,sk,transport,bev,bevPsngRoadPrvt,capaConvFix,6.676104406202
30th,2040,,nonEU,AL,al,transport,bev,bevPsngRoadPrvt,capaConvFix,2.060198894136
30th,2040,,nonEU,BA,ba,transport,bev,bevPsngRoadPrvt,capaConvFix,2.750568191892
30th,2040,,nonEU,CH,ch,transport,bev,bevPsngRoadPrvt,capaConvFix,19.286783309611
30th,2040,,nonEU,ME,me,transport,bev,bevPsngRoadPrvt,capaConvFix,0.987213655751
30th,2040,,nonEU,MK,mk,transport,bev,bevPsngRoadPrvt,capaConvFix,1.78837641833
30th,2040,,nonEU,NO,no_m,transport,bev,bevPsngRoadPrvt,capaConvFix,1.987130034381
30th,2040,,nonEU,NO,no_n,transport,bev,bevPsngRoadPrvt,capaConvFix,1.566011080267
30th,2040,,nonEU,NO,no_s,transport,bev,bevPsngRoadPrvt,capaConvFix,11.910697953884
30th,2040,,nonEU,RS,rs,transport,bev,bevPsngRoadPrvt,capaConvFix,6.903726821406
30th,2040,,nonEU,UK,ni,transport,bev,bevPsngRoadPrvt,capaConvFix,6.843473497344
30th,2040,,nonEU,UK,uk,transport,bev,bevPsngRoadPrvt,capaConvFix,153.63763949186
