timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,32DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,35DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,36DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,ocgt,,ocgtGas,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,ocgt,,ocgtGas,capaConvFix,0.0
