timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,BE,be,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,BG,bg,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,CZ,cz,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,DE,de,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,EE,ee,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,ES,es,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,FI,fi,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,FR,fr,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,GR,gr,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,HR,hr,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,HU,hu,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IE,ie,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IT,it_n,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IT,it_s,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,LT,lt,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,LU,lu,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,LV,lv,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,NL,nl,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,PL,pl,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,PT,pt,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,RO,ro,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,SE,se_1,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,SE,se_2,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,SE,se_3,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,SE,se_4,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,SI,si,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,EU,SK,sk,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,AL,al,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,ME,me,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,engine,enginePeak,dieselEngine,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,engine,enginePeak,dieselEngine,capaConvFix,0.0
