timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,,EU,BE,be,28BE,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,32DE,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,33DE,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,34DE,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,DE,de,35DE,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,DK,dk_w,38DK,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,03ES,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,04ES,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,05ES,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,06ES,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,08ES,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,ES,es,09ES,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,14FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,16FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,17FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,18FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,20FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,23FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,25FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,26FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,27FR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,GR,gr,68GR,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,IE,ie,96IE,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_s,55IT,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,NL,nl,30NL,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,EU,PT,pt,13PT,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,90UK,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,92UK,powerToX,,gasStorage,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,93UK,powerToX,,gasStorage,1,capaStOutFix,0.0
