timestep_1,timestep_2,timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,30th,2040,EU,AT,at,49AT,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,AT,at,50AT,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,AT,at,51AT,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,BE,be,28BE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,BG,bg,66BG,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,CZ,cz,39CZ,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,CZ,cz,40CZ,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,31DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,32DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,33DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,34DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,35DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,36DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DE,de,37DE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DK,dk_e,72DK,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,DK,dk_w,38DK,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,EE,ee,73EE,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
30th,2040,30th,2040,EU,ES,es,01ES,powerToX,electrolysis,soElectrolysis,capaConvFix,0.0
