timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,BE,be,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,BG,bg,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,CZ,cz,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,DE,de,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,EE,ee,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,ES,es,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,FI,fi,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,FR,fr,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,GR,gr,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,HR,hr,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,HU,hu,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IE,ie,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IT,it_n,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IT,it_s,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,LT,lt,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,LU,lu,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,LV,lv,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,NL,nl,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,PL,pl,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,PT,pt,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,RO,ro,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,SE,se_1,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,SE,se_2,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,SE,se_3,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,SE,se_4,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,SI,si,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,EU,SK,sk,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,AL,al,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,ME,me,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,transport,,dieselFrtRail,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,transport,,dieselFrtRail,capaConvFix,0.0
