timestep_1,region_1,region_2,region_3,region_1,region_2,region_3,exchange_1,exchange_2,id_1,parameter,value
30th,EU,BE,be,EU,DE,de,powerGrid,hvac,1,expExcFix,0.0
30th,EU,BE,be,EU,DE,de,powerGrid,hvac,2,expExcFix,0.0
30th,EU,BE,be,EU,DE,de,powerGrid,hvac,3,expExcFix,0.0
30th,EU,BE,be,EU,DE,de,powerGrid,hvac,4,expExcFix,0.0
30th,EU,BE,be,EU,LU,lu,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,BG,bg,nonEU,MK,mk,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,BG,bg,nonEU,MK,mk,powerGrid,hvac,2,expExcFixDir,0.0
30th,EU,BG,bg,nonEU,MK,mk,powerGrid,hvac,3,expExcFixDir,0.0
30th,EU,BG,bg,nonEU,RS,rs,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,BG,bg,nonEU,RS,rs,powerGrid,hvac,2,expExcFixDir,0.0
30th,EU,DE,de,EU,LU,lu,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,EU,LU,lu,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,1,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,2,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,3,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,4,expExcFix,0.0
30th,EU,DE,de,EU,NL,nl,powerGrid,hvac,5,expExcFix,1.0
30th,EU,HR,hr,EU,HU,hu,powerGrid,hvac,1,expExcFix,0.0
30th,EU,HR,hr,EU,HU,hu,powerGrid,hvac,2,expExcFix,0.0
30th,EU,HR,hr,EU,HU,hu,powerGrid,hvac,3,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,1,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,2,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,3,expExcFix,0.0
30th,EU,HU,hu,EU,SI,si,powerGrid,hvac,4,expExcFix,0.0
30th,EU,IE,ie,nonEU,UK,ni,powerGrid,hvac,1,expExcFix,0.0
30th,EU,IT,it_cn,EU,IT,it_cs,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,IT,it_cs,EU,IT,it_s,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,SE,se_2,nonEU,NO,no_m,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,SE,se_2,nonEU,NO,no_m,powerGrid,hvac,2,expExcFixDir,0.0
30th,EU,SE,se_2,nonEU,NO,no_m,powerGrid,hvac,3,expExcFixDir,0.0
30th,EU,SE,se_1,nonEU,NO,no_n,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,SE,se_1,nonEU,NO,no_n,powerGrid,hvac,2,expExcFixDir,0.0
30th,EU,SE,se_1,nonEU,NO,no_n,powerGrid,hvac,3,expExcFixDir,0.0
30th,EU,SE,se_2,nonEU,NO,no_n,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,SE,se_2,nonEU,NO,no_n,powerGrid,hvac,2,expExcFixDir,0.0
30th,EU,SE,se_2,nonEU,NO,no_n,powerGrid,hvac,3,expExcFixDir,0.0
30th,EU,SE,se_3,nonEU,NO,no_s,powerGrid,hvac,1,expExcFixDir,0.0
30th,EU,SE,se_3,nonEU,NO,no_s,powerGrid,hvac,2,expExcFixDir,0.0
30th,EU,SE,se_3,nonEU,NO,no_s,powerGrid,hvac,3,expExcFixDir,0.0
30th,EU,SE,se_2,EU,SE,se_3,powerGrid,hvac,1,expExcFix,0.0
30th,EU,SE,se_2,EU,SE,se_3,powerGrid,hvac,2,expExcFix,0.0
