timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,32DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,35DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,36DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,ES,es,11ES,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FI,fi,74FI,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,14FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,15FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,16FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,17FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,18FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,19FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,20FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,21FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,22FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,23FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,24FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,25FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,26FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,27FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,99FR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,GR,gr,68GR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,GR,gr,69GR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,HR,hr,62HR,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,HU,hu,58HU,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IE,ie,96IE,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,53IT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,54IT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_n,52IT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_s,55IT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,98IT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,56IT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
30th,2040,,EU,LT,lt,77LT,engine,engineLow,bioGasEngineProLow,capaConvFix,0.0
