timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,BE,be,28BE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,DE,de,32DE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,DE,de,33DE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,DE,de,34DE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,DE,de,35DE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,DK,dk_w,38DK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,EE,ee,73EE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,01ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,02ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,03ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,04ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,05ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,06ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,07ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,08ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,09ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,10ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,ES,es,11ES,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FI,fi,74FI,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FI,fi,75FI,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,14FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,15FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,16FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,17FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,18FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,19FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,20FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,21FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,22FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,23FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,24FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,25FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,26FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr,27FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,FR,fr_co,99FR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,GR,gr,68GR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,GR,gr,69GR,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,IE,ie,96IE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,IT,it_s,55IT,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,IT,it_sar,98IT,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,IT,it_sic,56IT,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,LT,lt,77LT,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,LU,lu,29LU,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,LV,lv,78LV,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,NL,nl,30NL,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,PL,pl,41PL,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,PT,pt,12PT,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,PT,pt,13PT,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,SE,se_1,86SE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,SE,se_2,87SE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,SE,se_3,88SE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,EU,SE,se_4,89SE,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,AL,al,70AL,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,BA,ba,63BA,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,CH,ch,48CH,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,ME,me,64ME,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_s,79NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_s,81NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,UK,ni,95UK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,UK,uk,90UK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,UK,uk,91UK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,UK,uk,92UK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,UK,uk,93UK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
30th,nonEU,UK,uk,94UK,powerToX,synthFuel,bioMethanation,expConvFix,0.0
