timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,BG,bg,66BG,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,11ES,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,FI,fi,74FI,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,FR,fr,23FR,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,LT,lt,77LT,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,LV,lv,78LV,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,PT,pt,12PT,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,PT,pt,13PT,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,RO,ro,59RO,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,RO,ro,60RO,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,RO,ro,61RO,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,SE,se_1,86SE,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,SE,se_2,87SE,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,SE,se_3,88SE,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,EU,SE,se_4,89SE,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,nonEU,AL,al,70AL,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,63BA,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,nonEU,ME,me,64ME,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,67MK,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,65RS,heatpump,,heatpumpGroundSpace,capaConvFix,0.0
