timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,heatpump,heatpumpAir,heatpumpAirSpace,capaConvFix,0.0
