timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,networkHeat,,oilBoilerDh,capaConvFix,0.0157
30th,2040,,EU,AT,at,50AT,networkHeat,,oilBoilerDh,capaConvFix,0.0113
30th,2040,,EU,AT,at,51AT,networkHeat,,oilBoilerDh,capaConvFix,0.0117
30th,2040,,EU,BE,be,28BE,networkHeat,,oilBoilerDh,capaConvFix,0.0527
30th,2040,,EU,BG,bg,66BG,networkHeat,,oilBoilerDh,capaConvFix,0.1289
30th,2040,,EU,CZ,cz,39CZ,networkHeat,,oilBoilerDh,capaConvFix,0.1503
30th,2040,,EU,CZ,cz,40CZ,networkHeat,,oilBoilerDh,capaConvFix,0.172
30th,2040,,EU,DE,de,31DE,networkHeat,,oilBoilerDh,capaConvFix,0.0307
30th,2040,,EU,DE,de,32DE,networkHeat,,oilBoilerDh,capaConvFix,0.0356
30th,2040,,EU,DE,de,33DE,networkHeat,,oilBoilerDh,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,networkHeat,,oilBoilerDh,capaConvFix,0.007
30th,2040,,EU,DE,de,35DE,networkHeat,,oilBoilerDh,capaConvFix,0.0628
30th,2040,,EU,DE,de,36DE,networkHeat,,oilBoilerDh,capaConvFix,0.0613
30th,2040,,EU,DE,de,37DE,networkHeat,,oilBoilerDh,capaConvFix,0.0534
30th,2040,,EU,DK,dk_e,72DK,networkHeat,,oilBoilerDh,capaConvFix,0.0181
30th,2040,,EU,DK,dk_w,38DK,networkHeat,,oilBoilerDh,capaConvFix,0.035
30th,2040,,EU,EE,ee,73EE,networkHeat,,oilBoilerDh,capaConvFix,0.0721
30th,2040,,EU,ES,es,01ES,networkHeat,,oilBoilerDh,capaConvFix,0.0018
30th,2040,,EU,ES,es,02ES,networkHeat,,oilBoilerDh,capaConvFix,0.0018
30th,2040,,EU,ES,es,03ES,networkHeat,,oilBoilerDh,capaConvFix,0.0013
30th,2040,,EU,ES,es,04ES,networkHeat,,oilBoilerDh,capaConvFix,0.0021
30th,2040,,EU,ES,es,05ES,networkHeat,,oilBoilerDh,capaConvFix,0.0008
30th,2040,,EU,ES,es,06ES,networkHeat,,oilBoilerDh,capaConvFix,0.0047
30th,2040,,EU,ES,es,07ES,networkHeat,,oilBoilerDh,capaConvFix,0.0042
30th,2040,,EU,ES,es,08ES,networkHeat,,oilBoilerDh,capaConvFix,0.0014
30th,2040,,EU,ES,es,09ES,networkHeat,,oilBoilerDh,capaConvFix,0.0027
30th,2040,,EU,ES,es,10ES,networkHeat,,oilBoilerDh,capaConvFix,0.0016
30th,2040,,EU,ES,es,11ES,networkHeat,,oilBoilerDh,capaConvFix,0.0045
30th,2040,,EU,FI,fi,74FI,networkHeat,,oilBoilerDh,capaConvFix,0.2824
30th,2040,,EU,FR,fr,14FR,networkHeat,,oilBoilerDh,capaConvFix,0.0281
30th,2040,,EU,FR,fr,15FR,networkHeat,,oilBoilerDh,capaConvFix,0.0347
30th,2040,,EU,FR,fr,16FR,networkHeat,,oilBoilerDh,capaConvFix,0.0558
30th,2040,,EU,FR,fr,17FR,networkHeat,,oilBoilerDh,capaConvFix,0.0224
30th,2040,,EU,FR,fr,18FR,networkHeat,,oilBoilerDh,capaConvFix,0.0044
30th,2040,,EU,FR,fr,19FR,networkHeat,,oilBoilerDh,capaConvFix,0.0084
30th,2040,,EU,FR,fr,20FR,networkHeat,,oilBoilerDh,capaConvFix,0.0099
30th,2040,,EU,FR,fr,21FR,networkHeat,,oilBoilerDh,capaConvFix,0.0518
30th,2040,,EU,FR,fr,22FR,networkHeat,,oilBoilerDh,capaConvFix,0.0116
30th,2040,,EU,FR,fr,23FR,networkHeat,,oilBoilerDh,capaConvFix,0.1359
30th,2040,,EU,FR,fr,24FR,networkHeat,,oilBoilerDh,capaConvFix,0.0097
30th,2040,,EU,FR,fr,25FR,networkHeat,,oilBoilerDh,capaConvFix,0.0289
30th,2040,,EU,FR,fr,26FR,networkHeat,,oilBoilerDh,capaConvFix,0.017
30th,2040,,EU,FR,fr,27FR,networkHeat,,oilBoilerDh,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,99FR,networkHeat,,oilBoilerDh,capaConvFix,0.0015
30th,2040,,EU,GR,gr,68GR,networkHeat,,oilBoilerDh,capaConvFix,0.0068
30th,2040,,EU,GR,gr,69GR,networkHeat,,oilBoilerDh,capaConvFix,0.0036
30th,2040,,EU,HR,hr,62HR,networkHeat,,oilBoilerDh,capaConvFix,0.0407
30th,2040,,EU,HU,hu,58HU,networkHeat,,oilBoilerDh,capaConvFix,0.1493
30th,2040,,EU,IE,ie,96IE,networkHeat,,oilBoilerDh,capaConvFix,0.0067
30th,2040,,EU,IT,it_cn,53IT,networkHeat,,oilBoilerDh,capaConvFix,0.0032
30th,2040,,EU,IT,it_cs,54IT,networkHeat,,oilBoilerDh,capaConvFix,0.0052
30th,2040,,EU,IT,it_n,52IT,networkHeat,,oilBoilerDh,capaConvFix,0.0161
30th,2040,,EU,IT,it_s,55IT,networkHeat,,oilBoilerDh,capaConvFix,0.0001
30th,2040,,EU,IT,it_sar,98IT,networkHeat,,oilBoilerDh,capaConvFix,0.0003
30th,2040,,EU,IT,it_sic,56IT,networkHeat,,oilBoilerDh,capaConvFix,0.0015
30th,2040,,EU,LU,lu,29LU,networkHeat,,oilBoilerDh,capaConvFix,0.0219
30th,2040,,EU,LV,lv,78LV,networkHeat,,oilBoilerDh,capaConvFix,0.1158
30th,2040,,EU,NL,nl,30NL,networkHeat,,oilBoilerDh,capaConvFix,0.1619
30th,2040,,EU,PL,pl,41PL,networkHeat,,oilBoilerDh,capaConvFix,0.3072
30th,2040,,EU,PL,pl,42PL,networkHeat,,oilBoilerDh,capaConvFix,0.2108
30th,2040,,EU,PL,pl,43PL,networkHeat,,oilBoilerDh,capaConvFix,0.211
30th,2040,,EU,PL,pl,44PL,networkHeat,,oilBoilerDh,capaConvFix,0.2522
30th,2040,,EU,PL,pl,45PL,networkHeat,,oilBoilerDh,capaConvFix,0.2483
30th,2040,,EU,PT,pt,12PT,networkHeat,,oilBoilerDh,capaConvFix,0.0216
30th,2040,,EU,PT,pt,13PT,networkHeat,,oilBoilerDh,capaConvFix,0.0031
30th,2040,,EU,RO,ro,59RO,networkHeat,,oilBoilerDh,capaConvFix,0.1005
30th,2040,,EU,RO,ro,60RO,networkHeat,,oilBoilerDh,capaConvFix,0.0389
30th,2040,,EU,RO,ro,61RO,networkHeat,,oilBoilerDh,capaConvFix,0.072
30th,2040,,EU,SE,se_1,86SE,networkHeat,,oilBoilerDh,capaConvFix,0.0476
30th,2040,,EU,SE,se_2,87SE,networkHeat,,oilBoilerDh,capaConvFix,0.1689
30th,2040,,EU,SE,se_4,89SE,networkHeat,,oilBoilerDh,capaConvFix,0.2575
30th,2040,,EU,SI,si,57SI,networkHeat,,oilBoilerDh,capaConvFix,0.0249
30th,2040,,EU,SK,sk,46SK,networkHeat,,oilBoilerDh,capaConvFix,0.1028
30th,2040,,nonEU,AL,al,70AL,networkHeat,,oilBoilerDh,capaConvFix,0.072
30th,2040,,nonEU,BA,ba,63BA,networkHeat,,oilBoilerDh,capaConvFix,0.0459
30th,2040,,nonEU,CH,ch,47CH,networkHeat,,oilBoilerDh,capaConvFix,0.0639
30th,2040,,nonEU,CH,ch,48CH,networkHeat,,oilBoilerDh,capaConvFix,0.0073
30th,2040,,nonEU,ME,me,64ME,networkHeat,,oilBoilerDh,capaConvFix,0.0085
30th,2040,,nonEU,MK,mk,67MK,networkHeat,,oilBoilerDh,capaConvFix,0.0308
30th,2040,,nonEU,NO,no_m,83NO,networkHeat,,oilBoilerDh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,84NO,networkHeat,,oilBoilerDh,capaConvFix,0.0186
30th,2040,,nonEU,NO,no_n,85NO,networkHeat,,oilBoilerDh,capaConvFix,0.0026
30th,2040,,nonEU,NO,no_s,79NO,networkHeat,,oilBoilerDh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,80NO,networkHeat,,oilBoilerDh,capaConvFix,0.0235
30th,2040,,nonEU,NO,no_s,81NO,networkHeat,,oilBoilerDh,capaConvFix,0.0367
30th,2040,,nonEU,NO,no_s,82NO,networkHeat,,oilBoilerDh,capaConvFix,0.0528
30th,2040,,nonEU,RS,rs,65RS,networkHeat,,oilBoilerDh,capaConvFix,0.0845
30th,2040,,nonEU,UK,ni,95UK,networkHeat,,oilBoilerDh,capaConvFix,0.0082
30th,2040,,nonEU,UK,uk,90UK,networkHeat,,oilBoilerDh,capaConvFix,0.0869
30th,2040,,nonEU,UK,uk,91UK,networkHeat,,oilBoilerDh,capaConvFix,0.0201
30th,2040,,nonEU,UK,uk,92UK,networkHeat,,oilBoilerDh,capaConvFix,0.0988
30th,2040,,nonEU,UK,uk,93UK,networkHeat,,oilBoilerDh,capaConvFix,0.0277
30th,2040,,nonEU,UK,uk,94UK,networkHeat,,oilBoilerDh,capaConvFix,0.0142
