timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,,ePsngRail,capaConvFix,0.160711970614
30th,2040,,EU,BE,be,transport,,ePsngRail,capaConvFix,0.13400659032
30th,2040,,EU,BG,bg,transport,,ePsngRail,capaConvFix,0.016442307692
30th,2040,,EU,CZ,cz,transport,,ePsngRail,capaConvFix,0.114806071737
30th,2040,,EU,DE,de,transport,,ePsngRail,capaConvFix,1.165353824546
30th,2040,,EU,DK,dk_e,transport,,ePsngRail,capaConvFix,0.036259723423
30th,2040,,EU,DK,dk_w,transport,,ePsngRail,capaConvFix,0.042521607606
30th,2040,,EU,EE,ee,transport,,ePsngRail,capaConvFix,0.004027657736
30th,2040,,EU,ES,es,transport,,ePsngRail,capaConvFix,0.355592048401
30th,2040,,EU,FI,fi,transport,,ePsngRail,capaConvFix,0.052639369058
30th,2040,,EU,FR,fr,transport,,ePsngRail,capaConvFix,1.086269987035
30th,2040,,EU,FR,fr_co,transport,,ePsngRail,capaConvFix,0.005753565255
30th,2040,,EU,GR,gr,transport,,ePsngRail,capaConvFix,0.013222774417
30th,2040,,EU,HR,hr,transport,,ePsngRail,capaConvFix,0.009110847018
30th,2040,,EU,HU,hu,transport,,ePsngRail,capaConvFix,0.076940363008
30th,2040,,EU,IE,ie,transport,,ePsngRail,capaConvFix,0.013179559205
30th,2040,,EU,IT,it_cn,transport,,ePsngRail,capaConvFix,0.068793755402
30th,2040,,EU,IT,it_cs,transport,,ePsngRail,capaConvFix,0.145641745895
30th,2040,,EU,IT,it_n,transport,,ePsngRail,capaConvFix,0.31102852204
30th,2040,,EU,IT,it_s,transport,,ePsngRail,capaConvFix,0.0767269879
30th,2040,,EU,IT,it_sar,transport,,ePsngRail,capaConvFix,0.018379429559
30th,2040,,EU,IT,it_sic,transport,,ePsngRail,capaConvFix,0.056047428695
30th,2040,,EU,LT,lt,transport,,ePsngRail,capaConvFix,0.004233470182
30th,2040,,EU,LU,lu,transport,,ePsngRail,capaConvFix,0.004700194468
30th,2040,,EU,LV,lv,transport,,ePsngRail,capaConvFix,0.007180207433
30th,2040,,EU,NL,nl,transport,,ePsngRail,capaConvFix,0.280814066551
30th,2040,,EU,PL,pl,transport,,ePsngRail,capaConvFix,0.249770419188
30th,2040,,EU,PT,pt,transport,,ePsngRail,capaConvFix,0.046394230769
30th,2040,,EU,RO,ro,transport,,ePsngRail,capaConvFix,0.049994057908
30th,2040,,EU,SE,se_1,transport,,ePsngRail,capaConvFix,0.003277333621
30th,2040,,EU,SE,se_2,transport,,ePsngRail,capaConvFix,0.012199654278
30th,2040,,EU,SE,se_3,transport,,ePsngRail,capaConvFix,0.091536300778
30th,2040,,EU,SE,se_4,transport,,ePsngRail,capaConvFix,0.026835566119
30th,2040,,EU,SI,si,transport,,ePsngRail,capaConvFix,0.006273768366
30th,2040,,EU,SK,sk,transport,,ePsngRail,capaConvFix,0.042825194468
30th,2040,,nonEU,AL,al,transport,,ePsngRail,capaConvFix,0.001070656871
30th,2040,,nonEU,BA,ba,transport,,ePsngRail,capaConvFix,0.001429343129
30th,2040,,nonEU,CH,ch,transport,,ePsngRail,capaConvFix,0.238288137424
30th,2040,,nonEU,ME,me,transport,,ePsngRail,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,transport,,ePsngRail,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,transport,,ePsngRail,capaConvFix,0.004627268799
30th,2040,,nonEU,NO,no_n,transport,,ePsngRail,capaConvFix,0.004904926534
30th,2040,,nonEU,NO,no_s,transport,,ePsngRail,capaConvFix,0.031971694036
30th,2040,,nonEU,RS,rs,transport,,ePsngRail,capaConvFix,0.003587942956
30th,2040,,nonEU,UK,ni,transport,,ePsngRail,capaConvFix,0.01084485739
30th,2040,,nonEU,UK,uk,transport,,ePsngRail,capaConvFix,0.781638936906
