timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,BE,be,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,BG,bg,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,CZ,cz,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,DE,de,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,EE,ee,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,ES,es,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,FI,fi,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,FR,fr,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,GR,gr,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,HR,hr,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,HU,hu,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IE,ie,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IT,it_n,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IT,it_s,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,LT,lt,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,LU,lu,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,LV,lv,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,NL,nl,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,PL,pl,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,PT,pt,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,RO,ro,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,SE,se_1,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,SE,se_2,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,SE,se_3,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,SE,se_4,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,SI,si,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,EU,SK,sk,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,AL,al,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,ME,me,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,transport,,dieselFrtRoadLight,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,transport,,dieselFrtRoadLight,capaConvFix,0.0
