timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,BE,be,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,BG,bg,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,CZ,cz,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,DE,de,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,EE,ee,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,ES,es,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,FI,fi,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,FR,fr,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,GR,gr,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,HR,hr,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,HU,hu,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IE,ie,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IT,it_n,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IT,it_s,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,LT,lt,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,LU,lu,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,LV,lv,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,NL,nl,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,PL,pl,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,PT,pt,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,RO,ro,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,SE,se_1,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,SE,se_2,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,SE,se_3,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,SE,se_4,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,SI,si,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,EU,SK,sk,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,AL,al,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,ME,me,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,transport,,dieselFrtRoadHeavy,capaConvFix,0.0
