timestep_2,region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
all,35DE,bevPsngRoadPrvt,capaConvResi,34.78828204,capaStInResi,34.78828204,capaStOutResi,34.78828204,capaStSizeResi,173.9414102
all,36DE,bevPsngRoadPrvt,capaConvResi,25.67631441,capaStInResi,25.67631441,capaStOutResi,25.67631441,capaStSizeResi,128.381572
all,37DE,bevPsngRoadPrvt,capaConvResi,40.71005851,capaStInResi,40.71005851,capaStOutResi,40.71005851,capaStSizeResi,203.5502925
all,38DK,bevPsngRoadPrvt,capaConvResi,8.092096895,capaStInResi,8.092096895,capaStOutResi,8.092096895,capaStSizeResi,40.46048447
all,39CZ,bevPsngRoadPrvt,capaConvResi,11.22699476,capaStInResi,11.22699476,capaStOutResi,11.22699476,capaStSizeResi,56.13497381
all,40CZ,bevPsngRoadPrvt,capaConvResi,7.079782054,capaStInResi,7.079782054,capaStOutResi,7.079782054,capaStSizeResi,35.39891027
all,41PL,bevPsngRoadPrvt,capaConvResi,12.00015806,capaStInResi,12.00015806,capaStOutResi,12.00015806,capaStSizeResi,60.00079028
all,42PL,bevPsngRoadPrvt,capaConvResi,8.628404106,capaStInResi,8.628404106,capaStOutResi,8.628404106,capaStSizeResi,43.14202053
all,43PL,bevPsngRoadPrvt,capaConvResi,12.01244697,capaStInResi,12.01244697,capaStOutResi,12.01244697,capaStSizeResi,60.06223486
all,44PL,bevPsngRoadPrvt,capaConvResi,11.10827022,capaStInResi,11.10827022,capaStOutResi,11.10827022,capaStSizeResi,55.54135111
all,45PL,bevPsngRoadPrvt,capaConvResi,8.61085749,capaStInResi,8.61085749,capaStOutResi,8.61085749,capaStSizeResi,43.05428745
all,46SK,bevPsngRoadPrvt,capaConvResi,6.67611425,capaStInResi,6.67611425,capaStOutResi,6.67611425,capaStSizeResi,33.38057125
all,47CH,bevPsngRoadPrvt,capaConvResi,23.5686217,capaStInResi,23.5686217,capaStOutResi,23.5686217,capaStSizeResi,117.8431085
all,48CH,bevPsngRoadPrvt,capaConvResi,3.606591335,capaStInResi,3.606591335,capaStOutResi,3.606591335,capaStSizeResi,18.03295667
all,49AT,bevPsngRoadPrvt,capaConvResi,4.405651593,capaStInResi,4.405651593,capaStOutResi,4.405651593,capaStSizeResi,22.02825796
all,50AT,bevPsngRoadPrvt,capaConvResi,5.209533079,capaStInResi,5.209533079,capaStOutResi,5.209533079,capaStSizeResi,26.0476654
all,51AT,bevPsngRoadPrvt,capaConvResi,10.4445977,capaStInResi,10.4445977,capaStOutResi,10.4445977,capaStSizeResi,52.2229885
all,52IT,bevPsngRoadPrvt,capaConvResi,68.6501842,capaStInResi,68.6501842,capaStOutResi,68.6501842,capaStSizeResi,343.250921
all,53IT,bevPsngRoadPrvt,capaConvResi,18.68581487,capaStInResi,18.68581487,capaStOutResi,18.68581487,capaStSizeResi,93.42907434
all,54IT,bevPsngRoadPrvt,capaConvResi,47.99037097,capaStInResi,47.99037097,capaStOutResi,47.99037097,capaStSizeResi,239.9518548
all,55IT,bevPsngRoadPrvt,capaConvResi,28.45093415,capaStInResi,28.45093415,capaStOutResi,28.45093415,capaStSizeResi,142.2546708
all,56IT,bevPsngRoadPrvt,capaConvResi,13.94123294,capaStInResi,13.94123294,capaStOutResi,13.94123294,capaStSizeResi,69.70616472
all,57SI,bevPsngRoadPrvt,capaConvResi,6.289285294,capaStInResi,6.289285294,capaStOutResi,6.289285294,capaStSizeResi,31.44642647
all,58HU,bevPsngRoadPrvt,capaConvResi,13.19092042,capaStInResi,13.19092042,capaStOutResi,13.19092042,capaStSizeResi,65.9546021
all,59RO,bevPsngRoadPrvt,capaConvResi,5.081244118,capaStInResi,5.081244118,capaStOutResi,5.081244118,capaStSizeResi,25.40622059
all,60RO,bevPsngRoadPrvt,capaConvResi,8.996617964,capaStInResi,8.996617964,capaStOutResi,8.996617964,capaStSizeResi,44.98308982
all,61RO,bevPsngRoadPrvt,capaConvResi,5.419871119,capaStInResi,5.419871119,capaStOutResi,5.419871119,capaStSizeResi,27.0993556
all,62HR,bevPsngRoadPrvt,capaConvResi,6.134541141,capaStInResi,6.134541141,capaStOutResi,6.134541141,capaStSizeResi,30.6727057
all,63BA,bevPsngRoadPrvt,capaConvResi,2.750574789,capaStInResi,2.750574789,capaStOutResi,2.750574789,capaStSizeResi,13.75287395
all,64ME,bevPsngRoadPrvt,capaConvResi,0.987223262,capaStInResi,0.987223262,capaStOutResi,0.987223262,capaStSizeResi,4.936116308
all,65RS,bevPsngRoadPrvt,capaConvResi,6.903728369,capaStInResi,6.903728369,capaStOutResi,6.903728369,capaStSizeResi,34.51864185
all,66BG,bevPsngRoadPrvt,capaConvResi,13.39189626,capaStInResi,13.39189626,capaStOutResi,13.39189626,capaStSizeResi,66.95948129
all,67MK,bevPsngRoadPrvt,capaConvResi,1.788382987,capaStInResi,1.788382987,capaStOutResi,1.788382987,capaStSizeResi,8.941914935
all,68GR,bevPsngRoadPrvt,capaConvResi,7.333045221,capaStInResi,7.333045221,capaStOutResi,7.333045221,capaStSizeResi,36.66522611
all,69GR,bevPsngRoadPrvt,capaConvResi,18.04168656,capaStInResi,18.04168656,capaStOutResi,18.04168656,capaStSizeResi,90.20843279
