region_2,technology_3,parameter,value
AT,heatpumpGroundSpace,capaConvResi,4.672534904
AT,heatpumpPro,capaConvResi,0.597000477
AT,eBoilerProMed,capaConvResi,1.662377559
AT,h2BoilerProHigh,capaConvResi,3.435432182
AT,gasBoilerSpace,capaConvResi,1.368263068
AT,districtHeatSpace_a,capaConvResi,12.38044642
AT,districtHeatSpace_b,capaConvResi,4.248200689
AT,districtHeatSpace_c,capaConvResi,1.158163314
AT,districtHeatPro,capaConvResi,0.5107
BE,heatpumpAirSpace,capaConvResi,8.403359386
BE,heatpumpGroundSpace,capaConvResi,6.128543637
BE,heatpumpPro,capaConvResi,0.481438954
BE,eBoilerProHigh,capaConvResi,0.1361
BE,eBoilerProMed,capaConvResi,1.979
BE,h2BoilerProHigh,capaConvResi,4.99158242
BE,h2BoilerProMed,capaConvResi,0.575599272
BE,districtHeatSpace_a,capaConvResi,8.703488201
BE,districtHeatSpace_b,capaConvResi,0.075837912
BE,districtHeatSpace_c,capaConvResi,1.164318189
BE,districtHeatPro,capaConvResi,0.6775
BG,heatpumpGroundSpace,capaConvResi,2.847523126
BG,heatpumpPro,capaConvResi,0.015789988
BG,eBoilerProMed,capaConvResi,0.3815
BG,h2BoilerProHigh,capaConvResi,0.642260698
BG,h2BoilerProMed,capaConvResi,0.072681203
BG,bioBoilerSpace,capaConvResi,0.152118356
BG,gasBoilerSpace,capaConvResi,4.066279827
BG,districtHeatSpace_a,capaConvResi,1.30548096
BG,districtHeatSpace_b,capaConvResi,6.58112186
BG,districtHeatSpace_c,capaConvResi,2.354655716
BG,districtHeatPro,capaConvResi,0.7012
CZ,heatpumpPro,capaConvResi,0.94677129
CZ,eBoilerProMed,capaConvResi,1.3506
CZ,h2BoilerProHigh,capaConvResi,2.401019601
CZ,h2BoilerProMed,capaConvResi,1.125369041
CZ,gasBoilerSpace,capaConvResi,14.40747049
CZ,districtHeatSpace_a,capaConvResi,5.834324631
CZ,districtHeatSpace_b,capaConvResi,6.439459489
CZ,districtHeatSpace_c,capaConvResi,5.765137756
CZ,districtHeatPro,capaConvResi,0.8957
DE,heatpumpAirSpace,capaConvResi,29.52033894
DE,heatpumpGroundSpace,capaConvResi,40.39509397
DE,heatpumpPro,capaConvResi,2.810448923
DE,eBoilerProHigh,capaConvResi,0.7051
DE,eBoilerProMed,capaConvResi,9.7416
DE,h2BoilerProHigh,capaConvResi,22.39504696
DE,h2BoilerProMed,capaConvResi,2.030010741
DE,districtHeatSpace_a,capaConvResi,45.40407806
DE,districtHeatSpace_b,capaConvResi,58.40648026
DE,districtHeatSpace_c,capaConvResi,39.84307772
DE,districtHeatPro,capaConvResi,6.9374
DK,heatpumpGroundSpace,capaConvResi,2.701544552
DK,eBoilerProLow,capaConvResi,0.614060552
DK,eBoilerProMed,capaConvResi,0.5294
DK,h2BoilerProHigh,capaConvResi,0.443764017
DK,h2BoilerProMed,capaConvResi,0.207929365
DK,districtHeatSpace_a,capaConvResi,6.12175664
DK,districtHeatSpace_b,capaConvResi,8.735024894
