technology_3,parameter,value
nuclearPower,costExpConv,2250
nuclearPower,costOprConv,88.6
nuclearPower,lifeConv,60
nuclearPower,avaConv,0.95
nuclearPower,flhConvLow,2628
nuclearPower,costVarGen,12.5
