carrier_1,carrier_2,parameter,value,source
oil,,emissionFac,262.8736046,"UBA (2016), CO2-Emissionsfaktoren für fossile Brennstoffe, uses oil value because refinery efficiencies are neglected"
hardcoal,,emissionFac,342.0957868,"UBA (2016), CO2-Emissionsfaktoren für fossile Brennstoffe"
lignite,,emissionFac,362,"UBA (2016), CO2-Emissionsfaktoren für fossile Brennstoffe"
gasFuel,,emissionFac,201.296363,"UBA (2016), CO2-Emissionsfaktoren für fossile Brennstoffe"
waste,,emissionFac,332,used old dynelmod input
oil,,trdBuyPrc,53.19389723,"IEA (2017), World Energy Outlook 2017"
hardcoal,,trdBuyPrc,8.203007305,
gasFuel,naturalGas,trdBuyPrc,26.67689527,
h2,,trdBuyPrc,164,"Fraunhofer ISE (2020), Wege zu einem klimaneutralen Energiesystem, Anhang"
lignite,,trdBuyPrc,1.5,
waste,,trdBuyPrc,14.07599999,
