timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
none,Balt < EE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2782375836944982,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Balt < LT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.30406636272109516,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Balt < LV,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3029360174556601,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Benelux < BE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.36937754619779356,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Benelux < LU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3355548220087096,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Benelux < NL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.32606820491592103,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,CH_ < CH,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5001725781906191,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,DE_ < DE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.34384649033917064,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < AT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4609975780352078,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < CZ,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4603604308325424,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < HR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5280372060576048,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < HU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5905753686931011,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < PL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3802046610474144,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < SI,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5178882169859775,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,East < SK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.502271772986351,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,FR_ < FR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5378055587664238,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,IT_ < IT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.607150809611635,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Iberia < ES,none,none,battery < lithiumBattery,none,none,costOprStSize,0.7202827278461418,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Iberia < PT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.585829681341259,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Scan < DK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.31528114903449694,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Scan < FI,none,none,battery < lithiumBattery,none,none,costOprStSize,0.1897137868146468,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Scan < NO,none,none,battery < lithiumBattery,none,none,costOprStSize,0.18465321122239767,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Scan < SE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.18744445780896163,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < AL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.461933044746457,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < BA,none,none,battery < lithiumBattery,none,none,costOprStSize,0.47915175306972946,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < BG,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5502682588480425,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < GR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5115989821071059,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < ME,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4653278395917414,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < MK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4834901227210768,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < RO,none,none,battery < lithiumBattery,none,none,costOprStSize,0.48971221156606054,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,SouthEast < RS,none,none,battery < lithiumBattery,none,none,costOprStSize,0.48114172525856264,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,UkPlus < IE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5101226787672027,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,UkPlus < UK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4078755779980326,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Balt < EE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.09592762755149206,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Balt < LT,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.10080282678920946,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Balt < LV,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.09574737507330085,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Benelux < BE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.1006280079737256,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Benelux < LU,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.09587350284004177,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,Benelux < NL,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.1011352421736948,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,CH_ < CH,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.1007794194694811,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
none,DE_ < DE,none,none,powerToX < h2Storage < h2StorageTank,none,none,costOprStSize,0.10118282315550005,inter_all_total32_ext8_noLiquid_withMeth_onlyMulti
