timestep_6,region_1,technology_1,scenario_1,parameter,value
h0009,CH,solar,scr2080,avaConv,0.018668765337896246
h0010,CH,solar,scr2080,avaConv,0.0719299214390172
h0011,CH,solar,scr2080,avaConv,0.13421654538940675
h0012,CH,solar,scr2080,avaConv,0.11937686618285626
h0013,CH,solar,scr2080,avaConv,0.22978446442135994
h0014,CH,solar,scr2080,avaConv,0.2119093616306153
h0015,CH,solar,scr2080,avaConv,0.46286802340384714
h0016,CH,solar,scr2080,avaConv,0.4415261525255627
h0017,CH,solar,scr2080,avaConv,0.33335321294132175
h0018,CH,solar,scr2080,avaConv,0.07971398544791962
h0019,CH,solar,scr2080,avaConv,0.0
h0020,CH,solar,scr2080,avaConv,0.0
h0021,CH,solar,scr2080,avaConv,0.0
h0022,CH,solar,scr2080,avaConv,0.0
h0023,CH,solar,scr2080,avaConv,0.0
h0024,CH,solar,scr2080,avaConv,0.0
h0025,CH,solar,scr2080,avaConv,0.0
h0026,CH,solar,scr2080,avaConv,0.0
h0027,CH,solar,scr2080,avaConv,0.0
h0028,CH,solar,scr2080,avaConv,0.0
h0029,CH,solar,scr2080,avaConv,0.0
h0030,CH,solar,scr2080,avaConv,0.0
h0031,CH,solar,scr2080,avaConv,0.005537100187543791
h0032,CH,solar,scr2080,avaConv,0.0872165538189221
h0033,CH,solar,scr2080,avaConv,0.31642532572673826
h0034,CH,solar,scr2080,avaConv,0.5348729754717767
h0035,CH,solar,scr2080,avaConv,0.5202227258816275
h0036,CH,solar,scr2080,avaConv,0.5515174892647489
h0037,CH,solar,scr2080,avaConv,0.3507488233718317
h0038,CH,solar,scr2080,avaConv,0.5215874411918098
h0039,CH,solar,scr2080,avaConv,0.3601194286337346
h0040,CH,solar,scr2080,avaConv,0.3475646772724737
h0041,CH,solar,scr2080,avaConv,0.08523881424586499
h0042,CH,solar,scr2080,avaConv,0.017083866619815424
h0043,CH,solar,scr2080,avaConv,0.0034837027162200915
h0044,CH,solar,scr2080,avaConv,0.0006537167708218221
h0045,CH,solar,scr2080,avaConv,0.0
h0046,CH,solar,scr2080,avaConv,0.0
h0047,CH,solar,scr2080,avaConv,0.0
h0048,CH,solar,scr2080,avaConv,0.0
h0049,CH,solar,scr2080,avaConv,0.0
h0050,CH,solar,scr2080,avaConv,0.0
h0051,CH,solar,scr2080,avaConv,0.0
h0052,CH,solar,scr2080,avaConv,0.0
h0053,CH,solar,scr2080,avaConv,0.001016239075109625
h0054,CH,solar,scr2080,avaConv,0.008055341562467238
h0055,CH,solar,scr2080,avaConv,0.07172648720828423
h0056,CH,solar,scr2080,avaConv,0.18932136066551078
h0057,CH,solar,scr2080,avaConv,0.27059242538102585
h0058,CH,solar,scr2080,avaConv,0.4523635514132453
h0059,CH,solar,scr2080,avaConv,0.5981041054426219
h0060,CH,solar,scr2080,avaConv,0.7010818494834011
h0061,CH,solar,scr2080,avaConv,0.4779349737831721
h0062,CH,solar,scr2080,avaConv,0.43913345082670774
h0063,CH,solar,scr2080,avaConv,0.41095166605753947
h0064,CH,solar,scr2080,avaConv,0.37470814283236964
h0065,CH,solar,scr2080,avaConv,0.15924497932492218
h0066,CH,solar,scr2080,avaConv,0.046630592782229106
h0067,CH,solar,scr2080,avaConv,0.0043324887435843085
h0068,CH,solar,scr2080,avaConv,0.0
h0069,CH,solar,scr2080,avaConv,0.0
h0070,CH,solar,scr2080,avaConv,0.0
h0071,CH,solar,scr2080,avaConv,0.0
h0072,CH,solar,scr2080,avaConv,0.0
h0073,CH,solar,scr2080,avaConv,0.0
h0074,CH,solar,scr2080,avaConv,0.0
h0075,CH,solar,scr2080,avaConv,0.0
h0076,CH,solar,scr2080,avaConv,0.0
h0077,CH,solar,scr2080,avaConv,0.0
h0078,CH,solar,scr2080,avaConv,0.005060374533585637
h0079,CH,solar,scr2080,avaConv,0.011272668440638095
h0080,CH,solar,scr2080,avaConv,0.10742746596432075
h0081,CH,solar,scr2080,avaConv,0.27317024193229766
h0082,CH,solar,scr2080,avaConv,0.5784679719443845
h0083,CH,solar,scr2080,avaConv,0.7403196211448375
h0084,CH,solar,scr2080,avaConv,0.6885205339395076
h0085,CH,solar,scr2080,avaConv,0.6133645629940676
h0086,CH,solar,scr2080,avaConv,0.6234116213004356
h0087,CH,solar,scr2080,avaConv,0.6492101348476265
h0088,CH,solar,scr2080,avaConv,0.6150565797535432
h0089,CH,solar,scr2080,avaConv,0.27729610835387525
h0090,CH,solar,scr2080,avaConv,0.08852836486823484
h0091,CH,solar,scr2080,avaConv,0.004161971675229409
h0092,CH,solar,scr2080,avaConv,0.0
h0093,CH,solar,scr2080,avaConv,0.0
h0094,CH,solar,scr2080,avaConv,0.0
h0095,CH,solar,scr2080,avaConv,0.0
h0096,CH,solar,scr2080,avaConv,0.0
h0097,CH,solar,scr2080,avaConv,0.0
h0098,CH,solar,scr2080,avaConv,0.0
h0099,CH,solar,scr2080,avaConv,0.0
h0100,CH,solar,scr2080,avaConv,0.0
h0101,CH,solar,scr2080,avaConv,0.0
h0102,CH,solar,scr2080,avaConv,0.0
h0103,CH,solar,scr2080,avaConv,0.0
h0104,CH,solar,scr2080,avaConv,0.006359890655068747
h0105,CH,solar,scr2080,avaConv,0.02126393919744786
h0106,CH,solar,scr2080,avaConv,0.09963982676835346
h0107,CH,solar,scr2080,avaConv,0.09320350793538242
h0108,CH,solar,scr2080,avaConv,0.3691256621489089
h0109,CH,solar,scr2080,avaConv,0.6593648065793754
h0110,CH,solar,scr2080,avaConv,0.8838426673330421
h0001,DE,solar,scr2080,avaConv,0.0
h0002,DE,solar,scr2080,avaConv,0.0
h0003,DE,solar,scr2080,avaConv,0.0
h0004,DE,solar,scr2080,avaConv,0.0
h0005,DE,solar,scr2080,avaConv,0.0
h0006,DE,solar,scr2080,avaConv,0.0
h0007,DE,solar,scr2080,avaConv,0.0
h0008,DE,solar,scr2080,avaConv,0.0
h0009,DE,solar,scr2080,avaConv,0.008658673483268464
h0010,DE,solar,scr2080,avaConv,0.02112075090418582
h0011,DE,solar,scr2080,avaConv,0.034987131441197264
h0012,DE,solar,scr2080,avaConv,0.07827092765885908
h0013,DE,solar,scr2080,avaConv,0.13857652951436195
h0014,DE,solar,scr2080,avaConv,0.23024202546882658
h0015,DE,solar,scr2080,avaConv,0.32178200454582856
h0016,DE,solar,scr2080,avaConv,0.21788976805802707
h0017,DE,solar,scr2080,avaConv,0.09986070774826541
h0018,DE,solar,scr2080,avaConv,0.0021233411428979174
h0019,DE,solar,scr2080,avaConv,0.0
h0020,DE,solar,scr2080,avaConv,0.0
h0021,DE,solar,scr2080,avaConv,0.0
h0022,DE,solar,scr2080,avaConv,0.0
h0023,DE,solar,scr2080,avaConv,0.0
h0024,DE,solar,scr2080,avaConv,0.0
h0025,DE,solar,scr2080,avaConv,0.0
h0026,DE,solar,scr2080,avaConv,0.0
h0027,DE,solar,scr2080,avaConv,0.0
h0028,DE,solar,scr2080,avaConv,0.0
h0029,DE,solar,scr2080,avaConv,0.0
h0030,DE,solar,scr2080,avaConv,0.0
h0031,DE,solar,scr2080,avaConv,0.006061649247593086
h0032,DE,solar,scr2080,avaConv,0.059394943579068306
h0033,DE,solar,scr2080,avaConv,0.23025318138302248
h0034,DE,solar,scr2080,avaConv,0.4855114576406818
h0035,DE,solar,scr2080,avaConv,0.6446229478206265
h0036,DE,solar,scr2080,avaConv,0.7720205114711866
h0037,DE,solar,scr2080,avaConv,0.7580017910525195
h0038,DE,solar,scr2080,avaConv,0.7413473048881175
h0039,DE,solar,scr2080,avaConv,0.5150137905852483
h0040,DE,solar,scr2080,avaConv,0.29081090769932144
h0041,DE,solar,scr2080,avaConv,0.09637447564620294
h0042,DE,solar,scr2080,avaConv,0.020705811219763837
h0043,DE,solar,scr2080,avaConv,0.0023669373301488275
h0044,DE,solar,scr2080,avaConv,0.0004024797921706385
h0045,DE,solar,scr2080,avaConv,0.0
h0046,DE,solar,scr2080,avaConv,0.0
h0047,DE,solar,scr2080,avaConv,0.0
h0048,DE,solar,scr2080,avaConv,0.0
h0049,DE,solar,scr2080,avaConv,0.0
h0050,DE,solar,scr2080,avaConv,0.0
h0051,DE,solar,scr2080,avaConv,0.0
h0052,DE,solar,scr2080,avaConv,0.0
h0053,DE,solar,scr2080,avaConv,0.0030072144141372347
h0054,DE,solar,scr2080,avaConv,0.023239221331717446
h0055,DE,solar,scr2080,avaConv,0.09037463751324713
h0056,DE,solar,scr2080,avaConv,0.1560584723308382
h0057,DE,solar,scr2080,avaConv,0.26713985019204395
h0058,DE,solar,scr2080,avaConv,0.3959556904211973
h0059,DE,solar,scr2080,avaConv,0.49032059403751965
h0060,DE,solar,scr2080,avaConv,0.48973757689026404
h0061,DE,solar,scr2080,avaConv,0.44170713951121
h0062,DE,solar,scr2080,avaConv,0.5156136344152318
h0063,DE,solar,scr2080,avaConv,0.4524227599173401
h0064,DE,solar,scr2080,avaConv,0.3238979048824209
h0065,DE,solar,scr2080,avaConv,0.12448325446338827
h0066,DE,solar,scr2080,avaConv,0.03666465456646756
h0067,DE,solar,scr2080,avaConv,0.005400396624394722
h0068,DE,solar,scr2080,avaConv,0.00036947869871582827
h0069,DE,solar,scr2080,avaConv,0.00021965205330484177
h0070,DE,solar,scr2080,avaConv,0.0
h0071,DE,solar,scr2080,avaConv,0.0
h0072,DE,solar,scr2080,avaConv,0.0
h0073,DE,solar,scr2080,avaConv,0.0
h0074,DE,solar,scr2080,avaConv,0.0
h0075,DE,solar,scr2080,avaConv,0.0
h0076,DE,solar,scr2080,avaConv,0.0
h0077,DE,solar,scr2080,avaConv,0.0
h0078,DE,solar,scr2080,avaConv,0.006505579952100209
h0079,DE,solar,scr2080,avaConv,0.01435476765045593
h0080,DE,solar,scr2080,avaConv,0.08496494076541419
h0081,DE,solar,scr2080,avaConv,0.20384993779768337
h0082,DE,solar,scr2080,avaConv,0.435062666927013
h0083,DE,solar,scr2080,avaConv,0.5181943336776998
h0084,DE,solar,scr2080,avaConv,0.6098607401267486
h0085,DE,solar,scr2080,avaConv,0.49400573828088207
h0086,DE,solar,scr2080,avaConv,0.4314820931229275
h0087,DE,solar,scr2080,avaConv,0.22501989538121533
h0088,DE,solar,scr2080,avaConv,0.1797921495372994
h0089,DE,solar,scr2080,avaConv,0.07171816530249507
h0090,DE,solar,scr2080,avaConv,0.029333551299671155
h0091,DE,solar,scr2080,avaConv,0.001148227204411487
h0092,DE,solar,scr2080,avaConv,0.0
h0093,DE,solar,scr2080,avaConv,0.0
h0094,DE,solar,scr2080,avaConv,0.0
h0095,DE,solar,scr2080,avaConv,0.0
h0096,DE,solar,scr2080,avaConv,0.0
h0097,DE,solar,scr2080,avaConv,0.0
h0098,DE,solar,scr2080,avaConv,0.0
h0099,DE,solar,scr2080,avaConv,0.0
h0100,DE,solar,scr2080,avaConv,0.0
h0101,DE,solar,scr2080,avaConv,0.0
h0102,DE,solar,scr2080,avaConv,0.0
h0103,DE,solar,scr2080,avaConv,0.0
h0104,DE,solar,scr2080,avaConv,0.00150786778448015
h0105,DE,solar,scr2080,avaConv,0.010972661028729326
h0106,DE,solar,scr2080,avaConv,0.0839621462127691
h0107,DE,solar,scr2080,avaConv,0.08260145719251352
h0108,DE,solar,scr2080,avaConv,0.24406847178053492
h0109,DE,solar,scr2080,avaConv,0.2592107039509886
h0110,DE,solar,scr2080,avaConv,0.40815530305210335
h0001,IT,solar,scr2080,avaConv,0.0
h0002,IT,solar,scr2080,avaConv,0.0
h0003,IT,solar,scr2080,avaConv,0.0
h0004,IT,solar,scr2080,avaConv,0.0
h0005,IT,solar,scr2080,avaConv,0.0
h0006,IT,solar,scr2080,avaConv,0.0
h0007,IT,solar,scr2080,avaConv,0.0
h0008,IT,solar,scr2080,avaConv,0.0070015486688594555
h0009,IT,solar,scr2080,avaConv,0.05102340072523827
h0010,IT,solar,scr2080,avaConv,0.1446553716072349
h0011,IT,solar,scr2080,avaConv,0.28540226067876695
h0012,IT,solar,scr2080,avaConv,0.4335605431427914
h0013,IT,solar,scr2080,avaConv,0.6363743928477746
h0014,IT,solar,scr2080,avaConv,0.612678272371316
h0015,IT,solar,scr2080,avaConv,0.607159464338795
h0016,IT,solar,scr2080,avaConv,0.36082572983031813
h0017,IT,solar,scr2080,avaConv,0.17595172955096425
h0018,IT,solar,scr2080,avaConv,0.02360997646635781
h0019,IT,solar,scr2080,avaConv,0.0
h0020,IT,solar,scr2080,avaConv,0.0
h0021,IT,solar,scr2080,avaConv,0.0
h0022,IT,solar,scr2080,avaConv,0.0
h0023,IT,solar,scr2080,avaConv,0.0
h0024,IT,solar,scr2080,avaConv,0.0
h0025,IT,solar,scr2080,avaConv,0.0
h0026,IT,solar,scr2080,avaConv,0.0
h0027,IT,solar,scr2080,avaConv,0.0
h0028,IT,solar,scr2080,avaConv,0.0
h0029,IT,solar,scr2080,avaConv,0.0
h0030,IT,solar,scr2080,avaConv,0.0008849884330019754
h0031,IT,solar,scr2080,avaConv,0.023719351626044275
h0032,IT,solar,scr2080,avaConv,0.0906289595382281
